Date,Value
20200321,5.1373
20200320,5.3323
20200323,5.3074
20200322,4.9406
20200324,5.3326
20190310,4.7202
20190311,4.8299
20200208,2.6651
20200209,2.6487
20190314,4.8289
20190315,5.0797
20190316,4.9408
20190317,4.5667
20200202,3.1448
20200203,3.1236
20200201,3.2501
20200206,2.4601
20200207,2.5206
20200204,3.074
20200205,2.8489
20200129,3.4261
20200128,3.5826
20200123,6.107
20200122,6.2849
20200121,6.108
20200120,6.3638
20200127,3.8771
20200126,4.4729
20200125,5.0002
20200124,5.4511
20200311,5.0145
20190130,5.3418
20200217,2.9189
20200108,5.4966
20200219,3.0957
20200218,3.1024
20190303,4.5599
20190302,4.7325
20190301,5.057
20190307,4.7377
20190306,4.7543
20190305,4.8613
20190304,4.7547
20200215,2.2581
20200214,2.8067
20190309,4.7205
20200216,2.3113
20200211,2.6601
20200210,2.8817
20200213,2.8552
20200212,2.8278
20190224,4.3737
20190225,4.6468
20190226,4.5574
20190227,4.6342
20190220,4.8654
20190221,4.6687
20190222,4.6738
20190223,4.5095
20200116,5.5849
20200117,5.804
20200114,5.8502
20200115,5.6744
20190228,4.8927
20200113,5.6685
20200110,5.4369
20200111,5.1112
20190308,5.0415
20200101,5.1269
20200103,5.572
20200102,5.5535
20200105,4.7804
20200104,5.1946
20200107,5.1916
20200106,5.2796
20200109,5.1967
20190131,5.5151
20200118,5.7016
20200119,5.9768
20190312,4.884
20190328,4.7732
20190313,4.8841
20190321,4.8333
20190320,4.9246
20190323,4.7552
20190322,5.0613
20190325,4.8907
20190324,4.6888
20190327,4.8042
20190326,4.8487
20190208,5.3827
20190209,4.9985
20190202,5.6744
20190203,5.206
20190201,5.42
20190206,5.9321
20190207,5.6246
20190204,4.9648
20190205,5.4484
20190318,4.7976
20190129,5.4523
20190128,5.3761
20190319,4.9146
20190123,4.9825
20190122,4.8363
20190121,4.8116
20190120,4.5463
20190127,4.9537
20190126,4.8681
20190125,5.1721
20190124,5.143
20190219,4.7328
20190218,4.6041
20190215,4.7845
20190214,4.9319
20190217,4.5194
20190216,4.6965
20190211,5.3367
20190210,5.2514
20190213,5.0346
20190212,5.1935
20190118,5.0097
20190119,4.718
20190116,4.6644
20190117,4.8371
20190114,4.7254
20190115,4.8375
20190112,4.5645
20190113,4.5062
20200310,4.8454
20200112,5.1657
20200312,5.0167
20200313,4.8384
20200314,4.7947
20200315,4.7559
20200316,5.1302
20200317,5.1984
20200318,5.2319
20200319,5.227
20200303,4.7184
20200302,4.6462
20200301,4.1283
20200307,4.7021
20200306,4.8076
20200305,4.7784
20200304,4.7301
20200309,4.6251
20200308,4.5513
20200224,4.1748
20200225,4.0776
20200226,4.2417
20200227,4.271
20200220,3.2725
20200221,3.3257
20200222,3.3822
20200223,3.3636
20200228,3.9917
20200229,4.1354
20200130,3.3212
20200131,3.2228
