Date,Value
20200321,4.2176
20200320,5.1162
20200323,5.3037
20200322,4.031
20200324,5.2805
20190310,4.5843
20190311,5.4001
20200208,2.2592
20200209,2.2743
20190314,5.3493
20190315,5.5681
20190316,4.8511
20190317,4.4758
20200202,2.2119
20200203,2.4768
20200201,2.3237
20200206,2.2671
20200207,2.3009
20200204,2.2124
20200205,2.211
20200129,2.2948
20200128,2.3988
20200123,4.2187
20200122,5.0088
20200121,5.3897
20200120,5.6521
20200127,2.6839
20200126,2.7491
20200125,3.0511
20200124,3.2515
20200311,4.7722
20190130,4.7442
20200217,3.0226
20200108,6.1739
20200219,3.2784
20200218,3.2271
20190303,4.5304
20190302,4.76
20190301,5.5349
20190307,5.2643
20190306,5.2462
20190305,5.4609
20190304,5.2911
20200215,1.5559
20200214,2.9574
20190309,4.6858
20200216,1.7374
20200211,2.886
20200210,3.0464
20200213,3.0032
20200212,2.9285
20190224,4.1288
20190225,5.0849
20190226,5.074
20190227,5.2915
20190220,4.9265
20190221,4.9254
20200118,5.0804
20190223,4.3581
20200116,6.1723
20200117,6.0302
20200114,6.098
20200115,6.1636
20190228,5.4305
20200113,6.1834
20200110,6.3619
20200111,5.3873
20190308,5.4792
20200101,5.1503
20200103,6.3518
20200102,6.249
20200105,5.0917
20200104,5.3541
20200107,6.2066
20200106,6.2189
20200109,6.2562
20190131,4.7118
20190222,4.975
20200119,5.5913
20190312,5.4143
20190328,5.2813
20190313,5.4485
20190321,5.2796
20190320,5.3409
20190323,4.7645
20190322,5.5664
20190325,5.4627
20190324,4.5747
20190327,5.3395
20190326,5.3178
20190208,3.1582
20190209,3.1278
20190202,4.0855
20190203,3.319
20190201,4.2758
20190206,2.9981
20190207,3.0293
20190204,2.8521
20190205,2.9251
20190318,5.2892
20190129,4.8447
20190128,4.9393
20190319,5.3866
20190123,5.0272
20190122,5.0667
20190121,5.0864
20190120,4.2387
20190127,4.0299
20190126,4.2622
20190125,4.9532
20190124,5.1286
20190219,4.4961
20190218,4.957
20190215,4.352
20190214,4.6407
20190217,3.9157
20190216,4.0215
20190211,4.2017
20190210,3.3278
20190213,4.6685
20190212,4.5076
20190118,5.2981
20190119,4.5068
20190116,5.1632
20190117,5.2307
20190114,5.2004
20190115,5.248
20190112,4.55
20190113,4.2733
20200310,4.7126
20200112,5.0844
20200312,4.7505
20200313,4.8612
20200314,3.9333
20200315,3.5866
20200316,4.9845
20200317,4.9906
20200318,5.0314
20200319,5.003
20200303,4.4219
20200302,4.5211
20200301,3.2053
20200307,3.5692
20200306,4.5719
20200305,4.5035
20200304,4.4201
20200309,4.706
20200308,3.4242
20200224,3.9396
20200225,3.8898
20200226,3.9343
20200227,3.998
20200220,3.378
20200221,3.3071
20200222,2.8045
20200223,2.6834
20200228,3.9946
20200229,3.2989
20200130,2.2367
20200131,2.4122
