Date,Value
20200321,4.5076
20200320,4.716
20200323,4.8319
20200322,4.5344
20200324,4.7639
20190310,4.418
20190311,4.7277
20200208,2.9028
20200209,2.6319
20190314,4.6766
20190315,4.9249
20190316,4.5948
20190317,4.333
20200202,2.5429
20200203,2.8354
20200201,2.7681
20200206,2.6485
20200207,2.7811
20200204,2.7094
20200205,2.6967
20200129,2.8763
20200128,3.1673
20200123,5.0125
20200122,5.3135
20200121,5.351
20200120,5.3955
20200127,3.5843
20200126,4.0315
20200125,3.6843
20200124,4.5835
20200311,4.2484
20190130,4.6941
20200217,2.8955
20200108,5.0836
20200219,2.938
20200218,2.9007
20190303,4.3323
20190302,4.4585
20190301,4.859
20190307,4.5744
20190306,4.5085
20190305,4.6771
20190304,4.5729
20200215,2.455
20200214,2.8653
20190309,4.3482
20200216,2.4391
20200211,2.951
20200210,3.0811
20200213,3.0215
20200212,2.9655
20190224,4.0641
20190225,4.4555
20190226,4.4053
20190227,4.5698
20190220,4.5543
20190221,4.6019
20190222,4.558
20200119,5.1778
20200116,5.2745
20200117,5.262
20200114,5.3544
20200115,5.305
20190228,4.6719
20200113,5.3448
20200110,5.2462
20200111,4.8134
20190308,4.9396
20200101,4.9786
20200103,5.3196
20200102,5.3415
20200105,4.463
20200104,4.7813
20200107,4.9445
20200106,4.6343
20200109,5.1227
20190131,4.8249
20200118,4.8281
20190223,4.237
20190312,4.6985
20190328,4.5885
20190313,4.7165
20190321,4.623
20190320,4.6584
20190323,4.3547
20190322,4.8058
20190325,4.8114
20190324,4.4476
20190327,4.6642
20190326,4.6477
20190208,4.324
20190209,3.9936
20190202,4.7365
20190203,4.1307
20190201,4.5998
20190206,4.5481
20190207,4.4233
20190204,4.218
20190205,4.383
20190318,4.6755
20190129,4.7299
20190128,4.579
20190319,4.7115
20190123,4.6458
20190122,4.609
20190121,4.5969
20190120,4.1613
20190127,4.0981
20190126,4.2314
20190125,4.6396
20190124,4.8024
20190219,4.4308
20190218,4.6999
20190215,4.2545
20190214,4.0238
20190217,4.0562
20190216,4.097
20190211,4.6506
20190210,4.445
20190213,4.7028
20190212,4.7763
20190118,4.797
20190119,4.3144
20190116,4.4859
20190117,4.6414
20190114,4.6115
20190115,4.6133
20190112,4.31
20190113,4.2871
20200310,4.1822
20200112,4.7455
20200312,4.2383
20200313,4.3427
20200314,4.0945
20200315,4.2115
20200316,4.6014
20200317,4.5721
20200318,4.5182
20200319,4.6142
20200303,3.7673
20200302,3.8574
20200301,3.4711
20200307,3.8804
20200306,3.9242
20200305,3.9632
20200304,3.8629
20200309,4.1754
20200308,3.7209
20200224,3.3925
20200225,3.3131
20200226,3.3418
20200227,3.2454
20200220,2.9241
20200221,2.9279
20200222,2.763
20200223,2.8436
20200228,3.4966
20200229,3.4738
20200130,3.0003
20200131,2.8314
