Date,Value
20200321,2.5903
20200320,2.6371
20200323,2.9471
20200322,2.5773
20200324,3.0211
20190310,6.6722
20190311,7.8576
20200208,1.6232
20200209,1.4578
20190314,7.834
20190315,7.8784
20190316,6.9068
20190317,6.7914
20200202,2.0968
20200203,1.8714
20200201,2.0973
20200206,1.537
20200207,1.5909
20200204,1.6091
20200205,1.5843
20200129,2.8607
20200128,2.9138
20200123,4.1386
20200122,4.3996
20200121,4.4796
20200120,4.6659
20200127,3.283
20200126,3.4894
20200125,3.5403
20200124,4.0331
20200311,2.5299
20190130,7.475
20200217,1.6096
20200108,4.6054
20200219,1.6101
20200218,1.6205
20190303,6.7211
20190302,6.7374
20190301,7.8757
20190307,7.7119
20190306,7.6309
20190305,7.5835
20190304,7.7173
20200215,1.4509
20200214,1.5281
20190309,6.795
20200216,1.4709
20200211,1.4478
20200210,1.4171
20200213,1.4877
20200212,1.4497
20190224,6.2485
20190225,7.5735
20190226,7.494
20190227,7.5595
20190220,7.6399
20190221,7.4391
20190222,7.4789
20190223,6.4744
20200116,4.7549
20200117,4.8178
20200114,4.6188
20200115,4.6912
20190228,7.7348
20200113,4.6419
20200110,4.6435
20200111,4.1027
20190308,8.2343
20200101,4.1883
20200103,4.5945
20200102,4.5455
20200105,3.8015
20200104,3.9259
20200107,4.5591
20200106,4.4946
20200109,4.5576
20190131,7.6555
20200118,4.2317
20200119,4.5671
20190312,7.6013
20190328,7.7507
20190313,7.5973
20190321,7.9252
20190320,7.8949
20190323,6.9632
20190322,7.7503
20190325,7.5213
20190324,6.671
20190327,7.7158
20190326,7.797
20190208,6.4729
20190209,6.6086
20190202,3.2003
20190203,6.6877
20190201,7.4637
20190206,6.4944
20190207,6.4347
20190204,3.2997
20190205,4.897
20190318,7.9083
20190129,7.5459
20190128,7.8939
20190319,7.7639
20190123,7.6493
20190122,7.6265
20190121,7.7288
20190120,6.5689
20190127,6.7511
20190126,6.9022
20190125,7.7476
20190124,7.5969
20190219,7.9375
20190218,7.3616
20190215,7.3932
20190214,7.591
20190217,6.3773
20190216,6.4858
20190211,7.4347
20190210,6.7342
20190213,7.4522
20190212,7.4785
20190118,7.5184
20190119,6.5777
20190116,7.5378
20190117,7.528
20190114,7.7691
20190115,7.6138
20190112,6.7138
20190113,6.7376
20200310,2.5376
20200112,4.027
20200312,2.1391
20200313,2.2279
20200314,2.0323
20200315,2.1088
20200316,2.4384
20200317,2.4462
20200318,2.5038
20200319,2.6338
20200303,2.2115
20200302,2.1409
20200301,1.8458
20200307,2.1481
20200306,2.2885
20200305,2.3743
20200304,2.265
20200309,2.5005
20200308,2.2328
20200224,1.982
20200225,1.8912
20200226,1.8156
20200227,1.8358
20200220,1.6277
20200221,1.6451
20200222,1.5828
20200223,1.5758
20200228,1.8675
20200229,1.826
20200130,2.3057
20200131,2.1838
