Date,Value
20200321,3.914
20200320,4.1595
20200323,4.1523
20200322,3.936
20200324,4.0596
20190310,3.9128
20190311,3.7835
20200208,2.1377
20200209,2.1567
20190314,3.8101
20190315,4.1706
20190316,4.0073
20190317,3.8451
20200202,2.2549
20200203,2.3322
20200201,2.2901
20200206,2.1574
20200207,2.2014
20200204,2.2058
20200205,2.1677
20200129,2.2326
20200128,2.2969
20200123,3.743
20200122,3.8599
20200121,3.9288
20200120,3.975
20200127,2.5689
20200126,3.2215
20200125,2.6788
20200124,3.0676
20200311,4.0142
20190130,3.7181
20200217,2.8739
20200108,4.0986
20200219,2.8962
20200218,2.8868
20190303,3.8401
20190302,3.8538
20190301,4.0526
20190307,3.7827
20190306,3.6383
20190305,3.7495
20190304,3.7066
20200215,2.4928
20200214,2.7171
20190309,3.7635
20200216,2.5453
20200211,2.4762
20200210,2.4247
20200213,2.6181
20200212,2.5103
20190224,3.6188
20190225,3.7306
20190226,3.7186
20190227,3.8342
20190220,3.8808
20190221,3.7165
20190222,3.7234
20190223,3.5861
20200116,4.0738
20200117,4.0458
20200114,4.1211
20200115,4.0687
20190228,3.913
20200113,4.1608
20200110,4.3058
20200111,4.003
20190308,4.094
20200101,4.0586
20200103,4.2591
20200102,4.1281
20200105,3.6836
20200104,3.639
20200107,4.0682
20200106,4.0822
20200109,4.0717
20190131,3.8225
20200118,3.9199
20200119,3.9439
20190312,3.8501
20190328,3.7168
20190313,3.8669
20190321,3.7661
20190320,3.8446
20190323,3.8392
20190322,4.1034
20190325,3.7915
20190324,3.9131
20190327,3.733
20190326,3.7347
20190208,3.6894
20190209,3.5925
20190202,3.6871
20190203,3.4404
20190201,3.5664
20190206,3.7758
20190207,3.6724
20190204,2.9503
20190205,3.3631
20190318,3.7519
20190129,3.7777
20190128,3.8343
20190319,3.8351
20190123,3.8039
20190122,3.7961
20190121,3.896
20190120,3.8398
20190127,3.5944
20190126,3.6037
20190125,3.7908
20190124,3.9293
20190219,3.7715
20190218,3.6832
20190215,3.72
20190214,3.8067
20190217,3.4771
20190216,3.5881
20190211,3.7666
20190210,3.7045
20190213,3.8026
20190212,3.7917
20190118,4.0849
20190119,3.9528
20190116,3.7708
20190117,3.9279
20190114,3.7724
20190115,3.8867
20190112,3.6957
20190113,3.712
20200310,4.0127
20200112,4.0011
20200312,4.0392
20200313,4.1542
20200314,3.8949
20200315,3.9073
20200316,4.162
20200317,4.1401
20200318,4.0953
20200319,4.1054
20200303,3.85
20200302,3.951
20200301,3.6493
20200307,3.7632
20200306,3.9755
20200305,3.8872
20200304,3.9276
20200309,4.0705
20200308,3.9229
20200224,3.3479
20200225,3.4679
20200226,3.5494
20200227,3.5598
20200220,2.9591
20200221,3.0923
20200222,2.9612
20200223,3.0696
20200228,3.6662
20200229,3.5623
20200130,2.3021
20200131,2.2824
