Date,Value
20200321,3.5918
20200320,4.0344
20200323,4.0081
20200322,3.7018
20200324,3.9856
20190310,3.8704
20190311,3.8135
20200208,2.0091
20200209,1.9072
20190314,3.9793
20190315,3.9995
20190316,3.9553
20190317,3.7951
20200202,2.5259
20200203,2.5671
20200201,2.4083
20200206,2.1385
20200207,2.1939
20200204,2.2037
20200205,2.1433
20200129,2.6236
20200128,2.6866
20200123,3.1533
20200122,3.495
20200121,3.4895
20200120,3.737
20200127,2.772
20200126,2.7385
20200125,2.355
20200124,1.9991
20200311,3.7078
20190130,3.591
20200217,2.5754
20200108,3.9333
20200219,2.5954
20200218,2.6182
20190303,3.6112
20190302,3.6579
20190301,3.7431
20190307,3.6593
20190306,3.4988
20190305,3.7089
20190304,3.5902
20200215,2.2425
20200214,2.5536
20190309,3.7838
20200216,2.2168
20200211,2.379
20200210,2.329
20200213,2.5014
20200212,2.4537
20190224,3.2814
20190225,3.597
20190226,3.6411
20190227,3.8554
20190220,3.3259
20190221,3.4197
20190222,3.4607
20190223,3.3075
20200116,3.9849
20200117,3.8256
20200114,3.9861
20200115,3.9554
20190228,4.0284
20200113,3.9875
20200110,4.045
20200111,3.7455
20190308,3.9299
20200101,3.8626
20200103,4.0129
20200102,4.0726
20200105,3.7879
20200104,3.611
20200107,3.9255
20200106,3.8606
20200109,3.9609
20190131,3.6039
20200118,3.6322
20200119,3.7059
20190312,3.8374
20190328,3.7504
20190313,3.8868
20190321,3.824
20190320,3.9094
20190323,3.8369
20190322,3.9117
20190325,3.8378
20190324,3.8446
20190327,3.7487
20190326,3.777
20190208,3.5556
20190209,3.5898
20190202,3.5637
20190203,3.0303
20190201,3.335
20190206,3.249
20190207,3.4435
20190204,2.2293
20190205,2.7391
20190318,3.8521
20190129,3.604
20190128,3.7078
20190319,3.8293
20190123,3.7356
20190122,3.7035
20190121,3.7739
20190120,3.7496
20190127,3.4082
20190126,3.5517
20190125,3.7398
20190124,3.8554
20190219,3.2215
20190218,3.4859
20190215,3.3845
20190214,3.4921
20190217,2.9386
20190216,3.2255
20190211,3.3703
20190210,3.4505
20190213,3.4255
20190212,3.338
20190118,4.0783
20190119,3.7822
20190116,3.7767
20190117,3.9274
20190114,3.8033
20190115,3.9521
20190112,3.7119
20190113,3.6946
20200310,3.7366
20200112,3.7556
20200312,3.7772
20200313,3.8416
20200314,3.547
20200315,3.6249
20200316,3.8617
20200317,3.8575
20200318,3.8341
20200319,3.9044
20200303,3.5646
20200302,3.6391
20200301,3.3734
20200307,3.3179
20200306,3.6259
20200305,3.6047
20200304,3.5113
20200309,3.7006
20200308,3.4883
20200224,2.9185
20200225,2.9852
20200226,3.1838
20200227,2.9445
20200220,2.6409
20200221,2.7451
20200222,2.5536
20200223,2.6294
20200228,3.3168
20200229,3.1685
20200130,2.5269
20200131,2.3167
