Date,Value
20200321,3.3372
20200320,3.4902
20200323,3.6636
20200322,3.1663
20200324,3.6369
20190310,3.4846
20190311,3.7553
20200208,0.8641
20200209,0.9431
20190314,3.6765
20190315,3.8384
20190316,3.845
20190317,3.7035
20200202,0.7881
20200203,0.8609
20200201,0.8071
20200206,0.8302
20200207,0.8491
20200204,0.8081
20200205,0.8223
20200129,0.7703
20200128,0.7573
20200123,1.2724
20200122,1.4579
20200121,1.7152
20200120,2.0203
20200127,0.7304
20200126,0.7949
20200125,0.8432
20200124,0.9983
20200311,3.2321
20190130,1.9239
20200217,1.681
20200108,4.134
20200219,1.7917
20200218,1.728
20190303,3.5516
20190302,3.7411
20190301,3.8506
20190307,3.5072
20190306,3.5715
20190305,3.6919
20190304,3.6791
20200215,1.2322
20200214,1.4216
20190309,3.4412
20200216,1.1207
20200211,1.3157
20200210,1.3543
20200213,1.3845
20200212,1.3947
20190224,3.0777
20190225,3.4332
20190226,3.467
20190227,3.6421
20190220,3.1739
20190221,3.2421
20200118,2.6869
20190223,3.1786
20200116,3.5909
20200117,3.3133
20200114,3.8134
20200115,3.797
20190228,3.7583
20200113,3.8952
20200110,4.2232
20200111,4.0133
20190308,3.7805
20200101,4.2829
20200103,4.2096
20200102,4.2404
20200105,3.8438
20200104,4.0264
20200107,4.1319
20200106,4.1524
20200109,4.12
20190131,1.7184
20190222,3.3657
20200119,2.2727
20190312,3.7907
20190328,3.6687
20190313,3.7913
20190321,3.7443
20190320,3.7606
20190323,3.5683
20190322,3.8241
20190325,3.668
20190324,3.4526
20190327,3.6791
20190326,3.6819
20190208,0.907
20190209,0.975
20190202,1.1772
20190203,1.0307
20190201,1.343
20190206,1.0161
20190207,0.8953
20190204,0.9143
20190205,0.9652
20190318,3.7584
20190129,2.1781
20190128,2.4219
20190319,3.7511
20190123,3.2586
20190122,3.314
20190121,3.4258
20190120,3.4594
20190127,2.4205
20190126,2.8403
20190125,3.1743
20190124,3.3013
20190219,3.1604
20190218,3.0055
20190215,2.6868
20190214,2.59
20190217,2.6345
20190216,2.7391
20190211,1.545
20190210,1.1514
20190213,2.2865
20190212,1.9996
20190118,3.7136
20190119,3.6317
20190116,3.5707
20190117,3.6421
20190114,3.6381
20190115,3.7453
20190112,3.629
20190113,3.509
20200310,3.2375
20200112,3.7131
20200312,3.2753
20200313,3.3268
20200314,3.1443
20200315,2.921
20200316,3.4718
20200317,3.4414
20200318,3.4021
20200319,3.3983
20200303,2.9129
20200302,2.8954
20200301,2.231
20200307,2.8562
20200306,3.0324
20200305,2.9602
20200304,2.8796
20200309,3.2254
20200308,2.6206
20200224,2.2988
20200225,2.3387
20200226,2.4196
20200227,2.4776
20200220,1.8762
20200221,1.9624
20200222,1.8208
20200223,1.6362
20200228,2.5638
20200229,2.4721
20200130,0.7893
20200131,0.8025
