Date,Value
20200321,5.8422
20200320,6.3897
20200323,6.4436
20200322,5.6924
20200324,6.4565
20190310,5.132
20190311,5.6528
20200208,3.2384
20200209,3.2831
20190314,5.6565
20190315,5.9135
20190316,5.3712
20190317,4.9621
20200202,2.7532
20200203,3.3225
20200201,2.9887
20200206,3.0788
20200207,3.2418
20200204,3.0391
20200205,3.0803
20200129,2.7417
20200128,2.5932
20200123,5.1371
20200122,5.7343
20200121,6.0734
20200120,6.3104
20200127,2.7706
20200126,3.5632
20200125,4.0637
20200124,4.5371
20200311,5.9801
20190130,5.2688
20200217,4.2537
20200108,6.4755
20200219,4.4484
20200218,4.3868
20190303,5.0571
20190302,5.329
20190301,5.9532
20190307,5.5157
20190306,5.5293
20190305,5.7697
20190304,5.5425
20200215,2.9894
20200214,3.9664
20190309,5.1652
20200216,3.3267
20200211,4.1532
20200210,4.1844
20200213,4.39
20200212,4.2156
20190224,4.6692
20190225,5.362
20190226,5.3366
20190227,5.5748
20190220,5.2854
20190221,5.2719
20190222,5.3843
20190223,4.8557
20200116,6.6797
20200117,6.7269
20200114,6.6295
20200115,6.6282
20190228,5.7537
20200113,6.7126
20200110,6.8429
20200111,6.1937
20190308,5.7571
20200101,5.9467
20200103,6.8413
20200102,6.7836
20200105,5.6805
20200104,6.0155
20200107,6.2145
20200106,6.6343
20200109,6.7206
20190131,5.2212
20200118,5.9082
20200119,6.3281
20190312,5.7116
20190328,5.5039
20190313,5.7327
20190321,5.6033
20190320,5.6388
20190323,5.2223
20190322,5.8676
20190325,5.707
20190324,5.0702
20190327,5.6064
20190326,5.6055
20190208,3.629
20190209,3.7491
20190202,4.6715
20190203,3.9999
20190201,4.7924
20190206,3.9969
20190207,3.6386
20190204,3.7835
20190205,3.8902
20190318,5.5548
20190129,5.4007
20190128,5.5719
20190319,5.6927
20190123,5.4404
20190122,5.5013
20190121,5.496
20190120,4.8525
20190127,4.7086
20190126,4.8658
20190125,5.4401
20190124,5.592
20190219,5.1425
20190218,5.5224
20190215,4.9377
20190214,5.0473
20190217,4.5787
20190216,4.66
20190211,4.9035
20190210,3.9916
20190213,4.9771
20190212,5.1216
20190118,5.7313
20190119,5.1412
20190116,5.3676
20190117,5.5494
20190114,5.4637
20190115,5.5466
20190112,4.927
20190113,4.7172
20200310,5.8869
20200112,5.9763
20200312,5.9687
20200313,6.074
20200314,5.5545
20200315,5.371
20200316,6.1763
20200317,6.2511
20200318,6.3058
20200319,6.1966
20200303,5.5638
20200302,5.5975
20200301,4.6169
20200307,5.1495
20200306,5.7856
20200305,5.6573
20200304,5.5892
20200309,5.7788
20200308,5.0576
20200224,4.9726
20200225,4.7743
20200226,5.0697
20200227,5.0637
20200220,4.5242
20200221,4.4718
20200222,4.1058
20200223,4.0595
20200228,5.0731
20200229,4.7508
20200130,2.8683
20200131,3.0164
