Date,Value
20200321,2.8661
20200320,2.7128
20200323,3.2459
20200322,2.9588
20200324,3.3036
20190310,3.7877
20190311,3.9239
20200208,1.0906
20200209,1.0852
20190314,3.9294
20190315,4.2528
20190316,3.972
20190317,3.5669
20200202,1.1859
20200203,1.2594
20200201,1.2547
20200206,1.0164
20200207,1.0941
20200204,1.1788
20200205,1.1353
20200129,1.3533
20200128,1.3517
20200123,4.1613
20200122,4.4206
20200121,4.336
20200120,4.6047
20200127,1.4021
20200126,1.4417
20200125,2.0366
20200124,3.1742
20200311,1.1377
20190130,3.9328
20200217,1.0716
20200108,4.4498
20200219,0.9437
20200218,0.9693
20190303,3.6806
20190302,3.5996
20190301,4.0485
20190307,3.8608
20190306,3.8261
20190305,3.8864
20190304,3.796
20200215,1.0287
20200214,1.1515
20190309,3.6627
20200216,1.0448
20200211,1.075
20200210,1.0738
20200213,1.1573
20200212,1.097
20190224,3.3255
20190225,3.6705
20190226,3.5934
20190227,3.737
20190220,3.6409
20190221,3.5175
20190222,3.6739
20190223,3.3534
20200116,4.4541
20200117,4.4531
20200114,4.5004
20200115,4.1843
20190228,4.0151
20200113,4.4513
20200110,4.3042
20200111,4.0778
20190308,4.0456
20200101,4.1166
20200103,4.5459
20200102,4.5481
20200105,4.0267
20200104,4.1506
20200107,4.3641
20200106,4.4309
20200109,4.1618
20190131,4.0434
20200118,4.2319
20200119,4.4107
20190312,4.0936
20190328,3.8457
20190313,4.0767
20190321,3.9005
20190320,3.9835
20190323,3.7205
20190322,4.1148
20190325,4.0581
20190324,3.7498
20190327,3.806
20190326,3.8711
20190208,3.7005
20190209,3.5497
20190202,4.0368
20190203,3.728
20190201,3.7704
20190206,4.109
20190207,3.879
20190204,3.5049
20190205,3.5213
20190318,3.8465
20190129,3.9896
20190128,3.9423
20190319,3.9357
20190123,3.8226
20190122,3.7183
20190121,3.7608
20190120,3.634
20190127,3.5476
20190126,3.5828
20190125,3.8646
20190124,3.9801
20190219,3.5871
20190218,3.7811
20190215,3.4307
20190214,3.7868
20190217,3.2145
20190216,3.2705
20190211,3.7618
20190210,3.4906
20190213,3.7774
20190212,3.7839
20190118,4.006
20190119,3.6669
20190116,3.7144
20190117,3.8602
20190114,3.7317
20190115,3.9168
20190112,3.4909
20190113,3.516
20200310,1.1241
20200112,4.1008
20200312,1.1505
20200313,1.1641
20200314,1.1468
20200315,1.2336
20200316,1.3143
20200317,1.3436
20200318,1.41
20200319,1.5581
20200303,1.0376
20200302,1.0536
20200301,1.0285
20200307,1.0803
20200306,1.0767
20200305,1.0746
20200304,1.0641
20200309,1.0889
20200308,1.0812
20200224,1.0169
20200225,0.9928
20200226,0.9823
20200227,0.9804
20200220,0.9757
20200221,0.9645
20200222,0.951
20200223,0.9472
20200228,0.9666
20200229,1.0272
20200130,1.3216
20200131,1.2986
