Date,Value
20200321,4.0455
20200320,4.4485
20200323,4.6597
20200322,4.1096
20200324,4.6455
20190310,4.1902
20190311,4.4553
20200208,1.8458
20200209,1.746
20190314,4.4573
20190315,4.6068
20190316,4.3375
20190317,4.0151
20200202,2.5289
20200203,2.4554
20200201,2.5791
20200206,1.9444
20200207,1.9433
20200204,2.1685
20200205,2.0183
20200129,2.6856
20200128,2.8615
20200123,4.4128
20200122,4.5804
20200121,4.635
20200120,4.6392
20200127,2.627
20200126,3.421
20200125,2.5446
20200124,3.7262
20200311,3.9564
20190130,4.2083
20200217,2.3496
20200108,5.322
20200219,2.4265
20200218,2.416
20190303,4.2763
20190302,4.2929
20190301,4.6833
20190307,4.2139
20190306,4.2075
20190305,4.4539
20190304,4.3003
20200215,2.0961
20200214,2.3149
20190309,3.9953
20200216,1.9756
20200211,2.1418
20200210,2.11
20200213,2.2432
20200212,2.1791
20190224,3.8581
20190225,3.9985
20190226,4.0665
20190227,4.2435
20190220,4.1974
20190221,4.1535
20190222,4.1718
20190223,3.852
20200116,5.156
20200117,5.0833
20200114,4.9471
20200115,5.1488
20190228,4.4084
20200113,5.1839
20200110,5.4543
20200111,4.7075
20190308,4.4385
20200101,5.2634
20200103,5.4998
20200102,5.4261
20200105,4.9617
20200104,4.989
20200107,5.3651
20200106,5.3629
20200109,5.3261
20190131,4.2954
20200118,4.5851
20200119,4.6963
20190312,4.5022
20190328,4.364
20190313,4.445
20190321,4.4509
20190320,4.4335
20190323,4.1046
20190322,4.6718
20190325,4.3353
20190324,4.0537
20190327,4.3298
20190326,4.3226
20190208,4.1172
20190209,3.833
20190202,4.0551
20190203,3.7254
20190201,3.9964
20190206,4.1499
20190207,3.6523
20190204,3.355
20190205,3.7524
20190318,4.3142
20190129,4.3094
20190128,4.3424
20190319,4.4554
20190123,4.3526
20190122,4.2069
20190121,4.1983
20190120,4.1276
20190127,3.9806
20190126,4.1141
20190125,4.5077
20190124,4.4952
20190219,4.1444
20190218,4.0127
20190215,4.0418
20190214,4.0918
20190217,3.3468
20190216,3.7425
20190211,3.8286
20190210,3.8178
20190213,4.0788
20190212,4.0148
20190118,4.6017
20190119,4.1758
20190116,4.1578
20190117,4.3797
20190114,4.3281
20190115,4.4332
20190112,4.0705
20190113,4.0769
20200310,3.9101
20200112,4.6825
20200312,4.0315
20200313,4.2312
20200314,3.8134
20200315,3.7974
20200316,4.0624
20200317,4.2875
20200318,4.2337
20200319,4.2898
20200303,3.379
20200302,3.4291
20200301,2.9046
20200307,3.2409
20200306,3.4691
20200305,3.3168
20200304,3.0397
20200309,3.9554
20200308,3.345
20200224,3.0171
20200225,2.8894
20200226,2.9812
20200227,3.0394
20200220,2.4583
20200221,2.6275
20200222,2.3316
20200223,2.3962
20200228,3.0459
20200229,2.8092
20200130,2.7711
20200131,2.7136
