Date,Value
20200321,4.5976
20200320,4.8645
20200323,4.7126
20200322,4.3877
20200324,4.6617
20190310,4.2917
20190311,4.4109
20200208,2.1394
20200209,2.1413
20190314,4.3405
20190315,4.7056
20190316,4.3265
20190317,4.0314
20200202,2.6152
20200203,2.6692
20200201,3.0158
20200206,2.1055
20200207,2.2692
20200204,2.7418
20200205,2.7706
20200129,3.5916
20200128,3.5547
20200123,6.8331
20200122,7.4005
20200121,7.2137
20200120,7.0362
20200127,3.2502
20200126,4.0067
20200125,4.6684
20200124,5.973
20190130,6.1839
20200217,2.9631
20200108,5.2114
20200219,3.3964
20200218,3.3474
20190303,4.2316
20190302,4.0195
20190301,4.5246
20190307,4.2097
20190306,4.2128
20190305,4.2333
20190304,4.3262
20200215,2.0557
20200214,2.4274
20190309,3.9682
20200216,2.3527
20200211,2.0831
20200210,2.2292
20200213,2.2254
20200212,2.1978
20190224,3.9855
20190225,4.3158
20190226,4.2065
20190227,4.1448
20190220,4.8855
20190221,4.3528
20190222,4.6715
20190223,3.8666
20200116,5.8464
20200117,6.094
20200114,5.6192
20200115,5.5606
20200112,5.2808
20200113,5.6762
20200110,5.2681
20200111,4.8253
20190308,4.542
20200101,4.8584
20200103,5.1914
20200102,5.139
20200105,4.7302
20200104,4.7117
20200107,5.1055
20200106,5.2437
20200109,5.1518
20190131,6.4489
20200118,6.1894
20200119,6.5843
20190312,4.4775
20190328,4.244
20190313,4.4664
20190321,4.3359
20190320,4.4781
20190323,4.0753
20190322,4.5095
20190325,4.4143
20190324,4.1002
20190327,4.2951
20190326,4.282
20190208,7.1759
20190209,6.7157
20190202,6.7221
20190203,6.1746
20190201,6.273
20190206,7.6678
20190207,6.4867
20190204,5.552
20190205,6.6099
20190318,4.3408
20190129,6.1215
20190128,5.8588
20190319,4.3947
20190123,4.9746
20190122,4.6535
20190121,4.7182
20190120,4.2673
20190127,5.3194
20190126,5.0119
20190125,5.1514
20190124,5.1798
20190219,4.9932
20190218,4.7715
20190215,5.2262
20190214,5.7156
20190217,4.3149
20190216,4.7721
20190211,6.3627
20190210,6.4438
20190213,5.977
20190212,6.3782
20190118,4.6107
20190119,4.2884
20190116,4.3349
20190117,4.4728
20190114,4.4395
20190115,4.5107
20190112,4.2107
20190113,4.1805
20190228,4.367
20200310,4.6266
20200311,4.6284
20200312,4.0915
20200313,4.4944
20200314,4.5321
20200315,4.5573
20200316,4.6969
20200317,4.3941
20200318,4.6945
20200319,4.7772
20200303,4.007
20200302,4.6334
20200301,4.2616
20200307,4.1092
20200306,4.0645
20200305,4.4327
20200304,4.1706
20200309,4.3295
20200308,4.1653
20200224,4.8104
20200225,4.6463
20200226,4.6987
20200227,4.5874
20200220,3.898
20200221,4.2278
20200222,4.1329
20200223,4.1654
20200228,4.6989
20200229,4.5294
20200130,3.5076
20200131,3.1496
