Date,Value
20200321,3.5499
20200320,3.9434
20200323,3.9603
20200322,3.6475
20200324,3.8645
20190310,3.8392
20190311,3.7347
20200208,1.6441
20200209,1.6726
20190314,3.7079
20190315,3.9935
20190316,3.719
20190317,3.7392
20200202,1.8897
20200203,1.9554
20200201,2.0795
20200206,1.7884
20200207,1.7787
20200204,1.872
20200205,1.8399
20200129,2.2722
20200128,2.5189
20200123,3.4561
20200122,3.7718
20200121,3.7911
20200120,3.853
20200127,3.2097
20200126,3.1889
20200125,2.5804
20200124,2.6081
20200311,3.628
20190130,3.6957
20200217,1.9205
20200108,4.0155
20200219,1.9354
20200218,1.9327
20190303,3.8777
20190302,3.6063
20190301,3.9931
20190307,3.5672
20190306,3.5267
20190305,3.6477
20190304,3.6747
20200215,1.7881
20200214,1.7708
20190309,3.6739
20200216,1.7804
20200211,1.7447
20200210,1.6984
20200213,1.7891
20200212,1.758
20190224,3.6392
20190225,3.9851
20190226,3.5018
20190227,3.6282
20190220,4.1517
20190221,3.814
20200118,3.637
20190223,3.6732
20200116,3.994
20200117,3.9815
20200114,4.0162
20200115,3.9486
20190228,3.7587
20200113,4.0413
20200110,3.9702
20200111,3.879
20190308,4.0035
20200101,3.7335
20200103,4.0618
20200102,4.0059
20200105,3.6041
20200104,3.4333
20200107,3.7743
20200106,3.5225
20200109,4.0844
20190131,4.0723
20190222,3.9185
20200119,3.7947
20190312,3.8084
20190328,3.5919
20190313,3.7653
20190321,3.6387
20190320,3.6899
20190323,3.5366
20190322,3.8372
20190325,3.7428
20190324,3.7024
20190327,3.6085
20190326,3.6353
20190208,3.7281
20190209,3.6288
20190202,3.8699
20190203,3.3055
20190201,3.7491
20190206,3.4533
20190207,3.6835
20190204,2.9247
20190205,3.189
20190318,3.6759
20190129,3.7459
20190128,3.9805
20190319,3.6886
20190123,3.8201
20190122,3.8008
20190121,3.8171
20190120,3.6655
20190127,3.5975
20190126,3.6812
20190125,3.8331
20190124,3.9692
20190219,4.2544
20190218,4.1573
20190215,3.9058
20190214,3.9223
20190217,3.7284
20190216,3.7303
20190211,4.0302
20190210,3.5789
20190213,4.1237
20190212,4.2243
20190118,3.9474
20190119,3.6852
20190116,3.674
20190117,3.8107
20190114,3.7577
20190115,3.5214
20190112,3.5853
20190113,3.6057
20200310,3.5985
20200112,3.8858
20200312,3.6897
20200313,3.8001
20200314,3.5651
20200315,3.5241
20200316,3.6139
20200317,3.7352
20200318,3.6895
20200319,3.7534
20200303,3.0028
20200302,3.0483
20200301,2.9253
20200307,3.2638
20200306,3.4737
20200305,3.3489
20200304,3.3127
20200309,3.4448
20200308,3.1421
20200224,3.0261
20200225,3.0535
20200226,3.0315
20200227,2.702
20200220,1.8947
20200221,2.0348
20200222,2.062
20200223,2.5093
20200228,3.082
20200229,3.042
20200130,2.1998
20200131,2.1181
