Date,Value
20200321,4.7775
20200320,4.893
20200323,4.7742
20200322,4.7673
20200324,4.6637
20190310,4.6615
20190311,4.6731
20200208,1.8478
20200209,1.8765
20190314,4.5814
20190315,5.0096
20190316,4.7815
20190317,4.4254
20200202,2.1829
20200203,1.9499
20200201,2.4467
20200206,1.833
20200207,2.0289
20200204,2.0017
20200205,2.1427
20200129,2.8513
20200128,2.8457
20200123,5.8957
20200122,6.2869
20200121,6.1968
20200120,6.1524
20200127,2.8559
20200126,3.2338
20200125,3.2849
20200124,4.588
20200311,4.6328
20190130,5.6994
20200217,2.5841
20200108,5.2089
20200219,3.7933
20200218,3.4196
20190303,4.5511
20190302,4.7244
20190301,4.9639
20190307,4.1854
20190306,4.2856
20190305,4.2473
20190304,4.5441
20200215,1.8214
20200214,1.9246
20190309,4.2977
20200216,2.0353
20200211,1.9095
20200210,2.0294
20200213,1.9334
20200212,1.9621
20190224,4.254
20190225,4.4089
20190226,4.4357
20190227,4.4429
20190220,5.1343
20190221,4.372
20190222,4.804
20190223,4.0274
20200116,5.6914
20200117,5.7102
20200114,5.3912
20200115,5.6506
20190228,4.5022
20200113,5.4927
20200110,5.4108
20200111,4.9387
20190308,4.767
20200101,5.1473
20200103,5.3548
20200102,5.2935
20200105,4.9906
20200104,5.0077
20200107,5.2761
20200106,5.2556
20200109,5.2358
20190131,5.7395
20200118,5.7522
20200119,5.9348
20190312,4.7154
20190328,4.5576
20190313,4.7159
20190321,4.7083
20190320,4.6945
20190323,4.4629
20190322,4.8772
20190325,4.6226
20190324,4.4434
20190327,4.5636
20190326,4.5444
20190208,6.0459
20190209,5.7402
20190202,5.7272
20190203,5.2062
20190201,5.5181
20190206,6.2076
20190207,6.2939
20190204,4.3695
20190205,5.2885
20190318,4.5107
20190129,5.5992
20190128,5.4566
20190319,4.6697
20190123,4.9074
20190122,4.7302
20190121,4.6782
20190120,4.3593
20190127,5.0641
20190126,5.0008
20190125,5.0914
20190124,5.171
20190219,4.5877
20190218,4.5303
20190215,5.1402
20190214,5.3986
20190217,4.5288
20190216,4.8001
20190211,5.473
20190210,5.5563
20190213,5.5524
20190212,5.7452
20190118,4.9575
20190119,4.7468
20190116,4.5265
20190117,4.742
20190114,4.6533
20190115,4.7066
20190112,4.5572
20190113,4.4788
20200310,4.6387
20200112,5.0069
20200312,4.1573
20200313,4.3954
20200314,4.7434
20200315,4.7298
20200316,4.8041
20200317,4.328
20200318,4.5179
20200319,4.5076
20200303,4.1275
20200302,4.5921
20200301,4.3224
20200307,4.3863
20200306,4.497
20200305,4.3517
20200304,4.0052
20200309,4.6618
20200308,4.5424
20200224,4.3585
20200225,4.2788
20200226,4.2978
20200227,4.3671
20200220,4.1536
20200221,4.331
20200222,4.2819
20200223,3.9772
20200228,4.4618
20200229,4.5481
20200130,2.8441
20200131,2.5875
