Date,Value
20200321,2.9182
20200320,3.0928
20200323,3.1835
20200322,2.9653
20200324,3.1957
20190310,3.5457
20190311,3.4015
20200208,1.8454
20200209,1.8178
20190314,3.3263
20190315,3.5184
20190316,3.6773
20190317,3.5556
20200202,2.2737
20200203,2.2425
20200201,2.4077
20200206,2.0238
20200207,1.9481
20200204,2.2419
20200205,2.1218
20200129,2.5749
20200128,2.5812
20200123,3.0732
20200122,3.1641
20200121,3.0811
20200120,3.131
20200127,2.7136
20200126,2.6991
20200125,2.3669
20200124,2.657
20200311,2.7365
20190130,3.1596
20200217,1.8506
20200108,3.1832
20200219,1.8767
20200218,1.798
20190303,3.5612
20190302,3.5354
20190301,3.6035
20190307,3.2907
20190306,3.2705
20190305,3.4149
20190304,3.4169
20200215,1.7288
20200214,1.8228
20190309,3.4456
20200216,1.7517
20200211,1.7709
20200210,1.8186
20200213,1.7819
20200212,1.7745
20190224,3.0938
20190225,3.161
20190226,3.2672
20190227,3.4563
20190220,3.3505
20190221,3.2832
20190222,3.204
20190223,3.19
20200116,3.2785
20200117,3.1745
20200114,3.1492
20200115,3.2526
20190228,3.6157
20200113,3.1976
20200110,3.3061
20200111,3.2576
20190308,3.5575
20200101,3.1558
20200103,3.2704
20200102,3.282
20200105,3.1941
20200104,3.158
20200107,3.2024
20200106,3.1431
20200109,3.321
20190131,3.4279
20200118,3.1266
20200119,3.1536
20190312,3.3774
20190328,3.2343
20190313,3.3799
20190321,3.5537
20190320,3.4635
20190323,3.5129
20190322,3.5763
20190325,3.5314
20190324,3.5856
20190327,3.4065
20190326,3.4322
20190208,3.6406
20190209,3.5308
20190202,3.4613
20190203,3.1388
20190201,3.2652
20190206,3.3929
20190207,3.6202
20190204,3.0141
20190205,3.2035
20190318,3.4132
20190129,3.1652
20190128,3.2271
20190319,3.4087
20190123,3.2526
20190122,3.2048
20190121,3.2259
20190120,3.2061
20190127,3.059
20190126,3.1024
20190125,3.1579
20190124,3.2938
20190219,3.3193
20190218,3.3171
20190215,3.2161
20190214,3.2904
20190217,3.1337
20190216,3.1473
20190211,3.334
20190210,3.2796
20190213,3.3053
20190212,3.3575
20190118,3.333
20190119,3.1758
20190116,3.176
20190117,3.2545
20190114,3.2275
20190115,3.241
20190112,3.1307
20190113,3.1741
20200310,2.7428
20200112,3.1625
20200312,2.7555
20200313,2.8103
20200314,2.6405
20200315,2.7122
20200316,2.8315
20200317,2.8875
20200318,2.906
20200319,2.9577
20200303,2.5362
20200302,2.6125
20200301,2.4611
20200307,2.5005
20200306,2.6353
20200305,2.6078
20200304,2.5858
20200309,2.7743
20200308,2.5871
20200224,2.0572
20200225,2.1602
20200226,2.2975
20200227,2.2701
20200220,1.9129
20200221,1.9431
20200222,1.8897
20200223,1.9651
20200228,2.4339
20200229,2.4026
20200130,2.5014
20200131,2.4356
