Date,Value
20200321,4.8188
20200320,5.099
20200323,5.0199
20200322,4.8411
20200324,4.9621
20190310,4.3775
20190311,4.1955
20200208,3.787
20200209,3.7661
20190314,4.1365
20190315,4.5426
20190316,4.2432
20190317,4.0639
20200202,4.0278
20200203,4.2888
20200201,4.0306
20200206,4.1191
20200207,4.1811
20200204,4.0159
20200205,4.0307
20200129,4.8126
20200128,5.1229
20200123,6.7656
20200122,6.928
20200121,6.7527
20200120,6.5705
20200127,5.2806
20200126,5.9194
20200125,6.1055
20200124,5.7458
20200311,5.0418
20190130,5.7847
20200217,4.2583
20200108,5.2448
20200219,4.3822
20200218,4.2744
20190303,4.4428
20190302,4.3829
20190301,4.6872
20190307,3.8707
20190306,3.9705
20190305,4.2464
20190304,4.1141
20200215,3.6653
20200214,3.92
20190309,4.0436
20200216,3.8647
20200211,3.921
20200210,3.9944
20200213,3.9463
20200212,3.8853
20190224,4.2773
20190225,4.2957
20190226,4.1386
20190227,4.2687
20190220,5.0918
20190221,4.5163
20190222,4.6991
20200119,6.3275
20200116,6.054
20200117,6.0513
20200114,5.8326
20200115,6.0248
20190228,4.3866
20200113,5.7524
20200110,5.4647
20200111,5.2036
20190308,4.4299
20200101,4.9581
20200103,5.2052
20200102,5.1106
20200105,4.7475
20200104,4.6955
20200107,5.2146
20200106,5.0887
20200109,5.3349
20190131,5.9013
20200118,5.9419
20190223,4.2232
20190312,4.1618
20190328,3.919
20190313,4.1236
20190321,3.9458
20190320,4.03
20190323,3.9933
20190322,4.3624
20190325,4.033
20190324,4.0934
20190327,3.8723
20190326,3.875
20190208,6.0897
20190209,5.5811
20190202,6.2151
20190203,5.6252
20190201,5.8515
20190206,6.213
20190207,6.2293
20190204,5.2567
20190205,5.7348
20190318,4.0081
20190129,5.8214
20190128,5.6258
20190319,3.9947
20190123,4.8805
20190122,4.7644
20190121,4.7461
20190120,4.6684
20190127,4.8711
20190126,4.7099
20190125,5.1395
20190124,5.0899
20190219,5.0494
20190218,5.2142
20190215,5.1263
20190214,5.4338
20190217,4.5412
20190216,4.7142
20190211,5.7448
20190210,5.6212
20190213,5.5575
20190212,5.768
20190118,4.8598
20190119,4.6286
20190116,4.5169
20190117,4.6884
20190114,4.3553
20190115,4.5013
20190112,4.1942
20190113,4.2625
20200310,5.1051
20200112,5.2527
20200312,5.0804
20200313,5.0801
20200314,4.9397
20200315,4.7512
20200316,4.9602
20200317,5.0858
20200318,5.0127
20200319,5.005
20200303,5.3058
20200302,5.1813
20200301,4.9657
20200307,5.0449
20200306,5.2777
20200305,5.1469
20200304,5.309
20200309,5.158
20200308,5.0754
20200224,5.2612
20200225,5.0736
20200226,5.001
20200227,4.6864
20200220,4.3437
20200221,4.8582
20200222,4.5659
20200223,4.5681
20200228,5.201
20200229,5.1328
20200130,4.557
20200131,3.9826
