Date,Value
20200321,4.4586
20200320,4.6582
20200323,4.7672
20200322,4.5461
20200324,4.5665
20190310,4.5662
20190311,4.2493
20200208,2.3627
20200209,2.3895
20190314,4.2411
20190315,4.5858
20190316,4.5276
20190317,4.1658
20200202,3.4216
20200203,2.6795
20200201,3.8407
20200206,2.4668
20200207,2.4707
20200204,2.477
20200205,2.5389
20200129,4.1305
20200128,4.1586
20200123,6.8143
20200122,6.8788
20200121,6.6988
20200120,6.3134
20200127,3.6637
20200126,4.3348
20200125,3.7937
20200124,5.187
20200311,4.6116
20190130,6.0342
20200217,3.0414
20200108,4.7667
20200219,3.1443
20200218,3.1312
20190303,4.5655
20190302,4.5178
20190301,4.6911
20190307,3.716
20190306,3.9358
20190305,4.2705
20190304,4.1084
20200215,2.9001
20200214,3.0434
20190309,4.0105
20200216,2.7576
20200211,2.8154
20200210,2.7296
20200213,2.9656
20200212,2.9012
20190224,4.2885
20190225,4.0599
20190226,3.9752
20190227,4.0845
20190220,4.6545
20190221,4.2933
20190222,4.5777
20190223,3.9721
20200116,5.2944
20200117,5.748
20200114,4.8028
20200115,5.2718
20190228,4.3173
20200113,5.2311
20200110,5.227
20200111,4.777
20190308,4.2791
20200101,5.0004
20200103,4.9357
20200102,4.8357
20200105,4.6992
20200104,4.6294
20200107,4.7996
20200106,4.7454
20200109,4.8665
20190131,6.285
20200118,5.71
20200119,6.0381
20190312,4.3087
20190328,4.0838
20190313,4.2796
20190321,4.1663
20190320,4.1395
20190323,3.88
20190322,4.3308
20190325,4.071
20190324,4.103
20190327,4.0474
20190326,3.9573
20190208,7.4747
20190209,6.6823
20190202,6.4626
20190203,6.1691
20190201,6.1842
20190206,7.6446
20190207,6.7994
20190204,5.2462
20190205,6.4454
20190318,3.9733
20190129,5.975
20190128,5.5579
20190319,4.1331
20190123,4.6642
20190122,4.5582
20190121,4.4613
20190120,4.3949
20190127,5.0821
20190126,4.9852
20190125,5.2122
20190124,4.9055
20190219,5.0354
20190218,4.9659
20190215,5.3241
20190214,5.8659
20190217,4.2011
20190216,4.8376
20190211,5.7073
20190210,6.2196
20190213,5.7004
20190212,6.0038
20190118,4.6631
20190119,4.496
20190116,4.069
20190117,4.3661
20190114,4.12
20190115,4.1868
20190112,4.1549
20190113,4.2091
20200310,4.7829
20200112,5.0655
20200312,4.5528
20200313,4.6971
20200314,4.6077
20200315,4.5085
20200316,4.7706
20200317,4.3405
20200318,4.4692
20200319,4.3676
20200303,4.5521
20200302,4.6917
20200301,4.6814
20200307,4.5198
20200306,4.4432
20200305,4.6084
20200304,3.8122
20200309,4.8311
20200308,4.5666
20200224,4.6016
20200225,4.6548
20200226,4.7038
20200227,4.7234
20200220,3.3142
20200221,3.7613
20200222,4.091
20200223,4.1154
20200228,4.7407
20200229,4.7177
20200130,4.1558
20200131,4.002
