Date,Value
20200321,3.7515
20200320,4.4184
20200323,4.6411
20200322,3.6768
20200324,4.6101
20190310,4.1443
20190311,4.6492
20200208,1.3273
20200209,1.3155
20190314,4.7
20190315,4.969
20190316,4.4355
20190317,4.1908
20200202,1.6708
20200203,2.0113
20200201,1.6012
20200206,1.7061
20200207,1.6447
20200204,1.8239
20200205,1.7431
20200129,1.6004
20200128,1.5564
20200123,3.4371
20200122,4.2622
20200121,4.8043
20200120,5.1319
20200127,1.5342
20200126,1.7754
20200125,1.8159
20200124,2.3755
20200311,3.8214
20190130,4.1531
20200217,1.785
20200108,5.8112
20200219,1.8565
20200218,1.7763
20190303,4.2467
20190302,4.3811
20190301,5.0109
20190307,4.5251
20190306,4.5895
20190305,4.7663
20190304,4.5733
20200215,1.4398
20200214,1.693
20190309,4.3146
20200216,1.2675
20200211,1.6203
20200210,1.6927
20200213,1.6418
20200212,1.6598
20190224,3.8247
20190225,4.3479
20190226,4.4086
20190227,4.6101
20190220,4.2705
20190221,4.265
20190222,4.4652
20190223,4.0526
20200116,5.6902
20200117,5.6623
20200114,5.7159
20200115,5.7314
20190228,4.7618
20200113,5.7334
20200110,6.045
20200111,5.2951
20190308,4.9053
20200101,5.3529
20200103,6.0172
20200102,5.826
20200105,5.1194
20200104,5.3111
20200107,5.8073
20200106,5.8286
20200109,5.8317
20190131,4.143
20200118,4.9267
20200119,5.1904
20190312,4.7344
20190328,4.563
20190313,4.7561
20190321,4.6188
20190320,4.6781
20190323,4.2753
20190322,4.9043
20190325,4.6118
20190324,4.0553
20190327,4.5817
20190326,4.5946
20190208,2.401
20190209,2.5837
20190202,3.4027
20190203,2.7383
20190201,3.6558
20190206,2.2579
20190207,2.2539
20190204,2.0473
20190205,2.1526
20190318,4.5978
20190129,4.2547
20190128,4.3758
20190319,4.6651
20190123,4.5328
20190122,4.5564
20190121,4.4991
20190120,4.1848
20190127,3.7463
20190126,3.9531
20190125,4.5391
20190124,4.5979
20190219,3.8518
20190218,4.2065
20190215,4.0076
20190214,3.9711
20190217,3.5173
20190216,3.5779
20190211,3.591
20190210,2.9077
20190213,3.9814
20190212,3.8629
20190118,4.9829
20190119,4.3552
20190116,4.5623
20190117,4.7726
20190114,4.6253
20190115,4.8315
20190112,4.2837
20190113,4.1234
20200310,3.7667
20200112,4.9517
20200312,3.9357
20200313,4.0112
20200314,3.1995
20200315,3.1484
20200316,4.2246
20200317,4.2608
20200318,4.3023
20200319,4.3334
20200303,3.2634
20200302,3.2362
20200301,2.306
20200307,2.8316
20200306,3.3706
20200305,3.2204
20200304,3.2159
20200309,3.7849
20200308,2.7991
20200224,2.3648
20200225,2.3876
20200226,2.4641
20200227,2.5352
20200220,1.9287
20200221,1.9853
20200222,1.6331
20200223,1.6123
20200228,2.5595
20200229,2.2465
20200130,1.5573
20200131,1.6089
