Date,Value
20200321,3.981
20200320,4.4213
20200323,4.4615
20200322,3.9527
20200324,4.5132
20190310,4.019
20190311,4.2527
20200208,1.8941
20200209,1.8905
20190314,4.2111
20190315,4.3945
20190316,4.0088
20190317,3.9088
20200202,2.0185
20200203,2.2553
20200201,1.9894
20200206,2.0261
20200207,2.047
20200204,2.1405
20200205,2.0656
20200129,2.0731
20200128,2.1799
20200123,2.6029
20200122,2.7826
20200121,2.9108
20200120,3.0825
20200127,2.2992
20200126,2.3355
20200125,2.3682
20200124,2.4572
20200311,4.1921
20190130,2.9914
20200217,2.5586
20200108,4.0566
20200219,2.6308
20200218,2.6245
20190303,3.6647
20190302,3.7658
20190301,4.2069
20190307,4.1273
20190306,4.1101
20190305,4.1162
20190304,3.9463
20200215,2.0566
20200214,2.4064
20190309,4.0471
20200216,2.0951
20200211,2.2325
20200210,2.2389
20200213,2.3179
20200212,2.2848
20190224,3.2513
20190225,3.6637
20190226,3.7402
20190227,3.9739
20190220,3.3019
20190221,3.3455
20190222,3.4752
20190223,3.2379
20200116,3.6027
20200117,3.5359
20200114,3.7709
20200115,3.6901
20190228,4.1371
20200113,3.8178
20200110,3.7472
20200111,3.4106
20190308,4.5073
20200101,3.9532
20200103,4.212
20200102,4.2016
20200105,3.607
20200104,3.6915
20200107,4.0114
20200106,4.075
20200109,4.0149
20190131,2.9691
20200118,3.0515
20200119,3.137
20190312,4.2463
20190328,4.2451
20190313,4.2067
20190321,4.2625
20190320,4.2786
20190323,3.9912
20190322,4.3862
20190325,4.2099
20190324,3.9045
20190327,4.2172
20190326,4.2249
20190208,2.549
20190209,2.4715
20190202,2.6728
20190203,2.3747
20190201,2.6627
20190206,2.499
20190207,2.5484
20190204,2.494
20190205,2.4965
20190318,4.2506
20190129,3.0956
20190128,3.025
20190319,4.2363
20190123,3.5036
20190122,3.5171
20190121,3.5181
20190120,3.1489
20190127,2.8371
20190126,3.0448
20190125,3.3952
20190124,3.5684
20190219,3.2725
20190218,3.3325
20190215,3.0941
20190214,3.0459
20190217,2.6984
20190216,2.828
20190211,2.8451
20190210,2.5954
20190213,3.0709
20190212,3.0068
20190118,3.641
20190119,3.3182
20190116,3.7014
20190117,3.6712
20190114,3.8507
20190115,3.8339
20190112,3.6181
20190113,3.5296
20200310,4.1808
20200112,3.3657
20200312,4.1934
20200313,4.2746
20200314,3.8619
20200315,3.6953
20200316,4.3293
20200317,4.3688
20200318,4.3841
20200319,4.4052
20200303,3.8764
20200302,3.8743
20200301,3.307
20200307,3.5731
20200306,4.0428
20200305,3.9632
20200304,3.9586
20200309,4.1779
20200308,3.5348
20200224,3.4977
20200225,3.4779
20200226,3.5647
20200227,3.5948
20200220,2.7627
20200221,3.0743
20200222,2.739
20200223,2.74
20200228,3.7462
20200229,3.3771
20200130,2.0237
20200131,2.0169
