Date,Value
20200321,4.5922
20200320,4.7069
20200323,4.7715
20200322,4.5338
20200324,4.8155
20190310,4.3351
20190311,4.4507
20200208,1.2541
20200209,0.8757
20190314,4.4747
20190315,4.6518
20190316,4.6083
20190317,4.381
20200202,1.5084
20200203,1.596
20200201,1.5746
20200206,1.4074
20200207,1.4404
20200204,1.4472
20200205,1.4111
20200129,2.0057
20200128,2.3151
20200123,4.0759
20200122,4.1605
20200121,4.2456
20200120,4.396
20200127,2.6369
20200126,3.5292
20200125,3.6523
20200124,4.0129
20200311,3.791
20190130,4.0711
20200217,0.8621
20200108,4.7761
20200219,0.861
20200218,0.8521
20190303,4.2026
20190302,4.343
20190301,4.5756
20190307,4.3322
20190306,4.2883
20190305,4.4124
20190304,4.2813
20200215,0.8212
20200214,0.8479
20190309,4.3464
20200216,0.8005
20200211,0.8542
20200210,0.8629
20200213,0.8585
20200212,0.8522
20190224,3.9053
20190225,4.135
20190226,4.1161
20190227,4.3145
20190220,4.1018
20190221,4.0857
20190222,4.1825
20200119,4.3288
20200116,4.4202
20200117,4.5311
20200114,4.7517
20200115,4.3244
20190228,4.4894
20200113,4.8101
20200110,4.8909
20200111,4.5793
20190308,4.5948
20200101,4.665
20200103,4.8809
20200102,4.7839
20200105,4.4103
20200104,4.5094
20200107,4.7825
20200106,4.7928
20200109,4.7852
20190131,4.1331
20200118,4.2887
20190223,3.9845
20190312,4.4781
20190328,4.4803
20190313,4.4895
20190321,4.5591
20190320,4.5443
20190323,4.4835
20190322,4.6822
20190325,4.5555
20190324,4.4147
20190327,4.4739
20190326,4.4556
20190208,3.7369
20190209,3.7638
20190202,3.9497
20190203,3.5732
20190201,3.8171
20190206,3.9007
20190207,3.7274
20190204,3.98
20190205,3.9403
20190318,4.5154
20190129,4.1018
20190128,4.2219
20190319,4.4865
20190123,4.1389
20190122,4.1506
20190121,4.2367
20190120,4.1334
20190127,3.8284
20190126,3.9434
20190125,4.1739
20190124,4.3026
20190219,4.1132
20190218,4.2656
20190215,4.0309
20190214,4.0249
20190217,3.7395
20190216,3.825
20190211,4.0355
20190210,3.7746
20190213,4.0507
20190212,4.0662
20190118,4.4665
20190119,4.2761
20190116,4.3223
20190117,4.3944
20190114,4.3673
20190115,4.4823
20190112,4.1122
20190113,4.1002
20200310,3.6099
20200112,4.4728
20200312,3.8777
20200313,4.0194
20200314,3.9708
20200315,4.056
20200316,4.3409
20200317,4.4046
20200318,4.4733
20200319,4.5489
20200303,1.1384
20200302,1.0772
20200301,1.0058
20200307,2.4214
20200306,2.3144
20200305,1.668
20200304,1.1884
20200309,2.9688
20200308,2.3216
20200224,0.9843
20200225,0.9682
20200226,1.0071
20200227,1.0033
20200220,0.8651
20200221,0.8418
20200222,0.8087
20200223,0.838
20200228,0.9868
20200229,1.0192
20200130,1.7434
20200131,1.6331
