Date,Value
20200321,4.7923
20200320,4.843
20200323,4.9292
20200322,4.8819
20200324,4.9078
20190310,4.7079
20190311,4.6715
20200208,1.8626
20200209,2.0527
20190314,4.6586
20190315,4.9955
20190316,4.9051
20190317,4.5749
20200202,2.3235
20200203,2.3895
20200201,2.3428
20200206,1.9516
20200207,2.0615
20200204,2.2625
20200205,2.1238
20200129,2.3389
20200128,2.5321
20200123,5.2462
20200122,5.8715
20200121,5.8967
20200120,5.9318
20200127,2.321
20200126,2.9872
20200125,3.5571
20200124,4.329
20200311,4.3905
20190130,5.0869
20200217,2.6526
20200108,4.8131
20200219,2.8538
20200218,2.7061
20190303,4.6855
20190302,4.8081
20190301,5.0245
20190307,4.5303
20190306,4.4843
20190305,4.6893
20190304,4.542
20200215,2.2142
20200214,2.1693
20190309,4.629
20200216,2.38
20200211,2.2572
20200210,2.2383
20200213,2.3578
20200212,2.301
20190224,4.3804
20190225,4.556
20190226,4.4963
20190227,4.6947
20190220,5.328
20190221,4.7841
20190222,4.774
20190223,4.5092
20200116,5.1618
20200117,5.4134
20200114,5.4939
20200115,5.5984
20190228,4.7788
20200113,5.4953
20200110,5.3805
20200111,5.1037
20190308,4.8602
20200101,5.0025
20200103,5.3989
20200102,5.3276
20200105,4.3497
20200104,5.1192
20200107,4.5582
20200106,4.8951
20200109,5.1346
20190131,5.3304
20200118,5.4315
20200119,5.7505
20190312,4.6956
20190328,4.4837
20190313,4.6777
20190321,4.6044
20190320,4.6267
20190323,4.623
20190322,4.9098
20190325,4.7342
20190324,4.691
20190327,4.5936
20190326,4.6017
20190208,5.3055
20190209,4.7023
20190202,5.2426
20190203,4.8058
20190201,5.1479
20190206,5.9986
20190207,4.7187
20190204,3.9139
20190205,4.9563
20190318,4.5629
20190129,5.2065
20190128,5.1006
20190319,4.6351
20190123,4.8442
20190122,4.7627
20190121,4.6852
20190120,4.4218
20190127,4.6782
20190126,4.7105
20190125,4.9223
20190124,4.9683
20190219,4.5816
20190218,4.9403
20190215,4.5194
20190214,3.695
20190217,4.6426
20190216,4.7022
20190211,5.0555
20190210,4.4464
20190213,4.4771
20190212,5.1296
20190118,4.7373
20190119,4.2221
20190116,4.4904
20190117,4.6138
20190114,4.4957
20190115,4.6108
20190112,4.3946
20190113,4.4012
20200310,4.2792
20200112,5.0746
20200312,4.3939
20200313,4.4562
20200314,4.4959
20200315,4.6002
20200316,4.6485
20200317,4.7638
20200318,4.8056
20200319,4.7691
20200303,3.6929
20200302,3.5397
20200301,3.3369
20200307,3.9649
20200306,3.8423
20200305,3.7105
20200304,3.6842
20200309,3.9827
20200308,3.9292
20200224,2.7973
20200225,2.8973
20200226,2.8945
20200227,2.8069
20200220,2.8191
20200221,3.0545
20200222,3.0806
20200223,2.9246
20200228,2.8468
20200229,2.9584
20200130,2.5159
20200131,2.4221
