Date,Value
20200321,4.6727
20200320,5.7411
20200323,5.8649
20200322,4.2463
20200324,5.8668
20190310,4.6814
20190311,5.7063
20200208,0.8271
20200209,0.8605
20190314,5.6108
20190315,5.9679
20190316,5.1388
20190317,4.6758
20200202,1.1882
20200203,1.3077
20200201,1.2798
20200206,0.8822
20200207,0.8877
20200204,1.1415
20200205,1.0191
20200129,1.3655
20200128,1.357
20200123,2.8829
20200122,3.5098
20200121,4.1854
20200120,4.6611
20200127,1.45
20200126,1.5682
20200125,1.8072
20200124,2.2181
20200311,5.2514
20190130,4.1371
20200217,1.9911
20200108,6.5416
20200219,2.3613
20200218,2.2069
20190303,4.5254
20190302,4.7368
20190301,5.8162
20190307,5.6056
20190306,5.6015
20190305,5.7125
20190304,5.5941
20200215,1.2694
20200214,1.4047
20190309,4.8339
20200216,1.3317
20200211,1.0705
20200210,1.0941
20200213,1.2643
20200212,1.1616
20190224,4.1786
20190225,5.3089
20190226,5.3093
20190227,5.4418
20190220,4.7558
20190221,4.8159
20190222,5.1162
20190223,4.4101
20200116,5.8288
20200117,5.7533
20200114,6.1817
20200115,6.0216
20190228,5.7106
20200113,6.2374
20200110,6.3999
20200111,5.3959
20190308,5.7972
20200101,5.295
20200103,6.533
20200102,6.5251
20200105,5.1857
20200104,5.4191
20200107,6.5479
20200106,6.5824
20200109,6.4389
20190131,3.8581
20200118,4.6191
20200119,4.8404
20190312,5.7726
20190328,5.6248
20190313,5.795
20190321,5.6159
20190320,5.8235
20190323,5.0486
20190322,5.8953
20190325,5.7731
20190324,4.7148
20190327,5.6472
20190326,5.7165
20190208,2.1326
20190209,2.1201
20190202,2.8989
20190203,2.3419
20190201,3.2866
20190206,2.2607
20190207,2.0936
20190204,1.9655
20190205,2.1131
20190318,5.6158
20190129,4.3764
20190128,4.6551
20190319,5.7444
20190123,5.1361
20190122,5.1605
20190121,5.2146
20190120,4.2901
20190127,3.7969
20190126,4.1582
20190125,5.0324
20190124,5.2404
20190219,4.6502
20190218,4.7471
20190215,4.1993
20190214,4.0712
20190217,3.4678
20190216,3.5109
20190211,3.0045
20190210,2.1981
20190213,3.8448
20190212,3.5126
20190118,5.6036
20190119,4.7121
20190116,5.3388
20190117,5.4712
20190114,5.4322
20190115,5.5149
20190112,4.6784
20190113,4.3433
20200310,5.1794
20200112,5.1507
20200312,5.2499
20200313,5.3134
20200314,4.3129
20200315,4.0363
20200316,5.5615
20200317,5.5821
20200318,5.617
20200319,5.6451
20200303,4.5467
20200302,4.5428
20200301,2.895
20200307,3.8801
20200306,4.8189
20200305,4.7685
20200304,4.6368
20200309,5.0564
20200308,3.5511
20200224,3.5278
20200225,3.6015
20200226,3.5449
20200227,3.7575
20200220,2.656
20200221,2.8187
20200222,2.3328
20200223,2.2158
20200228,3.8783
20200229,3.0666
20200130,1.2906
20200131,1.3346
