Date,Value
20200321,5.4612
20200320,5.3652
20200323,5.3016
20200322,5.3744
20200324,5.277
20190310,5.2724
20190311,4.9814
20200208,2.9495
20200209,3.1806
20190314,4.9249
20190315,5.3082
20190316,5.3959
20190317,5.0974
20200202,4.0296
20200203,4.0146
20200201,4.0146
20200206,3.121
20200207,3.1703
20200204,3.9112
20200205,3.5711
20200129,4.2488
20200128,4.9559
20200123,8.8778
20200122,8.7434
20200121,8.4764
20200120,8.4069
20200127,5.4133
20200126,6.3027
20200125,5.8872
20200124,6.1385
20200311,5.5007
20190130,7.1324
20200217,3.6204
20200108,5.4531
20200219,3.8701
20200218,3.7647
20190303,5.2523
20190302,5.259
20190301,5.4521
20190307,4.7991
20190306,4.8277
20190305,5.0437
20190304,4.9155
20200215,3.0283
20200214,3.3673
20190309,5.1241
20200216,3.249
20200211,3.2603
20200210,3.3194
20200213,3.5052
20200212,3.3733
20190224,5.1661
20190225,5.0324
20190226,4.8794
20190227,4.9761
20190220,5.8701
20190221,5.4009
20190222,5.403
20200119,7.7138
20200116,6.308
20200117,6.9771
20200114,6.5107
20200115,6.5583
20190228,5.1768
20200113,6.2397
20200110,5.7711
20200111,5.7177
20190308,5.2291
20200101,5.2015
20200103,5.536
20200102,5.3134
20200105,4.6693
20200104,5.404
20200107,4.8873
20200106,4.9761
20200109,5.5882
20190131,7.6737
20200118,7.1221
20190223,5.2827
20190312,5.0038
20190328,4.8471
20190313,4.9676
20190321,4.8562
20190320,4.8101
20190323,5.1664
20190322,5.2377
20190325,4.9967
20190324,5.2084
20190327,4.8554
20190326,4.8914
20190208,8.285
20190209,7.5835
20190202,8.2562
20190203,8.1723
20190201,7.9208
20190206,8.8106
20190207,8.733
20190204,6.1309
20190205,7.4708
20190318,4.9589
20190129,7.3195
20190128,7.1412
20190319,5.0136
20190123,5.9242
20190122,5.5733
20190121,5.409
20190120,5.2722
20190127,6.426
20190126,6.248
20190125,6.3012
20190124,6.1176
20190219,5.8087
20190218,5.6859
20190215,6.4537
20190214,6.6026
20190217,5.9943
20190216,6.2498
20190211,7.8793
20190210,7.4841
20190213,7.1409
20190212,7.6001
20190118,5.4988
20190119,5.3537
20190116,4.89
20190117,5.1944
20190114,4.9591
20190115,5.0234
20190112,4.951
20190113,4.9623
20200310,5.3825
20200112,5.7362
20200312,5.4739
20200313,5.03
20200314,5.3864
20200315,5.4466
20200316,5.3243
20200317,5.3368
20200318,5.3696
20200319,5.3642
20200303,5.4354
20200302,5.44
20200301,5.3361
20200307,5.5735
20200306,5.3921
20200305,5.4391
20200304,5.4744
20200309,5.0896
20200308,5.4848
20200224,4.9594
20200225,5.0108
20200226,5.0315
20200227,4.7271
20200220,4.0538
20200221,4.2755
20200222,4.5377
20200223,4.5616
20200228,4.6084
20200229,5.1439
20200130,4.2385
20200131,4.1331
