Date,Value
20200321,4.9259
20200320,5.1033
20200323,5.1992
20200322,4.874
20200324,5.2018
20190310,4.6908
20190311,4.7714
20200208,1.4885
20200209,1.5457
20190314,4.7234
20190315,5.1184
20190316,4.8369
20190317,4.5653
20200202,1.6112
20200203,1.7407
20200201,1.6063
20200206,1.5563
20200207,1.7111
20200204,1.6562
20200205,1.5929
20200129,1.6333
20200128,1.8688
20200123,5.505
20200122,5.994
20200121,6.0142
20200120,6.0493
20200127,2.0658
20200126,2.3085
20200125,3.0184
20200124,4.1311
20200311,4.6563
20190130,5.0943
20200217,1.7942
20200108,5.3296
20200219,1.9504
20200218,1.8375
20190303,4.6071
20190302,4.6859
20190301,5.1393
20190307,4.6042
20190306,4.5773
20190305,4.7972
20190304,4.6225
20200215,1.4289
20200214,1.5663
20190309,4.604
20200216,1.4808
20200211,1.657
20200210,1.7572
20200213,1.6127
20200212,1.6226
20190224,4.4239
20190225,4.6005
20190226,4.5323
20190227,4.4708
20190220,4.8395
20190221,4.8064
20190222,4.9109
20190223,4.6527
20200116,5.7314
20200117,5.8401
20200114,5.7383
20200115,5.7453
20190228,4.5806
20200113,5.7538
20200110,5.7706
20200111,5.3255
20190308,5.016
20200101,5.1747
20200103,5.6964
20200102,5.5282
20200105,4.2735
20200104,5.1808
20200107,4.8643
20200106,5.3081
20200109,5.6232
20190131,5.3646
20200118,5.485
20200119,5.9514
20190312,4.7609
20190328,4.5442
20190313,4.7494
20190321,4.6799
20190320,4.7697
20190323,4.6709
20190322,5.0882
20190325,4.8285
20190324,4.7332
20190327,4.6636
20190326,4.673
20190208,4.5898
20190209,4.4659
20190202,5.2404
20190203,4.7947
20190201,5.1596
20190206,5.6894
20190207,5.2125
20190204,3.7914
20190205,4.7404
20190318,4.6769
20190129,5.3272
20190128,5.2334
20190319,4.7301
20190123,5.0963
20190122,4.9649
20190121,4.9663
20190120,4.4364
20190127,4.6669
20190126,4.8065
20190125,4.9183
20190124,5.0798
20190219,4.5405
20190218,5.0126
20190215,4.4764
20190214,3.7478
20190217,4.5779
20190216,4.624
20190211,5.1185
20190210,3.9325
20190213,4.7953
20190212,5.1228
20190118,4.9335
20190119,4.4065
20190116,4.7169
20190117,4.8252
20190114,4.7897
20190115,4.804
20190112,4.4517
20190113,4.498
20200310,4.5696
20200112,5.3399
20200312,4.6766
20200313,4.6227
20200314,4.6044
20200315,4.5715
20200316,4.8463
20200317,4.981
20200318,4.9727
20200319,5.0197
20200303,3.6576
20200302,3.5035
20200301,2.9684
20200307,4.0104
20200306,4.0364
20200305,3.8533
20200304,3.6804
20200309,4.2024
20200308,3.9053
20200224,2.6433
20200225,2.7055
20200226,2.6725
20200227,2.653
20200220,2.1206
20200221,2.4412
20200222,2.3907
20200223,2.3302
20200228,2.6915
20200229,2.7465
20200130,1.6101
20200131,1.6316
