Date,Value
20200321,4.3965
20200320,5.1974
20200323,5.3429
20200322,4.1347
20200324,5.3522
20190310,4.4693
20190311,5.0767
20200208,1.3382
20200209,1.3639
20190314,5.0507
20190315,5.3795
20190316,4.8693
20190317,4.3707
20200202,1.5458
20200203,1.7502
20200201,1.68
20200206,1.3844
20200207,1.4353
20200204,1.6742
20200205,1.6026
20200129,1.7707
20200128,1.8416
20200123,3.8241
20200122,4.4789
20200121,5.0325
20200120,5.4711
20200127,1.9277
20200126,2.2211
20200125,2.8208
20200124,3.2787
20200311,4.3554
20190130,4.607
20200217,1.9934
20200108,6.0736
20200219,2.0261
20200218,2.0037
20190303,4.3744
20190302,4.6383
20190301,5.3337
20190307,4.9406
20190306,4.9764
20190305,5.0607
20190304,4.9748
20200215,1.3053
20200214,1.7593
20190309,4.6071
20200216,1.3049
20200211,1.647
20200210,1.7653
20200213,1.7322
20200212,1.6853
20190224,4.1503
20190225,4.8453
20190226,4.7863
20190227,4.906
20190220,4.8092
20190221,4.7351
20190222,4.8001
20200119,5.4426
20200116,5.7184
20200117,5.8455
20200114,6.0856
20200115,5.8809
20190228,5.1609
20200113,6.0405
20200110,6.0322
20200111,5.2427
20190308,5.1873
20200101,5.1378
20200103,6.136
20200102,6.0522
20200105,4.9102
20200104,5.2423
20200107,5.8684
20200106,5.9991
20200109,5.829
20190131,4.5121
20200118,5.0728
20190223,4.4173
20190312,5.1354
20190328,4.9937
20190313,5.1525
20190321,5.0776
20190320,5.1248
20190323,4.6461
20190322,5.2896
20190325,5.1426
20190324,4.4243
20190327,5.03
20190326,5.0432
20190208,2.8942
20190209,2.9436
20190202,3.8063
20190203,3.1084
20190201,4.0763
20190206,3.0893
20190207,2.921
20190204,2.8548
20190205,2.9721
20190318,5.0032
20190129,4.7456
20190128,4.8343
20190319,5.1013
20190123,4.8964
20190122,4.8243
20190121,4.8519
20190120,4.0991
20190127,4.0881
20190126,4.2789
20190125,4.8803
20190124,4.9859
20190219,4.5313
20190218,4.7009
20190215,4.5655
20190214,4.5976
20190217,3.9508
20190216,4.1803
20190211,4.0446
20190210,3.3454
20190213,4.5464
20190212,4.413
20190118,5.0575
20190119,4.4184
20190116,4.8242
20190117,4.9409
20190114,4.9125
20190115,5.0362
20190112,4.3779
20190113,4.0949
20200310,4.2038
20200112,5.0789
20200312,4.4107
20200313,4.4275
20200314,3.7544
20200315,3.5769
20200316,4.8493
20200317,4.9346
20200318,5.009
20200319,5.0526
20200303,3.6397
20200302,3.6495
20200301,2.4875
20200307,3.2311
20200306,3.8342
20200305,3.8032
20200304,3.7244
20200309,4.0768
20200308,3.0024
20200224,2.8543
20200225,2.7863
20200226,2.9133
20200227,2.9712
20200220,2.1277
20200221,2.1513
20200222,1.8233
20200223,1.8141
20200228,2.9296
20200229,2.5447
20200130,1.7201
20200131,1.7046
