Date,Value
20200321,4.2939
20200320,4.4854
20200323,4.6138
20200322,4.2945
20200324,4.6642
20190310,4.3756
20190311,4.6787
20200208,2.1241
20200209,1.8259
20190314,4.5921
20190315,4.8105
20190316,4.5884
20190317,4.2793
20200202,2.6669
20200203,2.7231
20200201,2.7739
20200206,2.1877
20200207,2.1425
20200204,2.4975
20200205,2.386
20200129,3.4282
20200128,3.4316
20200123,5.151
20200122,5.4169
20200121,5.4486
20200120,5.4673
20200127,4.0921
20200126,4.5517
20200125,4.4577
20200124,5.1006
20200311,3.9255
20190130,4.7368
20200217,1.8751
20200108,5.2809
20200219,1.9065
20200218,1.867
20190303,4.3166
20190302,4.4446
20190301,4.8139
20190307,4.58
20190306,4.4971
20190305,4.6499
20190304,4.5492
20200215,1.705
20200214,1.784
20190309,4.2747
20200216,1.7007
20200211,1.8321
20200210,1.9054
20200213,1.7917
20200212,1.8125
20190224,4.08
20190225,4.5277
20190226,4.5067
20190227,4.6546
20190220,4.6701
20190221,4.5237
20200118,5.0456
20200119,5.3154
20200116,5.4762
20200117,5.4858
20200114,5.4263
20200115,5.4442
20190228,4.8041
20200113,5.4228
20200110,5.3837
20200111,4.9316
20190308,4.9587
20200101,5.0431
20200103,5.2808
20200102,5.267
20200105,4.6755
20200104,4.8147
20200107,5.2457
20200106,5.2953
20200109,5.3101
20190131,4.8916
20190222,4.5567
20190223,4.21
20190312,4.4688
20190328,4.5814
20190313,4.6274
20190321,4.3199
20190320,4.7071
20190323,4.4261
20190322,4.7103
20190325,4.7862
20190324,4.3877
20190327,4.6214
20190326,4.5613
20190208,4.4568
20190209,4.4571
20190202,4.7559
20190203,4.2942
20190201,4.5847
20190206,4.6944
20190207,4.5207
20190204,4.6534
20190205,4.6739
20190318,4.649
20190129,4.7582
20190128,4.8814
20190319,4.6885
20190123,4.6222
20190122,4.5227
20190121,4.6673
20190120,4.2703
20190127,4.2586
20190126,4.3702
20190125,4.6841
20190124,4.7271
20190219,4.8948
20190218,4.6844
20190215,4.4869
20190214,4.6405
20190217,4.0818
20190216,4.2174
20190211,4.7406
20190210,4.4657
20190213,4.7053
20190212,4.7135
20190118,4.7227
20190119,4.3885
20190116,4.6072
20190117,4.6649
20190114,4.6791
20190115,4.7622
20190112,4.3418
20190113,4.2527
20200310,3.787
20200112,4.8844
20200312,3.9264
20200313,3.984
20200314,3.925
20200315,3.9284
20200316,4.2567
20200317,4.2922
20200318,4.2769
20200319,4.3327
20200303,2.8756
20200302,2.8258
20200301,2.6038
20200307,3.0817
20200306,3.1311
20200305,3.0119
20200304,2.8505
20200309,3.6718
20200308,3.3851
20200224,2.2309
20200225,2.2556
20200226,2.3461
20200227,2.3695
20200220,1.9679
20200221,2.0115
20200222,1.8788
20200223,1.9537
20200228,2.4316
20200229,2.4748
20200130,2.867
20200131,2.8316
