Date,Value
20200321,3.63
20200320,3.747
20200323,3.8844
20200322,3.6241
20200324,3.9042
20190310,3.7596
20190311,3.9342
20200208,1.4392
20200209,1.2871
20190314,3.8874
20190315,4.0878
20190316,3.8833
20190317,3.6463
20200202,2.2068
20200203,1.8858
20200201,2.5745
20200206,1.4337
20200207,1.4266
20200204,1.7983
20200205,1.6409
20200129,3.0179
20200128,3.0182
20200123,4.4071
20200122,4.686
20200121,4.7143
20200120,4.8316
20200127,3.3367
20200126,3.5804
20200125,3.5221
20200124,4.0212
20200311,2.3753
20190130,4.1061
20200217,1.1823
20200108,4.4544
20200219,1.1728
20200218,1.1624
20190303,3.6943
20190302,3.7815
20190301,4.0897
20190307,3.8379
20190306,3.7852
20190305,3.8767
20190304,3.8569
20200215,1.1341
20200214,1.1874
20190309,3.6781
20200216,1.1219
20200211,1.267
20200210,1.3049
20200213,1.1732
20200212,1.2037
20190224,3.5688
20190225,3.9157
20190226,3.9166
20190227,4.037
20190220,4.0936
20190221,3.9509
20200118,4.4374
20190223,3.6658
20200116,4.753
20200117,4.7591
20200114,4.6943
20200115,4.7292
20190228,4.1178
20200113,4.7081
20200110,4.6445
20200111,4.331
20190308,4.1723
20200101,4.3244
20200103,4.5031
20200102,4.4887
20200105,4.0169
20200104,4.127
20200107,4.3582
20200106,4.4635
20200109,4.488
20190131,4.269
20190222,3.9574
20200119,4.6295
20190312,3.766
20190328,3.8297
20190313,3.8059
20190321,3.8283
20190320,3.8436
20190323,3.7376
20190322,3.9807
20190325,3.8917
20190324,3.7687
20190327,3.8443
20190326,3.8193
20190208,3.9121
20190209,3.9038
20190202,4.171
20190203,3.7607
20190201,4.0603
20190206,3.8537
20190207,3.9717
20190204,3.7819
20190205,3.8178
20190318,3.9067
20190129,4.1632
20190128,4.2623
20190319,3.8498
20190123,3.9981
20190122,3.9601
20190121,4.0494
20190120,3.7337
20190127,3.8345
20190126,3.8653
20190125,4.0504
20190124,4.0983
20190219,4.2411
20190218,4.1099
20190215,3.9565
20190214,4.1381
20190217,3.6256
20190216,3.7189
20190211,4.1987
20190210,4.1111
20190213,4.1762
20190212,4.2154
20190118,4.053
20190119,3.7891
20190116,3.9267
20190117,3.9898
20190114,3.9579
20190115,4.1217
20190112,3.7002
20190113,3.6695
20200310,1.9994
20200112,4.3456
20200312,2.5816
20200313,2.956
20200314,3.0084
20200315,3.1885
20200316,3.5045
20200317,3.5353
20200318,3.6123
20200319,3.7252
20200303,1.5264
20200302,1.5403
20200301,1.4236
20200307,1.5995
20200306,1.6397
20200305,1.6089
20200304,1.5559
20200309,1.936
20200308,1.7127
20200224,1.2723
20200225,1.2575
20200226,1.3313
20200227,1.3602
20200220,1.1807
20200221,1.1806
20200222,1.1116
20200223,1.15
20200228,1.3593
20200229,1.3883
20200130,2.959
20200131,2.8625
