Date,Value
20200321,4.6935
20200320,4.7367
20200323,4.9243
20200322,4.871
20200324,4.9081
20190310,4.8593
20190311,4.8284
20200208,2.022
20200209,2.1127
20190314,4.8233
20190315,5.0782
20190316,5.0251
20190317,4.6839
20200202,2.1736
20200203,2.4477
20200201,2.2882
20200206,1.9802
20200207,2.0545
20200204,2.3282
20200205,2.2345
20200129,2.3252
20200128,2.4618
20200123,5.4949
20200122,5.7444
20200121,5.7509
20200120,5.823
20200127,2.5411
20200126,3.2408
20200125,3.7684
20200124,4.1935
20190130,5.0694
20200217,2.4629
20200108,5.0584
20200219,2.6089
20200218,2.506
20190303,4.7273
20190302,4.9069
20190301,5.0363
20190307,4.6667
20190306,4.6109
20190305,4.823
20190304,4.6889
20200215,2.1468
20200214,2.0117
20190309,4.8149
20200216,2.2027
20200211,2.2929
20200210,2.3252
20200213,2.3841
20200212,2.3221
20190224,4.377
20190225,4.5527
20190226,4.5095
20190227,4.683
20190220,4.8324
20190221,4.5966
20200118,5.4487
20190223,4.5375
20200116,5.6571
20200117,5.5467
20200114,5.4433
20200115,5.4601
20200112,5.0639
20200113,5.4214
20200110,5.3805
20200111,5.0844
20190308,4.8718
20200101,5.1613
20200103,5.3783
20200102,5.3687
20200105,4.7208
20200104,5.1033
20200107,4.8101
20200106,4.8923
20200109,5.1661
20190131,5.1954
20190222,4.7148
20200119,5.6913
20190312,4.8263
20190328,4.7033
20190313,4.8242
20190321,4.7684
20190320,4.8499
20190323,4.8282
20190322,5.0448
20190325,4.9057
20190324,4.8249
20190327,4.7672
20190326,4.7835
20190208,5.0857
20190209,4.5343
20190202,5.1146
20190203,4.7705
20190201,4.999
20190206,4.8234
20190207,4.9189
20190204,3.8055
20190205,4.3145
20190318,4.7474
20190129,5.0561
20190128,5.0198
20190319,4.8232
20190123,4.806
20190122,4.7037
20190121,4.6999
20190120,4.3853
20190127,4.6015
20190126,4.6875
20190125,4.8997
20190124,4.9374
20190219,4.6857
20190218,4.9563
20190215,4.3049
20190214,3.7859
20190217,4.5208
20190216,4.4863
20190211,4.7609
20190210,4.6532
20190213,4.4731
20190212,4.7743
20190118,4.7052
20190119,4.4709
20190116,4.5432
20190117,4.6242
20190114,4.5925
20190115,4.6867
20190112,4.3308
20190113,4.3495
20190228,4.8486
20200310,4.625
20200311,4.6668
20200312,4.5924
20200313,4.7258
20200314,4.5244
20200315,4.5677
20200316,4.6514
20200317,4.7031
20200318,4.7945
20200319,4.7305
20200303,4.1059
20200302,4.0529
20200301,3.9094
20200307,4.4078
20200306,4.406
20200305,4.229
20200304,4.1834
20200309,4.3075
20200308,4.3911
20200224,3.2576
20200225,3.2941
20200226,3.4765
20200227,3.4532
20200220,2.5954
20200221,2.804
20200222,2.8908
20200223,3.048
20200228,3.4999
20200229,3.5009
20200130,2.3528
20200131,2.3013
