Date,Value
20200321,3.8647
20200320,3.9923
20200323,4.0748
20200322,3.925
20200324,3.9729
20190310,3.8303
20190311,4.0271
20200208,2.4334
20200209,2.2474
20190314,3.8838
20190315,4.3988
20190316,4.2624
20190317,4.0658
20200202,2.8899
20200203,2.8765
20200201,2.9633
20200206,2.8935
20200207,2.7335
20200204,2.7069
20200205,2.9853
20200129,3.1051
20200128,3.5568
20200123,4.8596
20200122,4.992
20200121,4.9044
20200120,4.788
20200127,3.2978
20200126,3.7412
20200125,3.3443
20200124,3.8692
20200311,3.7209
20190130,4.3147
20200217,2.5833
20200108,4.4698
20200219,2.6553
20200218,2.6079
20190303,3.9217
20190302,4.0761
20190301,4.3209
20190307,3.6032
20190306,3.6486
20190305,3.686
20190304,3.9167
20200215,2.1401
20200214,2.3431
20190309,3.5405
20200216,2.2014
20200211,2.3258
20200210,2.486
20200213,2.36
20200212,2.5306
20190224,3.4496
20190225,3.668
20190226,3.7027
20190227,3.8714
20190220,3.8277
20190221,3.6938
20190222,3.9072
20200119,4.5243
20200116,4.4767
20200117,4.5159
20200114,4.3591
20200115,4.4168
20190228,3.9518
20200113,4.4951
20200110,4.7223
20200111,4.3815
20190308,4.1123
20200101,4.4242
20200103,4.7203
20200102,4.6378
20200105,4.2384
20200104,4.3151
20200107,4.5438
20200106,4.5503
20200109,4.4685
20190131,4.4971
20200118,4.4739
20190223,3.3441
20190312,4.0685
20190328,3.9615
20190313,4.0556
20190321,4.012
20190320,4.0072
20190323,3.9107
20190322,4.3591
20190325,3.9482
20190324,3.7685
20190327,3.9466
20190326,3.9481
20190208,5.2422
20190209,4.5422
20190202,4.3778
20190203,4.1548
20190201,4.3052
20190206,5.4161
20190207,4.9087
20190204,3.6109
20190205,4.5135
20190318,3.9705
20190129,4.3354
20190128,4.1864
20190319,4.0282
20190123,4.0273
20190122,3.9457
20190121,3.9967
20190120,3.9447
20190127,3.8565
20190126,3.9121
20190125,4.0779
20190124,4.1166
20190219,3.6332
20190218,3.6067
20190215,3.9387
20190214,4.0483
20190217,3.7052
20190216,3.8495
20190211,4.1928
20190210,4.3366
20190213,4.138
20190212,4.2566
20190118,4.3447
20190119,4.1835
20190116,3.9397
20190117,4.1422
20190114,4.0418
20190115,4.1029
20190112,4.0375
20190113,3.9494
20200310,3.7287
20200112,4.2911
20200312,3.6636
20200313,3.7467
20200314,3.797
20200315,3.762
20200316,3.9527
20200317,3.8609
20200318,3.716
20200319,3.6123
20200303,3.4968
20200302,3.6339
20200301,3.3103
20200307,3.5927
20200306,3.662
20200305,3.5021
20200304,3.2862
20200309,3.7685
20200308,3.5324
20200224,3.3273
20200225,3.2486
20200226,3.2725
20200227,3.3074
20200220,2.7621
20200221,2.8826
20200222,2.8552
20200223,2.7638
20200228,3.3991
20200229,3.4401
20200130,3.0247
20200131,2.9075
