Date,Value
20200321,4.9038
20200320,4.8603
20200323,4.9229
20200322,4.8476
20200324,4.7946
20190310,4.7192
20190311,4.5285
20200208,2.1778
20200209,2.5102
20190314,4.5289
20190315,4.8689
20190316,4.8789
20190317,4.5467
20200202,2.2589
20200203,2.4142
20200201,2.2588
20200206,1.9928
20200207,2.3511
20200204,2.3343
20200205,2.1243
20200129,2.1213
20200128,2.2447
20200123,5.9824
20200122,6.149
20200121,5.9767
20200120,5.9581
20200127,2.2312
20200126,3.2168
20200125,3.8573
20200124,4.534
20200311,4.7683
20190130,5.2699
20200217,2.6918
20200108,4.4723
20200219,2.9374
20200218,2.7994
20190303,4.7389
20190302,4.8967
20190301,5.0047
20190307,4.3507
20190306,4.401
20190305,4.6114
20190304,4.4533
20200215,2.0136
20200214,2.3391
20190309,4.6304
20200216,2.3348
20200211,2.6565
20200210,2.6839
20200213,2.6045
20200212,2.5878
20190224,4.4318
20190225,4.4743
20190226,4.3942
20190227,4.5731
20190220,5.0672
20190221,4.627
20200118,5.4499
20190223,4.5854
20200116,5.4682
20200117,5.4735
20200114,5.2302
20200115,5.263
20190228,4.7371
20200113,5.2431
20200110,5.3644
20200111,5.0382
20190308,4.7504
20200101,4.7395
20200103,5.1481
20200102,5.005
20200105,4.1912
20200104,4.9873
20200107,4.0607
20200106,4.8471
20200109,4.9768
20190131,5.4737
20190222,4.7134
20200119,5.6259
20190312,4.564
20190328,4.3981
20190313,4.5578
20190321,4.4104
20190320,4.5445
20190323,4.618
20190322,4.7669
20190325,4.5445
20190324,4.6141
20190327,4.4529
20190326,4.4391
20190208,5.5138
20190209,5.2978
20190202,5.7335
20190203,5.4637
20190201,5.4626
20190206,6.0914
20190207,5.8019
20190204,4.4251
20190205,5.2583
20190318,4.4761
20190129,5.4827
20190128,5.2796
20190319,4.5713
20190123,4.9287
20190122,4.9216
20190121,4.8366
20190120,4.5261
20190127,4.8919
20190126,4.8252
20190125,4.84
20190124,5.0515
20190219,4.6677
20190218,5.184
20190215,4.7579
20190214,4.2533
20190217,4.7446
20190216,4.8698
20190211,5.4076
20190210,4.8542
20190213,5.1664
20190212,5.3658
20190118,4.8417
20190119,4.63
20190116,4.3819
20190117,4.6118
20190114,4.4758
20190115,4.4843
20190112,4.4388
20190113,4.3461
20200310,4.6728
20200112,4.9813
20200312,4.8229
20200313,4.6398
20200314,4.7568
20200315,4.7729
20200316,4.746
20200317,4.8713
20200318,4.8606
20200319,4.8746
20200303,4.2845
20200302,4.2089
20200301,3.8085
20200307,4.5915
20200306,4.4885
20200305,4.4431
20200304,4.3764
20200309,4.238
20200308,4.3906
20200224,3.1579
20200225,3.113
20200226,3.1612
20200227,3.1685
20200220,3.0781
20200221,3.2722
20200222,3.2858
20200223,2.9571
20200228,3.0695
20200229,3.5661
20200130,2.2797
20200131,2.2475
