Date,Value
20200321,4.351
20200320,4.696
20200323,4.7677
20200322,4.4128
20200324,4.4391
20190310,4.5892
20190311,4.5692
20200208,2.3834
20200209,2.3786
20190314,4.5387
20190315,4.9189
20190316,4.6371
20190317,4.3197
20200202,2.6833
20200203,2.3613
20200201,2.8966
20200206,2.4006
20200207,2.58
20200204,2.4182
20200205,2.6478
20200129,3.668
20200128,3.5967
20200123,6.0833
20200122,6.2178
20200121,6.1837
20200120,5.9613
20200127,3.3229
20200126,3.9635
20200125,3.1774
20200124,4.3641
20200311,4.6433
20190130,5.756
20200217,3.0883
20200108,5.0617
20200219,3.2397
20200218,3.1895
20190303,4.6817
20190302,4.5575
20190301,5.0264
20190307,3.9555
20190306,4.0731
20190305,4.3483
20190304,4.3654
20200215,2.7524
20200214,3.0202
20190309,4.3218
20200216,2.7919
20200211,2.7252
20200210,2.7614
20200213,3.0238
20200212,2.8121
20190224,4.5486
20190225,4.4141
20190226,4.2581
20190227,4.2036
20190220,4.788
20190221,4.5329
20190222,4.8686
20190223,4.1557
20200116,5.2789
20200117,5.5597
20200114,5.3455
20200115,5.4248
20190228,4.474
20200113,5.4638
20200110,5.294
20200111,4.8238
20190308,4.676
20200101,5.0624
20200103,5.2214
20200102,5.1017
20200105,4.8891
20200104,4.824
20200107,5.1214
20200106,5.1117
20200109,5.0914
20190131,5.818
20200118,5.492
20200119,5.8441
20190312,4.6045
20190328,4.3164
20190313,4.5599
20190321,4.4761
20190320,4.4235
20190323,4.0204
20190322,4.4582
20190325,4.3726
20190324,4.2709
20190327,4.3115
20190326,4.3315
20190208,6.6317
20190209,5.828
20190202,6.0337
20190203,5.6832
20190201,5.7772
20190206,6.734
20190207,6.4338
20190204,4.5561
20190205,5.6451
20190318,4.2879
20190129,5.843
20190128,5.5591
20190319,4.4332
20190123,5.0814
20190122,5.0237
20190121,4.5604
20190120,4.2278
20190127,5.0789
20190126,5.038
20190125,5.5833
20190124,5.2254
20190219,4.8435
20190218,4.5021
20190215,5.1151
20190214,5.5857
20190217,3.917
20190216,4.6332
20190211,5.4881
20190210,5.6936
20190213,5.3913
20190212,5.8287
20190118,4.7521
20190119,4.4833
20190116,4.4074
20190117,4.5797
20190114,4.4729
20190115,4.5223
20190112,4.4
20190113,4.4583
20200310,4.6673
20200112,5.0908
20200312,4.3068
20200313,4.5735
20200314,4.4788
20200315,4.4223
20200316,4.7545
20200317,4.2346
20200318,4.4346
20200319,4.2567
20200303,3.8298
20200302,4.6041
20200301,4.3544
20200307,4.3233
20200306,4.2394
20200305,4.5814
20200304,3.644
20200309,4.7512
20200308,4.3764
20200224,4.6682
20200225,4.4735
20200226,4.5506
20200227,4.6159
20200220,3.4416
20200221,3.9032
20200222,3.9592
20200223,3.9661
20200228,4.6409
20200229,4.4911
20200130,3.3318
20200131,2.9216
