Date,Value
20200321,5.1121
20200320,5.3451
20200323,5.5042
20200322,5.0427
20200324,5.3924
20190310,4.9715
20190311,4.9567
20200208,2.7059
20200209,2.5406
20190314,4.9181
20190315,5.2783
20190316,4.933
20190317,4.7622
20200202,2.7965
20200203,2.8947
20200201,2.9155
20200206,2.6735
20200207,2.6325
20200204,2.7783
20200205,2.7192
20200129,3.2436
20200128,3.5698
20200123,5.4398
20200122,5.8361
20200121,5.8816
20200120,5.9412
20200127,4.3854
20200126,5.1532
20200125,4.6556
20200124,4.4293
20190130,5.2071
20200217,2.7835
20200108,5.7198
20200219,2.8591
20200218,2.8106
20190303,4.8607
20190302,4.8521
20190301,5.2306
20190307,4.8819
20190306,4.7492
20190305,4.948
20190304,4.8945
20200215,2.568
20200214,2.6696
20190309,4.7325
20200216,2.4999
20200211,2.647
20200210,2.6969
20200213,2.5543
20200212,2.7456
20190224,4.873
20190225,4.9204
20190226,4.7652
20190227,4.8699
20190220,5.1451
20190221,5.0268
20190222,5.098
20190223,4.8053
20200116,6.0528
20200117,5.8405
20200114,5.8584
20200115,5.8935
20200112,5.469
20200113,5.9309
20200110,5.819
20200111,5.4657
20190308,5.4511
20200101,5.4349
20200103,5.5585
20200102,5.5574
20200105,5.2157
20200104,5.2403
20200107,5.7458
20200106,5.7159
20200109,5.7196
20190131,5.4163
20200118,5.5401
20200119,5.7674
20190312,4.9383
20190328,4.8522
20190313,4.946
20190321,4.8791
20190320,4.8649
20190323,4.8045
20190322,5.2093
20190325,4.987
20190324,4.8965
20190327,4.8143
20190326,4.8771
20190208,4.9716
20190209,4.9165
20190202,5.3328
20190203,4.5996
20190201,5.1431
20190206,5.2212
20190207,5.0146
20190204,4.2524
20190205,4.7368
20190318,5.0053
20190129,5.3453
20190128,5.3304
20190319,4.9493
20190123,5.228
20190122,5.1289
20190121,5.2164
20190120,4.8471
20190127,4.9256
20190126,4.985
20190125,5.2225
20190124,5.3278
20190219,5.2625
20190218,5.1703
20190215,4.9639
20190214,5.1919
20190217,4.5845
20190216,4.7088
20190211,5.1925
20190210,5.2164
20190213,5.2594
20190212,5.272
20190118,5.3211
20190119,4.9209
20190116,5.0642
20190117,5.1927
20190114,5.1237
20190115,5.1857
20190112,4.874
20190113,4.8409
20190228,5.0067
20200310,4.7418
20200311,4.8774
20200312,4.7264
20200313,4.9313
20200314,4.6756
20200315,4.6442
20200316,5.1121
20200317,5.0817
20200318,5.0447
20200319,5.1313
20200303,4.129
20200302,4.6037
20200301,4.1076
20200307,4.4921
20200306,4.5961
20200305,4.59
20200304,4.441
20200309,4.9098
20200308,4.5899
20200224,3.5848
20200225,3.8153
20200226,4.0831
20200227,4.1699
20200220,2.9196
20200221,2.8727
20200222,2.8346
20200223,2.891
20200228,4.0754
20200229,4.074
20200130,3.1858
20200131,3.0014
