Date,Value
20200321,1.4038
20200320,1.8097
20200323,1.7308
20200322,1.1227
20200324,1.6602
20190310,1.8792
20190311,2.723
20200208,1.3584
20200209,1.1033
20190314,2.6938
20190315,2.7252
20190316,2.3513
20190317,1.9254
20200202,1.139
20200203,1.6456
20200201,1.2769
20200206,1.5709
20200207,1.612
20200204,1.5681
20200205,1.5648
20200129,1.3369
20200128,1.1724
20200123,2.049
20200122,2.3776
20200121,2.6169
20200120,2.6797
20200127,1.1668
20200126,1.2304
20200125,1.2884
20200124,1.7256
20200311,1.797
20190130,2.9092
20200217,1.6941
20200108,2.8099
20200219,1.6912
20200218,1.7398
20190303,1.9298
20190302,2.4125
20190301,2.8757
20190307,2.5932
20190306,2.618
20190305,2.7736
20190304,2.6785
20200215,1.3561
20200214,1.6461
20190309,2.2231
20200216,1.0912
20200211,1.5548
20200210,1.6097
20200213,1.5483
20200212,1.6719
20190224,1.9106
20190225,2.6447
20190226,2.6603
20190227,2.7875
20190220,2.6466
20190221,2.6692
20200118,2.287
20200119,1.8916
20200116,2.7079
20200117,2.7022
20200114,2.6711
20200115,2.7508
20190228,2.8904
20200113,2.6088
20200110,2.6682
20200111,2.2069
20190308,2.6434
20200101,1.7542
20200103,2.6295
20200102,2.5403
20200105,1.8624
20200104,2.188
20200107,2.7954
20200106,2.6672
20200109,2.7935
20190131,2.9553
20190222,2.7075
20190223,2.293
20190312,2.7718
20190328,2.6808
20190313,2.7602
20190321,2.7225
20190320,2.7225
20190323,2.3144
20190322,2.7825
20190325,2.6701
20190324,1.9403
20190327,2.6997
20190326,2.7013
20190208,2.3628
20190209,2.1479
20190202,2.1441
20190203,1.7554
20190201,2.6452
20190206,1.9933
20190207,2.0127
20190204,1.6949
20190205,1.8441
20190318,2.6526
20190129,2.9273
20190128,2.9432
20190319,2.6993
20190123,2.7645
20190122,2.7567
20190121,2.7556
20190120,2.0639
20190127,2.1258
20190126,2.4272
20190125,2.802
20190124,2.8495
20190219,2.5294
20190218,2.7234
20190215,2.7849
20190214,2.7631
20190217,1.9642
20190216,2.379
20190211,2.6756
20190210,2.0094
20190213,2.7995
20190212,2.7868
20190118,2.7275
20190119,2.3542
20190116,2.6332
20190117,2.6803
20190114,2.6489
20190115,2.7366
20190112,2.2329
20190113,1.9189
20200310,1.808
20200112,1.9131
20200312,1.8342
20200313,1.8693
20200314,1.4583
20200315,1.2446
20200316,1.86
20200317,1.7998
20200318,1.7864
20200319,1.7642
20200303,1.8118
20200302,1.8523
20200301,1.1727
20200307,1.4807
20200306,1.8232
20200305,1.7728
20200304,1.7938
20200309,1.9137
20200308,1.2744
20200224,1.8193
20200225,1.7762
20200226,1.702
20200227,1.686
20200220,1.7161
20200221,1.7005
20200222,1.439
20200223,1.1923
20200228,1.758
20200229,1.4897
20200130,1.3555
20200131,1.4108
