Date,Value
20200321,4.8915
20200320,4.922
20200323,4.8281
20200322,4.8971
20200324,4.6684
20190310,4.8268
20190311,4.6113
20200208,2.1509
20200209,2.1509
20190314,4.6909
20190315,4.8262
20190316,4.9538
20190317,4.581
20200202,2.1227
20200203,2.1368
20200201,2.1949
20200206,2.07
20200207,2.1192
20200204,2.0377
20200205,2.0782
20200129,2.1324
20200128,2.5075
20200123,4.3915
20200122,4.4406
20200121,4.4547
20200120,4.5319
20200127,3.2177
20200126,3.5138
20200125,3.8745
20200124,4.1766
20200311,4.2091
20190130,4.0712
20200217,1.6218
20200108,4.7077
20200219,1.4122
20200218,1.4531
20190303,4.5951
20190302,4.7447
20190301,4.7292
20190307,4.4072
20190306,4.345
20190305,4.553
20190304,4.3001
20200215,1.9088
20200214,1.9077
20190309,4.6537
20200216,1.8949
20200211,2.21
20200210,2.275
20200213,1.8754
20200212,1.9725
20190224,4.2624
20190225,4.312
20190226,4.2798
20190227,4.4625
20190220,4.2325
20190221,4.2472
20200118,4.5109
20190223,4.3215
20200116,4.6102
20200117,4.6319
20200114,4.58
20200115,4.6776
20190228,4.6439
20200113,4.7252
20200110,4.8968
20200111,4.7663
20190308,4.6539
20200101,4.8105
20200103,4.8939
20200102,4.8749
20200105,4.8045
20200104,4.8307
20200107,4.8015
20200106,4.7916
20200109,4.7659
20190131,4.3066
20190222,4.3317
20200119,4.4722
20190312,4.7161
20190328,4.6098
20190313,4.699
20190321,4.6405
20190320,4.6681
20190323,4.9062
20190322,4.828
20190325,4.6643
20190324,4.7598
20190327,4.58
20190326,4.6372
20190208,4.108
20190209,4.2147
20190202,4.3496
20190203,3.9187
20190201,3.9605
20190206,4.054
20190207,4.1351
20190204,4.1802
20190205,4.1171
20190318,4.5551
20190129,4.17
20190128,4.2067
20190319,4.7409
20190123,4.0691
20190122,4.0631
20190121,4.0622
20190120,4.1446
20190127,3.9847
20190126,3.9648
20190125,4.0893
20190124,4.2628
20190219,4.2442
20190218,4.4282
20190215,4.1903
20190214,4.1751
20190217,4.0861
20190216,4.1323
20190211,4.3142
20190210,4.2147
20190213,4.3574
20190212,4.3244
20190118,4.1764
20190119,4.2918
20190116,4.1989
20190117,4.1876
20190114,4.2111
20190115,4.4612
20190112,4.2317
20190113,4.1288
20200310,3.9991
20200112,4.6365
20200312,4.4345
20200313,4.5759
20200314,4.6522
20200315,4.8094
20200316,4.8357
20200317,4.7649
20200318,4.8052
20200319,4.8509
20200303,3.5371
20200302,3.4803
20200301,3.2644
20200307,3.7833
20200306,3.7909
20200305,3.7185
20200304,3.6527
20200309,3.9352
20200308,3.8291
20200224,3.1455
20200225,2.98
20200226,2.9908
20200227,3.0411
20200220,1.4942
20200221,1.8393
20200222,2.5325
20200223,3.0327
20200228,3.1443
20200229,3.2462
20200130,2.1044
20200131,2.2692
