Date,Value
20200321,4.6752
20200320,4.8019
20200323,4.8411
20200322,4.5439
20200324,4.7819
20190310,4.6301
20190311,4.6473
20200208,1.625
20200209,1.7217
20190314,4.6227
20190315,4.9806
20190316,4.8033
20190317,4.4292
20200202,2.1344
20200203,2.0197
20200201,2.6023
20200206,1.6576
20200207,1.7737
20200204,1.9205
20200205,1.7166
20200129,2.7081
20200128,2.8604
20200123,6.3264
20200122,6.3959
20200121,6.27
20200120,6.2924
20200127,3.2501
20200126,4.286
20200125,4.0747
20200124,4.851
20200311,4.4227
20190130,5.0997
20200217,1.9782
20200108,5.322
20200219,2.1177
20200218,2.0665
20190303,4.4907
20190302,4.6487
20190301,5.0874
20190307,4.5181
20190306,4.5436
20190305,4.6956
20190304,4.5687
20200215,1.6816
20200214,1.9312
20190309,4.5724
20200216,1.7055
20200211,1.8078
20200210,1.8761
20200213,1.9395
20200212,1.8742
20190224,4.3413
20190225,4.5588
20190226,4.4515
20190227,4.5665
20190220,5.1118
20190221,4.6589
20190222,4.7238
20190223,4.4612
20200116,5.4786
20200117,5.9084
20200114,5.5861
20200115,5.6176
20190228,4.7659
20200113,5.4943
20200110,5.5306
20200111,5.076
20190308,4.8963
20200101,4.9241
20200103,5.4653
20200102,5.3343
20200105,4.3369
20200104,5.0791
20200107,4.7546
20200106,4.9555
20200109,5.3424
20190131,5.2798
20200118,5.6786
20200119,5.9138
20190312,4.6726
20190328,4.5595
20190313,4.6786
20190321,4.5704
20190320,4.4402
20190323,4.5899
20190322,4.9024
20190325,4.6857
20190324,4.5465
20190327,4.5925
20190326,4.6028
20190208,4.9882
20190209,4.6868
20190202,5.5929
20190203,5.37
20190201,5.3754
20190206,5.5316
20190207,5.1645
20190204,4.4362
20190205,4.9839
20190318,4.5972
20190129,5.3478
20190128,5.3218
20190319,4.6826
20190123,4.7563
20190122,4.6169
20190121,4.6193
20190120,4.12
20190127,4.901
20190126,4.7749
20190125,5.0231
20190124,4.9679
20190219,4.6118
20190218,4.6746
20190215,4.8521
20190214,4.8075
20190217,4.5022
20190216,4.6405
20190211,5.2703
20190210,4.7603
20190213,5.104
20190212,5.2242
20190118,4.6417
20190119,4.2941
20190116,4.4484
20190117,4.545
20190114,4.497
20190115,4.5642
20190112,4.2956
20190113,4.1552
20200310,4.2685
20200112,4.9471
20200312,4.4763
20200313,4.2364
20200314,4.2515
20200315,4.3044
20200316,4.5774
20200317,4.6653
20200318,4.6962
20200319,4.7204
20200303,3.9038
20200302,3.8345
20200301,3.2934
20200307,3.9535
20200306,4.0737
20200305,4.007
20200304,3.9432
20200309,4.1089
20200308,3.8266
20200224,3.276
20200225,3.4897
20200226,3.6236
20200227,3.5108
20200220,2.256
20200221,2.5917
20200222,2.7348
20200223,2.8647
20200228,3.429
20200229,3.3824
20200130,2.6445
20200131,2.6071
