Date,Value
20200321,4.3379
20200320,4.5322
20200323,4.4986
20200322,4.1044
20200324,4.5077
20190310,4.3818
20190311,4.3798
20200208,3.1374
20200209,3.2715
20190314,4.2876
20190315,4.6668
20190316,4.2886
20190317,4.2047
20200202,2.4867
20200203,2.6479
20200201,2.6433
20200206,2.7525
20200207,3.1171
20200204,2.8324
20200205,2.9517
20200129,3.1739
20200128,3.3211
20200123,5.6398
20200122,6.1177
20200121,6.0705
20200120,6.1864
20200127,3.4799
20200126,4.164
20200125,3.8136
20200124,4.7091
20200311,4.283
20190130,5.6242
20200217,3.4053
20200108,4.9606
20200219,3.2652
20200218,3.2749
20190303,4.3787
20190302,4.2149
20190301,4.6091
20190307,4.1538
20190306,4.1342
20190305,4.2892
20190304,4.2793
20200215,2.7352
20200214,3.4568
20190309,4.104
20200216,3.0565
20200211,3.1039
20200210,3.2704
20200213,3.3936
20200212,3.2643
20190224,4.1619
20190225,4.4811
20190226,4.3771
20190227,4.2426
20190220,4.6124
20190221,4.4421
20190222,4.4663
20200119,6.026
20200116,5.6149
20200117,5.8432
20200114,5.2663
20200115,5.3203
20190228,4.4076
20200113,5.4323
20200110,5.1372
20200111,4.9571
20190308,4.5015
20200101,4.586
20200103,4.8874
20200102,4.9201
20200105,4.5208
20200104,4.3767
20200107,4.9546
20200106,4.9739
20200109,4.923
20190131,5.8526
20200118,5.7942
20190223,4.0968
20190312,4.3894
20190328,4.2124
20190313,4.3372
20190321,4.3286
20190320,4.3637
20190323,4.0957
20190322,4.5132
20190325,4.349
20190324,4.1652
20190327,4.2264
20190326,4.2001
20190208,5.5866
20190209,5.2424
20190202,5.8688
20190203,5.2937
20190201,5.6332
20190206,5.9725
20190207,5.5837
20190204,4.7002
20190205,5.3363
20190318,4.2439
20190129,5.7114
20190128,5.4223
20190319,4.3172
20190123,4.9834
20190122,4.8042
20190121,4.7956
20190120,4.4323
20190127,4.97
20190126,4.9206
20190125,5.0968
20190124,5.1287
20190219,4.5449
20190218,4.5848
20190215,4.7151
20190214,5.0944
20190217,4.2012
20190216,4.4248
20190211,5.2173
20190210,5.1714
20190213,5.0721
20190212,5.2957
20190118,4.835
20190119,4.434
20190116,4.316
20190117,4.5755
20190114,4.382
20190115,4.5317
20190112,4.1452
20190113,4.2209
20200310,4.3786
20200112,5.1852
20200312,4.3037
20200313,4.2801
20200314,4.152
20200315,4.0981
20200316,4.3623
20200317,4.3241
20200318,4.3791
20200319,4.4621
20200303,3.877
20200302,4.0759
20200301,3.9624
20200307,3.8179
20200306,4.064
20200305,4.2253
20200304,4.1707
20200309,4.2721
20200308,3.9336
20200224,4.028
20200225,3.951
20200226,3.8525
20200227,3.8445
20200220,3.31
20200221,3.2871
20200222,3.2453
20200223,3.5053
20200228,3.8389
20200229,3.4812
20200130,3.0649
20200131,2.787
