Date,Value
20200321,3.4647
20200320,3.8475
20200323,3.8944
20200322,3.5781
20200324,3.8845
20190310,3.6374
20190311,3.6832
20200208,2.2552
20200209,2.3305
20190314,3.5984
20190315,4.0322
20190316,3.7759
20190317,3.7433
20200202,2.6116
20200203,2.6413
20200201,2.6279
20200206,2.4831
20200207,2.3763
20200204,2.4686
20200205,2.3925
20200129,3.1911
20200128,3.0716
20200123,2.9615
20200122,3.2213
20200121,3.2818
20200120,3.2684
20200127,3.534
20200126,3.0348
20200125,3.2236
20200124,2.3297
20200311,3.9126
20190130,3.5281
20200217,2.6118
20200108,3.7104
20200219,2.7359
20200218,2.6442
20190303,3.4998
20190302,3.4785
20190301,4.0505
20190307,3.5667
20190306,3.4366
20190305,3.4992
20190304,3.4626
20200215,2.4257
20200214,2.5122
20190309,3.4961
20200216,2.3856
20200211,2.4686
20200210,2.4772
20200213,2.4904
20200212,2.4649
20190224,3.3258
20190225,3.5608
20190226,3.5004
20190227,3.8523
20190220,3.9092
20190221,3.6775
20190222,3.6712
20190223,3.3248
20200116,3.598
20200117,3.5082
20200114,3.5681
20200115,3.5827
20190228,4.0391
20200113,3.5612
20200110,3.5204
20200111,3.2728
20190308,3.7307
20200101,3.4502
20200103,3.6505
20200102,3.6313
20200105,3.3123
20200104,3.2631
20200107,3.6294
20200106,3.1434
20200109,3.6754
20190131,3.6439
20200118,3.174
20200119,3.2581
20190312,3.6557
20190328,3.6086
20190313,3.608
20190321,3.5793
20190320,3.6988
20190323,3.608
20190322,3.7897
20190325,3.7346
20190324,3.7789
20190327,3.5951
20190326,3.6478
20190208,3.4864
20190209,3.5953
20190202,3.4968
20190203,2.9646
20190201,3.3841
20190206,3.2004
20190207,3.7279
20190204,2.5527
20190205,2.8766
20190318,3.698
20190129,3.5626
20190128,3.6697
20190319,3.8515
20190123,3.6269
20190122,3.5856
20190121,3.6582
20190120,3.253
20190127,3.4264
20190126,3.3717
20190125,3.6571
20190124,3.7427
20190219,3.862
20190218,3.748
20190215,3.7661
20190214,3.7155
20190217,3.6663
20190216,3.5277
20190211,3.2585
20190210,3.4061
20190213,3.6395
20190212,3.5819
20190118,3.6388
20190119,3.3478
20190116,3.55
20190117,3.5943
20190114,3.6323
20190115,3.5722
20190112,3.4366
20190113,3.3976
20200310,3.8755
20200112,3.1815
20200312,3.8607
20200313,3.9454
20200314,3.6863
20200315,3.5547
20200316,3.7213
20200317,3.9224
20200318,3.9151
20200319,3.8914
20200303,3.6089
20200302,3.6951
20200301,3.467
20200307,3.4178
20200306,3.7204
20200305,3.7135
20200304,3.7751
20200309,3.7692
20200308,3.4337
20200224,3.462
20200225,3.4061
20200226,3.4841
20200227,3.1602
20200220,2.8795
20200221,3.2095
20200222,2.985
20200223,3.0155
20200228,3.5741
20200229,3.4057
20200130,2.761
20200131,2.4814
