Date,Value
20200321,4.3553
20200320,4.527
20200323,4.8096
20200322,4.2805
20200324,4.906
20190310,4.2606
20190311,4.6514
20200208,1.4028
20200209,1.3976
20190314,4.617
20190315,4.8652
20190316,4.4272
20190317,4.1645
20200202,1.69
20200203,1.6497
20200201,1.7838
20200206,1.3091
20200207,1.4185
20200204,1.475
20200205,1.4733
20200129,1.9177
20200128,1.8768
20200123,5.3568
20200122,5.7419
20200121,5.7616
20200120,6.068
20200127,1.8946
20200126,1.9631
20200125,2.7178
20200124,4.2045
20200311,1.5661
20190130,5.2635
20200217,1.3053
20200108,5.3783
20200219,1.1895
20200218,1.2369
20190303,4.1478
20190302,4.0534
20190301,4.7201
20190307,4.5482
20190306,4.5281
20190305,4.5004
20190304,4.5523
20200215,1.2783
20200214,1.4471
20190309,4.2684
20200216,1.2897
20200211,1.3138
20200210,1.3222
20200213,1.395
20200212,1.3436
20190224,4.0052
20190225,4.4797
20190226,4.3773
20190227,4.3157
20190220,4.6249
20190221,4.366
20190222,4.5581
20190223,3.9867
20200116,5.6788
20200117,5.7346
20200114,5.5619
20200115,5.2711
20190228,4.6221
20200113,5.5131
20200110,5.1235
20200111,4.9001
20190308,4.8293
20200101,4.7355
20200103,5.3434
20200102,5.3182
20200105,4.6389
20200104,4.774
20200107,5.2326
20200106,5.3311
20200109,5.0788
20190131,5.4142
20200118,5.5946
20200119,5.8309
20190312,4.6234
20190328,4.4836
20190313,4.6306
20190321,4.5678
20190320,4.6799
20190323,4.3604
20190322,4.7806
20190325,4.6082
20190324,4.1463
20190327,4.4296
20190326,4.5541
20190208,5.0411
20190209,4.808
20190202,5.4308
20190203,4.8933
20190201,5.1964
20190206,4.9268
20190207,5.2547
20190204,4.3567
20190205,4.2309
20190318,4.5679
20190129,5.3865
20190128,5.1917
20190319,4.6417
20190123,4.8464
20190122,4.7007
20190121,4.708
20190120,4.2375
20190127,4.6712
20190126,4.6616
20190125,5.0181
20190124,4.9128
20190219,4.609
20190218,4.6379
20190215,4.4938
20190214,5.0223
20190217,4.0797
20190216,4.234
20190211,4.9447
20190210,4.7937
20190213,4.8137
20190212,5.0177
20190118,4.8231
20190119,4.3871
20190116,4.5949
20190117,4.709
20190114,4.5157
20190115,4.6422
20190112,4.1916
20190113,4.1414
20200310,1.4972
20200112,4.9885
20200312,1.5514
20200313,1.658
20200314,2.8253
20200315,3.886
20200316,3.7657
20200317,3.8956
20200318,4.0842
20200319,4.2626
20200303,1.2937
20200302,1.319
20200301,1.2983
20200307,1.3628
20200306,1.3256
20200305,1.3761
20200304,1.3666
20200309,1.3791
20200308,1.3701
20200224,1.2904
20200225,1.2668
20200226,1.2168
20200227,1.2256
20200220,1.205
20200221,1.1813
20200222,1.1899
20200223,1.1971
20200228,1.2111
20200229,1.2733
20200130,1.8966
20200131,1.8662
