Date,Value
20200321,4.6007
20200320,4.9865
20200323,5.1469
20200322,4.6803
20200324,5.1252
20190310,4.5514
20190311,4.821
20200208,2.7292
20200209,2.4643
20190314,4.7608
20190315,4.9056
20190316,4.6469
20190317,4.3732
20200202,2.6863
20200203,2.9554
20200201,3.1054
20200206,2.8132
20200207,2.8366
20200204,2.9701
20200205,2.8718
20200129,3.4406
20200128,3.2578
20200123,5.8279
20200122,5.9475
20200121,5.8895
20200120,5.9529
20200127,3.7284
20200126,4.2563
20200125,3.934
20200124,4.7321
20200311,4.7118
20190130,4.9718
20200217,2.908
20200108,5.6058
20200219,3.0302
20200218,3.0135
20190303,4.5405
20190302,4.6444
20190301,5.0566
20190307,4.6972
20190306,4.6519
20190305,4.8409
20190304,4.7135
20200215,2.0465
20200214,2.5556
20190309,4.4163
20200216,2.3208
20200211,2.5766
20200210,2.5874
20200213,2.7972
20200212,2.6483
20190224,4.2218
20190225,4.7233
20190226,4.7109
20190227,4.8815
20190220,4.8343
20190221,4.7353
20190222,4.7523
20190223,4.3321
20200116,5.8723
20200117,5.809
20200114,5.7216
20200115,5.7774
20190228,5.0502
20200113,5.7438
20200110,5.7775
20200111,5.2765
20190308,4.9713
20200101,5.1326
20200103,5.5957
20200102,5.5637
20200105,4.9473
20200104,5.0511
20200107,5.4623
20200106,5.1319
20200109,5.6978
20190131,5.1439
20200118,5.3754
20200119,5.787
20190312,4.8412
20190328,4.6863
20190313,4.8175
20190321,4.6962
20190320,4.7472
20190323,4.5468
20190322,5.0142
20190325,4.9242
20190324,4.5303
20190327,4.6873
20190326,4.7129
20190208,4.7037
20190209,4.6766
20190202,5.1683
20190203,4.8091
20190201,4.9298
20190206,4.7637
20190207,4.7233
20190204,4.3294
20190205,4.5466
20190318,4.6972
20190129,5.0058
20190128,5.0629
20190319,4.7939
20190123,4.8393
20190122,4.812
20190121,4.8677
20190120,4.4688
20190127,4.5096
20190126,4.5022
20190125,4.8155
20190124,4.9097
20190219,4.7707
20190218,4.944
20190215,4.5627
20190214,4.802
20190217,4.2809
20190216,4.3243
20190211,4.9718
20190210,4.7246
20190213,4.9584
20190212,4.9333
20190118,4.9769
20190119,4.5581
20190116,4.776
20190117,4.8764
20190114,4.8127
20190115,4.8301
20190112,4.3496
20190113,4.3506
20200310,4.706
20200112,5.2327
20200312,4.6799
20200313,4.8012
20200314,4.4313
20200315,4.281
20200316,4.8119
20200317,4.9004
20200318,4.939
20200319,4.8077
20200303,3.7612
20200302,4.5825
20200301,3.8431
20200307,4.0418
20200306,4.5282
20200305,4.4941
20200304,4.4093
20200309,4.2705
20200308,4.1037
20200224,4.3494
20200225,4.0512
20200226,4.1682
20200227,4.1992
20200220,3.0848
20200221,3.169
20200222,3.1833
20200223,3.2471
20200228,4.1678
20200229,3.6849
20200130,3.1809
20200131,3.138
