Date,Value
20200321,4.4243
20200320,4.5947
20200323,4.9813
20200322,4.4487
20200324,4.9846
20190310,4.4011
20190311,4.5708
20200208,2.406
20200209,2.2029
20190314,4.5409
20190315,4.7919
20190316,4.5355
20190317,4.2769
20200202,2.8769
20200203,2.9488
20200201,2.9467
20200206,2.3901
20200207,2.3091
20200204,2.7273
20200205,2.5629
20200129,3.2708
20200128,3.3574
20200123,4.8616
20200122,5.2135
20200121,5.2681
20200120,5.3818
20200127,3.7483
20200126,4.092
20200125,4.1815
20200124,4.4698
20200311,3.9781
20190130,4.5088
20200217,2.4764
20200108,5.3323
20200219,2.4887
20200218,2.4605
20190303,4.3505
20190302,4.4408
20190301,4.7674
20190307,4.4767
20190306,4.4176
20190305,4.5187
20190304,4.499
20200215,2.231
20200214,2.4026
20190309,4.3
20200216,2.1962
20200211,2.3499
20200210,2.3753
20200213,2.3039
20200212,2.3478
20190224,4.0588
20190225,4.4406
20190226,4.4223
20190227,4.6282
20190220,4.5435
20190221,4.4185
20190222,4.4755
20190223,4.121
20200116,5.4847
20200117,5.4938
20200114,5.4337
20200115,5.4358
20190228,4.7239
20200113,5.4717
20200110,5.4278
20200111,4.9618
20190308,4.9101
20200101,5.1133
20200103,5.3937
20200102,5.4151
20200105,4.8084
20200104,4.9228
20200107,5.2152
20200106,5.3449
20200109,5.3352
20190131,4.6491
20200118,5.0255
20200119,5.2739
20190312,4.5745
20190328,4.484
20190313,4.5905
20190321,4.5375
20190320,4.5729
20190323,4.3898
20190322,4.7509
20190325,4.5966
20190324,4.3851
20190327,4.5145
20190326,4.527
20190208,4.1089
20190209,4.123
20190202,4.7875
20190203,3.9374
20190201,4.3678
20190206,4.1377
20190207,4.1585
20190204,4.3038
20190205,4.2207
20190318,4.5929
20190129,4.6066
20190128,4.7146
20190319,4.5604
20190123,4.5121
20190122,4.4235
20190121,4.4879
20190120,4.1409
20190127,4.1351
20190126,4.2126
20190125,4.5788
20190124,4.6272
20190219,4.5984
20190218,4.5868
20190215,4.3555
20190214,4.5021
20190217,3.9881
20190216,4.0662
20190211,4.486
20190210,4.2682
20190213,4.5488
20190212,4.5688
20190118,4.5887
20190119,4.2188
20190116,4.4485
20190117,4.5186
20190114,4.5164
20190115,4.6007
20190112,4.1671
20190113,4.1111
20200310,3.8931
20200112,4.9579
20200312,3.8726
20200313,4.0531
20200314,3.7642
20200315,3.7262
20200316,4.2381
20200317,4.2446
20200318,4.298
20200319,4.3968
20200303,3.5394
20200302,3.5556
20200301,3.0174
20200307,3.418
20200306,3.6962
20200305,3.6527
20200304,3.568
20200309,3.9186
20200308,3.5267
20200224,3.0951
20200225,3.0335
20200226,3.1096
20200227,3.1674
20200220,2.5399
20200221,2.5318
20200222,2.3349
20200223,2.3511
20200228,3.0714
20200229,2.9868
20200130,3.0747
20200131,2.9721
