Date,Value
20200321,4.1331
20200320,4.2368
20200323,4.445
20200322,4.1464
20200324,4.4525
20190310,4.481
20190311,4.6816
20200208,1.3894
20200209,1.3142
20190314,4.5767
20190315,4.8678
20190316,4.6324
20190317,4.3949
20200202,2.0367
20200203,1.9457
20200201,2.224
20200206,1.3669
20200207,1.351
20200204,1.7913
20200205,1.5845
20200129,2.8499
20200128,2.943
20200123,4.8879
20200122,5.3108
20200121,5.382
20200120,5.4885
20200127,3.4671
20200126,3.8735
20200125,3.7002
20200124,4.2199
20200311,3.2699
20190130,4.6293
20200217,1.5453
20200108,5.3232
20200219,1.5927
20200218,1.5703
20190303,4.3731
20190302,4.5103
20190301,4.823
20190307,4.5676
20190306,4.5024
20190305,4.6551
20190304,4.5795
20200215,1.41
20200214,1.4543
20190309,4.3741
20200216,1.3933
20200211,1.4246
20200210,1.4406
20200213,1.4292
20200212,1.421
20190224,4.2005
20190225,4.6187
20190226,4.6084
20190227,4.7477
20190220,4.6828
20190221,4.5516
20190222,4.5858
20190223,4.2898
20200116,5.4766
20200117,5.4375
20200114,5.4139
20200115,5.4452
20190228,4.7998
20200113,5.3793
20200110,5.4207
20200111,4.9988
20190308,4.9394
20200101,4.8588
20200103,5.208
20200102,5.1697
20200105,4.7188
20200104,4.823
20200107,5.2393
20200106,5.2915
20200109,5.3303
20190131,4.733
20200118,5.0688
20200119,5.3209
20190312,4.6698
20190328,4.5305
20190313,4.5941
20190321,4.3954
20190320,4.6738
20190323,4.4102
20190322,4.6961
20190325,4.7153
20190324,4.3975
20190327,4.5527
20190326,4.4673
20190208,4.1446
20190209,4.2244
20190202,4.5542
20190203,4.0322
20190201,4.4574
20190206,4.1226
20190207,4.3106
20190204,3.8555
20190205,3.989
20190318,4.646
20190129,4.6843
20190128,4.7619
20190319,4.6692
20190123,4.4944
20190122,4.4904
20190121,4.6003
20190120,4.2287
20190127,4.2719
20190126,4.3121
20190125,4.6078
20190124,4.6475
20190219,4.7182
20190218,4.6282
20190215,4.4418
20190214,4.6383
20190217,4.0377
20190216,4.1882
20190211,4.586
20190210,4.4035
20190213,4.6501
20190212,4.6699
20190118,4.597
20190119,4.3235
20190116,4.4739
20190117,4.5355
20190114,4.5804
20190115,4.6534
20190112,4.3303
20190113,4.2031
20200310,3.1282
20200112,4.9538
20200312,3.3662
20200313,3.4744
20200314,3.5107
20200315,3.5486
20200316,3.8547
20200317,3.9422
20200318,3.9755
20200319,4.0121
20200303,2.5436
20200302,2.4579
20200301,2.2448
20200307,2.6296
20200306,2.8594
20200305,2.7592
20200304,2.5533
20200309,2.9998
20200308,2.7664
20200224,1.8817
20200225,2.0522
20200226,2.1676
20200227,2.2331
20200220,1.6384
20200221,1.6335
20200222,1.5058
20200223,1.6044
20200228,2.2677
20200229,2.1507
20200130,2.611
20200131,2.3836
