Date,Value
20200321,4.5258
20200320,4.7698
20200323,4.8679
20200322,4.258
20200324,4.8448
20190310,4.2252
20190311,4.6644
20200208,1.7781
20200209,1.7434
20190314,4.6129
20190315,4.9188
20190316,4.8482
20190317,4.3862
20200202,1.971
20200203,2.0108
20200201,2.0743
20200206,1.7642
20200207,1.8327
20200204,1.7365
20200205,1.7291
20200129,2.1682
20200128,2.2958
20200123,3.5619
20200122,3.7566
20200121,3.9249
20200120,4.085
20200127,2.1721
20200126,2.6646
20200125,2.6928
20200124,2.7879
20200311,4.5857
20190130,3.8045
20200217,2.4234
20200108,5.1685
20200219,2.671
20200218,2.5161
20190303,4.2518
20190302,4.6895
20190301,4.8527
20190307,4.3569
20190306,4.4993
20190305,4.6953
20190304,4.5384
20200215,1.9153
20200214,2.1326
20190309,4.3046
20200216,1.6728
20200211,2.1977
20200210,2.2547
20200213,2.1704
20200212,2.2546
20190224,3.8006
20190225,4.2327
20190226,4.2697
20190227,4.5351
20190220,4.2106
20190221,4.2532
20190222,4.3657
20190223,4.0627
20200116,4.7446
20200117,4.6287
20200114,4.8941
20200115,4.8339
20190228,4.7238
20200113,4.9736
20200110,5.2592
20200111,4.9222
20190308,4.6846
20200101,4.7722
20200103,5.317
20200102,5.2314
20200105,4.7398
20200104,5.0197
20200107,5.1939
20200106,5.1968
20200109,5.1506
20190131,3.7946
20200118,4.2251
20200119,4.0955
20190312,4.759
20190328,4.6117
20190313,4.7539
20190321,4.6969
20190320,4.6951
20190323,4.5743
20190322,4.8916
20190325,4.6072
20190324,4.1847
20190327,4.6058
20190326,4.6202
20190208,3.1146
20190209,3.0362
20190202,3.3702
20190203,3.0709
20190201,3.4066
20190206,3.2144
20190207,2.9468
20190204,2.5664
20190205,2.8904
20190318,4.6387
20190129,3.9092
20190128,4.0055
20190319,4.7005
20190123,4.3091
20190122,4.377
20190121,4.4539
20190120,4.31
20190127,3.623
20190126,3.9835
20190125,4.3041
20190124,4.4121
20190219,4.0194
20190218,4.0001
20190215,3.962
20190214,3.9336
20190217,3.6289
20190216,3.9108
20190211,3.217
20190210,3.0761
20190213,3.7553
20190212,3.6491
20190118,4.8225
20190119,4.6291
20190116,4.5506
20190117,4.6865
20190114,4.6413
20190115,4.8117
20190112,4.5732
20190113,4.2826
20200310,4.6162
20200112,4.4845
20200312,4.6219
20200313,4.7236
20200314,4.473
20200315,4.1293
20200316,4.7677
20200317,4.7813
20200318,4.7137
20200319,4.6967
20200303,4.3697
20200302,4.3551
20200301,3.6364
20200307,4.2217
20200306,4.4415
20200305,4.3444
20200304,4.244
20200309,4.6097
20200308,3.8805
20200224,3.6884
20200225,3.7619
20200226,3.8508
20200227,3.9464
20200220,2.8667
20200221,3.1249
20200222,2.9852
20200223,2.8271
20200228,4.0376
20200229,3.9231
20200130,2.0255
20200131,2.0738
