Date,Value
20200321,5.2437
20200320,5.6192
20200323,5.6609
20200322,4.8237
20200324,5.6785
20190310,5.0068
20190311,5.5507
20200208,1.2982
20200209,1.3178
20190314,5.4809
20190315,5.7444
20190316,5.4298
20190317,5.0168
20200202,1.5144
20200203,1.6324
20200201,1.6367
20200206,1.3236
20200207,1.3161
20200204,1.5541
20200205,1.5186
20200129,1.6142
20200128,1.5883
20200123,3.0618
20200122,3.3106
20200121,3.6811
20200120,3.981
20200127,1.5792
20200126,1.6686
20200125,2.0352
20200124,2.6303
20200311,5.1693
20190130,3.6659
20200217,2.3491
20200108,6.0005
20200219,2.6573
20200218,2.5339
20190303,4.8556
20190302,5.0144
20190301,5.5685
20190307,5.4732
20190306,5.4715
20190305,5.4915
20190304,5.4068
20200215,1.799
20200214,1.9881
20190309,5.1731
20200216,1.7768
20200211,1.5345
20200210,1.5972
20200213,1.8705
20200212,1.7271
20190224,4.4256
20190225,5.0956
20190226,5.1166
20190227,5.2488
20190220,4.5698
20190221,4.6525
20190222,4.865
20190223,4.6542
20200116,4.924
20200117,4.7765
20200114,5.3644
20200115,5.1829
20190228,5.5013
20200113,5.5091
20200110,5.8576
20200111,5.3388
20190308,5.6276
20200101,5.3616
20200103,6.1141
20200102,6.1302
20200105,5.431
20200104,5.6312
20200107,6.0503
20200106,6.1396
20200109,5.9066
20190131,3.4261
20200118,4.1968
20200119,4.1106
20190312,5.6152
20190328,5.5249
20190313,5.6272
20190321,5.5668
20190320,5.6909
20190323,5.3539
20190322,5.7168
20190325,5.5971
20190324,5.045
20190327,5.5731
20190326,5.594
20190208,2.325
20190209,2.3175
20190202,2.9394
20190203,2.5786
20190201,3.0735
20190206,2.4862
20190207,2.2346
20190204,2.3988
20190205,2.4425
20190318,5.4387
20190129,3.8087
20190128,4.0078
20190319,5.6218
20190123,4.8655
20190122,4.9095
20190121,4.9637
20190120,4.64
20190127,3.7027
20190126,4.134
20190125,4.6481
20190124,4.8476
20190219,4.4955
20190218,4.3953
20190215,3.8493
20190214,3.8298
20190217,3.7315
20190216,3.7587
20190211,2.9521
20190210,2.3796
20190213,3.5816
20190212,3.3049
20190118,5.4114
20190119,5.023
20190116,5.2369
20190117,5.3241
20190114,5.3329
20190115,5.4232
20190112,5.1116
20190113,4.8345
20200310,5.047
20200112,5.0916
20200312,5.1867
20200313,5.2055
20200314,4.8978
20200315,4.6183
20200316,5.4111
20200317,5.4829
20200318,5.528
20200319,5.5547
20200303,4.4147
20200302,4.3591
20200301,3.38
20200307,4.4438
20200306,4.738
20200305,4.6546
20200304,4.534
20200309,4.8733
20200308,4.1344
20200224,3.5065
20200225,3.6219
20200226,3.558
20200227,3.7942
20200220,2.8648
20200221,3.0258
20200222,2.8266
20200223,2.6591
20200228,3.8668
20200229,3.5545
20200130,1.5613
20200131,1.6356
