Date,Value
20200321,3.8148
20200320,3.7858
20200323,3.7678
20200322,3.7572
20200324,3.7661
20190310,3.2108
20190311,3.4894
20200208,2.3239
20200209,2.4162
20190314,3.4645
20190315,3.614
20190316,3.6066
20190317,3.3985
20200202,2.5138
20200203,2.7271
20200201,2.6023
20200206,2.6266
20200207,2.6617
20200204,2.4031
20200205,2.6091
20200129,2.754
20200128,2.6468
20200123,3.9418
20200122,4.0262
20200121,3.946
20200120,3.8859
20200127,3.0418
20200126,3.4239
20200125,3.2472
20200124,3.3033
20200311,3.6189
20190130,3.3431
20200217,2.8851
20200108,3.9926
20200219,2.986
20200218,2.9395
20190303,3.318
20190302,3.5323
20190301,3.693
20190307,3.0975
20190306,3.2711
20190305,3.3368
20190304,3.4027
20200215,2.7665
20200214,2.5592
20190309,3.0122
20200216,2.3872
20200211,2.7621
20200210,2.851
20200213,2.6259
20200212,2.8703
20190224,2.9965
20190225,3.2807
20190226,3.3085
20190227,3.4359
20190220,3.4015
20190221,3.3656
20200118,3.6766
20190223,3.151
20200116,3.7886
20200117,3.772
20200114,3.7714
20200115,3.7788
20190228,3.5279
20200113,3.8517
20200110,4.0397
20200111,3.8567
20190308,3.5288
20200101,3.8616
20200103,4.0786
20200102,4.0329
20200105,3.7156
20200104,3.8697
20200107,3.9926
20200106,4.0104
20200109,3.9495
20190131,3.4692
20190222,3.4514
20200119,3.7384
20190312,3.5581
20190328,3.5042
20190313,3.541
20190321,3.5486
20190320,3.5346
20190323,3.298
20190322,3.6295
20190325,3.4704
20190324,3.2236
20190327,3.4979
20190326,3.496
20190208,3.6881
20190209,3.5922
20190202,3.3333
20190203,3.2054
20190201,3.2854
20190206,4.5524
20190207,3.9071
20190204,2.8475
20190205,3.7
20190318,3.4526
20190129,3.3014
20190128,3.2774
20190319,3.5268
20190123,3.2973
20190122,3.3199
20190121,3.3259
20190120,3.3894
20190127,3.0426
20190126,3.1755
20190125,3.3506
20190124,3.3466
20190219,3.0587
20190218,3.3433
20190215,3.304
20190214,3.3676
20190217,3.1341
20190216,3.1994
20190211,3.4967
20190210,3.5159
20190213,3.3842
20190212,3.5434
20190118,3.5945
20190119,3.472
20190116,3.4251
20190117,3.5098
20190114,3.4467
20190115,3.5721
20190112,3.4379
20190113,3.3474
20200310,3.6685
20200112,3.756
20200312,3.5784
20200313,3.6833
20200314,3.5993
20200315,3.6718
20200316,3.7108
20200317,3.6914
20200318,3.4921
20200319,3.5795
20200303,3.5743
20200302,3.5487
20200301,3.6014
20200307,3.6854
20200306,3.6213
20200305,3.465
20200304,3.3974
20200309,3.676
20200308,3.58
20200224,3.4139
20200225,3.4336
20200226,3.4689
20200227,3.4259
20200220,3.092
20200221,3.2339
20200222,3.1972
20200223,3.1413
20200228,3.5181
20200229,3.609
20200130,2.6813
20200131,2.6146
