Date,Value
20200321,4.6676
20200320,5.4488
20200323,5.6094
20200322,4.3796
20200324,5.5776
20190310,4.6219
20190311,4.8277
20200208,1.6758
20200209,1.7972
20190314,4.7923
20190315,5.6617
20190316,5.0158
20190317,4.0377
20200202,1.8316
20200203,2.1702
20200201,1.8956
20200206,1.6922
20200207,1.8204
20200204,1.9495
20200205,1.8588
20200129,1.87
20200128,1.8235
20200123,3.9659
20200122,4.7022
20200121,5.2216
20200120,5.5958
20200127,1.881
20200126,2.3313
20200125,2.4312
20200124,3.1086
20200311,5.0134
20190130,4.7972
20200217,2.9882
20200108,5.9008
20200219,3.0989
20200218,3.0498
20190303,4.5317
20190302,4.9231
20190301,5.6159
20190307,4.6854
20190306,4.6768
20190305,5.4302
20190304,4.7087
20200215,1.9126
20200214,2.5745
20190309,4.2993
20200216,1.9951
20200211,2.6035
20200210,2.6672
20200213,2.7662
20200212,2.6431
20190224,3.7301
20190225,4.5056
20190226,4.4782
20190227,5.199
20190220,4.3675
20190221,4.3876
20190222,4.5084
20190223,3.9733
20200116,6.0929
20200117,6.0476
20200114,6.045
20200115,6.1042
20190228,5.4093
20200113,6.1118
20200110,6.3309
20200111,5.4752
20190308,4.9007
20200101,5.1036
20200103,6.3945
20200102,6.2782
20200105,4.8632
20200104,5.5065
20200107,5.7652
20200106,6.1964
20200109,6.1709
20190131,4.7281
20200118,5.1804
20200119,5.6074
20190312,5.4007
20190328,4.719
20190313,5.4251
20190321,4.7724
20190320,4.8063
20190323,4.3401
20190322,5.5896
20190325,5.434
20190324,4.5734
20190327,4.7778
20190326,4.7799
20190208,2.9469
20190209,3.0887
20190202,3.9281
20190203,2.739
20190201,3.7058
20190206,3.0016
20190207,2.9133
20190204,2.6949
20190205,2.8482
20190318,4.7414
20190129,4.9365
20190128,5.0398
20190319,4.8242
20190123,4.5307
20190122,4.5521
20190121,4.549
20190120,4.2038
20190127,3.627
20190126,3.8851
20190125,4.488
20190124,5.1985
20190219,4.1936
20190218,5.0843
20190215,4.1192
20190214,3.8481
20190217,3.5523
20190216,3.7395
20190211,4.3421
20190210,3.2807
20190213,4.7339
20190212,4.7013
20190118,5.3599
20190119,4.5928
20190116,4.5667
20190117,4.9633
20190114,4.6356
20190115,5.2457
20190112,4.0323
20190113,3.657
20200310,4.9433
20200112,5.1157
20200312,5.0682
20200313,5.0879
20200314,4.2914
20200315,4.0342
20200316,5.3089
20200317,5.3483
20200318,5.3905
20200319,5.3721
20200303,4.4355
20200302,4.4278
20200301,3.0317
20200307,3.852
20200306,4.6286
20200305,4.5395
20200304,4.4851
20200309,4.7617
20200308,3.6269
20200224,3.5462
20200225,3.533
20200226,3.6853
20200227,3.7302
20200220,3.1794
20200221,3.2671
20200222,2.6946
20200223,2.4955
20200228,3.7322
20200229,3.2218
20200130,1.916
20200131,1.9554
