Date,Value
20200321,4.8727
20200320,5.386
20200323,5.3512
20200322,4.6854
20200324,5.3667
20190310,4.2688
20190311,4.7273
20200208,2.5502
20200209,2.4781
20190314,4.7035
20190315,4.9731
20190316,4.4789
20190317,4.0986
20200202,2.7586
20200203,3.3989
20200201,2.696
20200206,2.9934
20200207,3.0339
20200204,3.2004
20200205,3.101
20200129,2.8813
20200128,3.0216
20200123,4.7703
20200122,5.1338
20200121,5.233
20200120,5.3109
20200127,3.32
20200126,3.9189
20200125,4.0623
20200124,4.7871
20200311,5.1867
20190130,4.5646
20200217,3.7588
20200108,5.4279
20200219,3.682
20200218,3.6723
20190303,4.2612
20190302,4.3714
20190301,4.9159
20190307,4.6785
20190306,4.6011
20190305,4.684
20190304,4.5933
20200215,2.8182
20200214,3.2981
20190309,4.2803
20200216,2.8633
20200211,3.336
20200210,3.2985
20200213,3.2439
20200212,3.4156
20190224,4.0152
20190225,4.5241
20190226,4.5081
20190227,4.6971
20190220,4.69
20190221,4.6591
20200118,4.8145
20190223,4.1798
20200116,5.3424
20200117,5.4258
20200114,5.2533
20200115,5.0967
20190228,4.7607
20200113,5.3604
20200110,5.1533
20200111,4.5691
20190308,5.014
20200101,4.848
20200103,5.4374
20200102,5.3135
20200105,4.4855
20200104,4.6508
20200107,5.3094
20200106,5.2356
20200109,5.3321
20190131,4.6001
20190222,4.7059
20200119,5.2298
20190312,4.7611
20190328,4.6452
20190313,4.7412
20190321,4.7016
20190320,4.6649
20190323,4.3281
20190322,4.939
20190325,4.7354
20190324,4.2583
20190327,4.6355
20190326,4.6141
20190208,4.3372
20190209,4.2514
20190202,4.5798
20190203,4.0686
20190201,4.4683
20190206,4.6656
20190207,4.3801
20190204,4.4909
20190205,4.5782
20190318,4.7022
20190129,4.8824
20190128,4.9266
20190319,4.7056
20190123,4.7649
20190122,4.7485
20190121,4.6866
20190120,3.8784
20190127,4.2125
20190126,4.3262
20190125,4.8187
20190124,4.8378
20190219,4.7834
20190218,4.7816
20190215,4.6161
20190214,4.7501
20190217,3.9684
20190216,4.123
20190211,4.7571
20190210,4.3394
20190213,4.8215
20190212,4.8881
20190118,4.9586
20190119,4.4126
20190116,4.7213
20190117,4.8399
20190114,4.7496
20190115,4.8009
20190112,4.3244
20190113,4.2615
20200310,5.2365
20200112,4.7118
20200312,5.018
20200313,5.2969
20200314,4.6568
20200315,4.4117
20200316,5.2636
20200317,5.2853
20200318,5.2441
20200319,5.3271
20200303,5.0692
20200302,5.1147
20200301,4.1591
20200307,4.5655
20200306,5.1371
20200305,5.0354
20200304,5.0641
20200309,5.0915
20200308,4.1405
20200224,4.5947
20200225,4.6515
20200226,4.6946
20200227,4.6993
20200220,3.6534
20200221,3.8952
20200222,3.3478
20200223,3.4863
20200228,4.9289
20200229,4.2748
20200130,2.8184
20200131,2.7405
