Date,Value
20200321,4.9493
20200320,5.2388
20200323,5.3876
20200322,4.9781
20200324,5.3202
20190310,4.8681
20190311,5.0854
20200208,1.4241
20200209,1.5726
20190314,4.9692
20190315,5.4371
20190316,5.0421
20190317,4.8135
20200202,1.6658
20200203,1.4746
20200201,1.8646
20200206,1.2308
20200207,1.4331
20200204,1.3104
20200205,1.297
20200129,2.3522
20200128,2.4628
20200123,5.1017
20200122,5.5204
20200121,5.6295
20200120,5.846
20200127,2.4432
20200126,3.0697
20200125,3.6387
20200124,3.8925
20200311,4.6181
20190130,4.8711
20200217,1.9345
20200108,5.4341
20200219,1.9365
20200218,1.9182
20190303,4.8566
20190302,4.7363
20190301,5.3852
20190307,4.8492
20190306,4.8445
20190305,5.0407
20190304,4.945
20200215,1.6114
20200214,1.8308
20190309,4.7838
20200216,1.6061
20200211,1.8057
20200210,1.9377
20200213,1.8434
20200212,1.8077
20190224,4.4222
20190225,4.8343
20190226,4.7038
20190227,4.8784
20190220,5.2097
20190221,4.8777
20190222,4.9572
20190223,4.5309
20200116,5.3113
20200117,5.8956
20200114,5.8735
20200115,5.5823
20190228,5.0441
20200113,5.9437
20200110,5.819
20200111,4.8838
20190308,5.3005
20200101,5.5121
20200103,6.0448
20200102,5.9163
20200105,4.1746
20200104,5.4368
20200107,4.9204
20200106,4.9987
20200109,5.5967
20190131,4.2463
20200118,5.408
20200119,5.7158
20190312,5.0479
20190328,4.9056
20190313,5.0066
20190321,4.9673
20190320,5.0564
20190323,4.8836
20190322,5.3457
20190325,5.1579
20190324,4.9507
20190327,4.9267
20190326,4.9337
20190208,4.1684
20190209,4.6145
20190202,4.8705
20190203,4.3003
20190201,4.633
20190206,5.4064
20190207,4.9837
20190204,3.4801
20190205,4.4432
20190318,5.0252
20190129,5.0728
20190128,5.198
20190319,5.0218
20190123,5.0664
20190122,4.931
20190121,5.0155
20190120,4.7
20190127,4.6886
20190126,4.7417
20190125,5.1781
20190124,5.1684
20190219,4.9368
20190218,4.8725
20190215,4.4041
20190214,3.704
20190217,4.5789
20190216,4.4807
20190211,4.8535
20190210,3.7898
20190213,4.6619
20190212,5.1204
20190118,5.327
20190119,4.7295
20190116,4.8253
20190117,5.0761
20190114,4.9911
20190115,4.9706
20190112,4.6555
20190113,4.6753
20200310,4.5217
20200112,5.3144
20200312,4.6058
20200313,4.7436
20200314,4.4193
20200315,4.4919
20200316,4.953
20200317,4.9239
20200318,4.9562
20200319,5.0575
20200303,3.4619
20200302,3.2476
20200301,2.8281
20200307,4.0381
20200306,4.1885
20200305,3.7591
20200304,3.54
20200309,4.5258
20200308,3.9668
20200224,2.3394
20200225,2.4527
20200226,2.4243
20200227,2.2833
20200220,1.9736
20200221,1.9937
20200222,1.8258
20200223,1.8733
20200228,2.441
20200229,2.5263
20200130,2.3838
20200131,2.3232
