Date,Value
20200321,4.4651
20200320,4.9188
20200323,4.8432
20200322,4.325
20200324,4.9469
20190310,4.7499
20190311,5.033
20200208,1.8481
20200209,1.8499
20190314,4.9937
20190315,5.3068
20190316,4.9108
20190317,4.6241
20200202,2.6222
20200203,2.6463
20200201,3.1036
20200206,1.5583
20200207,1.8083
20200204,2.2483
20200205,1.8993
20200129,3.0376
20200128,2.924
20200123,5.233
20200122,5.6352
20200121,6.0114
20200120,6.1354
20200127,3.0564
20200126,2.7705
20200125,3.6785
20200124,4.4501
20200311,4.7311
20190130,5.6685
20200217,2.8545
20200108,5.7849
20200219,3.0252
20200218,3.0034
20190303,4.6874
20190302,4.5432
20190301,5.0146
20190307,4.978
20190306,4.9812
20190305,4.896
20190304,4.9418
20200215,1.9761
20200214,2.2454
20190309,4.6321
20200216,2.3377
20200211,1.7802
20200210,1.9048
20200213,2.056
20200212,2.0087
20190224,4.518
20190225,4.9081
20190226,4.7935
20190227,4.7653
20190220,5.2104
20190221,4.9528
20190222,5.1682
20190223,4.4473
20200116,5.9975
20200117,6.2438
20200114,6.0882
20200115,5.8708
20190228,5.0915
20200113,6.0657
20200110,5.6633
20200111,5.2768
20190308,5.142
20200101,5.3399
20200103,5.727
20200102,5.6921
20200105,5.3244
20200104,5.283
20200107,5.6818
20200106,5.8776
20200109,5.6344
20190131,5.6124
20200118,5.9021
20200119,6.02
20190312,5.0895
20190328,4.8605
20190313,5.1126
20190321,4.8077
20190320,5.1372
20190323,4.8302
20190322,5.1916
20190325,5.0771
20190324,4.6486
20190327,4.9286
20190326,5.0054
20190208,5.0736
20190209,4.861
20190202,5.3718
20190203,4.7986
20190201,5.2843
20190206,4.6781
20190207,5.3715
20190204,4.1035
20190205,4.3908
20190318,4.9787
20190129,5.7815
20190128,5.6652
20190319,5.1011
20190123,5.2374
20190122,5.07
20190121,5.1292
20190120,4.7771
20190127,5.1208
20190126,5.1559
20190125,5.5053
20190124,5.4404
20190219,5.0404
20190218,4.8707
20190215,4.8515
20190214,5.396
20190217,4.3506
20190216,4.4821
20190211,5.0237
20190210,4.7804
20190213,5.2518
20190212,5.3974
20190118,4.925
20190119,4.5856
20190116,4.8956
20190117,4.9103
20190114,4.9866
20190115,5.0539
20190112,4.7775
20190113,4.703
20200310,4.7344
20200112,5.5181
20200312,4.4986
20200313,4.7198
20200314,4.5218
20200315,4.4105
20200316,4.83
20200317,4.7785
20200318,4.8205
20200319,4.8212
20200303,4.1639
20200302,4.6108
20200301,4.0819
20200307,4.2868
20200306,4.2725
20200305,4.6994
20200304,4.4672
20200309,4.4535
20200308,3.9791
20200224,4.2144
20200225,4.2301
20200226,4.1243
20200227,4.2352
20200220,3.3739
20200221,3.4321
20200222,3.5086
20200223,3.6248
20200228,4.1896
20200229,3.6458
20200130,3.0499
20200131,2.9718
