Date,Value
20200321,4.9833
20200320,4.8764
20200323,5.0152
20200322,4.8637
20200324,5.0627
20190310,4.5048
20190311,4.6127
20200208,1.7251
20200209,1.7042
20190314,4.5676
20190315,4.9009
20190316,4.6955
20190317,4.3568
20200202,1.7255
20200203,1.7267
20200201,1.7199
20200206,1.6003
20200207,1.6869
20200204,1.7168
20200205,1.6929
20200129,1.8546
20200128,1.9457
20200123,5.4574
20200122,5.8253
20200121,5.9897
20200120,6.0122
20200127,2.0336
20200126,2.0993
20200125,3.2365
20200124,4.5598
20200311,2.0801
20190130,5.2437
20200217,1.637
20200108,5.1549
20200219,1.5762
20200218,1.595
20190303,4.4843
20190302,4.4561
20190301,4.826
20190307,4.4498
20190306,4.4195
20190305,4.5905
20190304,4.4929
20200215,1.978
20200214,1.7696
20190309,4.3951
20200216,1.6366
20200211,1.6308
20200210,1.6598
20200213,1.6677
20200212,1.6259
20190224,4.1695
20190225,4.4453
20190226,4.3071
20190227,4.3897
20190220,4.7934
20190221,4.3685
20190222,4.6403
20200119,5.7674
20200116,5.605
20200117,5.6542
20200114,5.5344
20200115,5.3067
20190228,4.6725
20200113,5.5375
20200110,5.0517
20200111,5.0318
20190308,4.7391
20200101,4.8055
20200103,5.1467
20200102,5.1604
20200105,4.4526
20200104,4.7357
20200107,5.0927
20200106,4.9002
20200109,4.9475
20190131,5.443
20200118,5.3592
20190223,4.298
20190312,4.6235
20190328,4.4802
20190313,4.5665
20190321,4.4828
20190320,4.6841
20190323,4.5108
20190322,4.7195
20190325,4.6274
20190324,4.4357
20190327,4.4937
20190326,4.5016
20190208,5.4444
20190209,5.2429
20190202,5.3678
20190203,4.936
20190201,5.1805
20190206,5.9244
20190207,5.7376
20190204,4.8393
20190205,5.6913
20190318,4.5274
20190129,5.2385
20190128,5.2099
20190319,4.586
20190123,4.8627
20190122,4.7046
20190121,4.6856
20190120,4.2303
20190127,4.6644
20190126,4.6933
20190125,5.0586
20190124,5.0662
20190219,4.8237
20190218,4.804
20190215,4.8566
20190214,5.0638
20190217,4.4345
20190216,4.5856
20190211,5.3914
20190210,4.4471
20190213,5.2133
20190212,5.3497
20190118,4.6489
20190119,4.3222
20190116,4.4782
20190117,4.5636
20190114,4.4744
20190115,4.5993
20190112,4.2701
20190113,4.2863
20200310,2.0007
20200112,5.0199
20200312,2.0938
20200313,2.274
20200314,2.6324
20200315,2.7349
20200316,3.0118
20200317,3.2458
20200318,3.7422
20200319,4.4638
20200303,1.8068
20200302,1.8013
20200301,1.8056
20200307,1.8991
20200306,1.8885
20200305,1.8816
20200304,1.8668
20200309,1.8875
20200308,1.9096
20200224,1.7147
20200225,1.7442
20200226,1.6978
20200227,1.6192
20200220,1.6096
20200221,1.6194
20200222,1.6165
20200223,1.6104
20200228,1.6514
20200229,1.778
20200130,1.7378
20200131,1.7281
