Date,Value
20200321,5.1758
20200320,5.1973
20200323,5.1829
20200322,5.027
20200324,5.1044
20190310,3.8561
20190311,3.9327
20200208,1.6858
20200209,1.6823
20190314,3.9031
20190315,4.172
20190316,4.0412
20190317,3.7089
20200202,1.7723
20200203,1.8071
20200201,1.8673
20200206,1.5687
20200207,1.661
20200204,1.7329
20200205,1.6806
20200129,2.1605
20200128,2.1943
20200123,5.2988
20200122,6.0312
20200121,6.1414
20200120,6.2194
20200127,2.3438
20200126,2.6485
20200125,3.2376
20200124,4.3001
20200311,2.5845
20190130,5.196
20200217,1.5164
20200108,4.591
20200219,1.4994
20200218,1.4995
20190303,3.8863
20190302,3.8375
20190301,4.1054
20190307,3.8742
20190306,3.8483
20190305,3.9051
20190304,3.8536
20200215,1.8656
20200214,1.7837
20190309,3.8412
20200216,1.5825
20200211,1.6492
20200210,1.63
20200213,1.7388
20200212,1.6577
20190224,3.6949
20190225,3.8701
20190226,3.7666
20190227,3.7687
20190220,4.2455
20190221,3.8841
20200118,5.5018
20190223,3.7835
20200116,5.4155
20200117,5.5034
20200114,5.2657
20200115,4.9747
20190228,4.0508
20200113,5.1075
20200110,4.6517
20200111,4.6168
20190308,4.0994
20200101,4.2281
20200103,4.4969
20200102,4.4876
20200105,4.0169
20200104,4.1998
20200107,4.6202
20200106,4.399
20200109,4.4879
20190131,5.6125
20190222,4.116
20200119,5.8453
20190312,3.9753
20190328,3.8611
20190313,3.9014
20190321,3.837
20190320,3.9776
20190323,3.8376
20190322,3.9136
20190325,3.9126
20190324,3.7316
20190327,3.856
20190326,3.8514
20190208,5.5532
20190209,5.5106
20190202,5.5215
20190203,4.899
20190201,5.3394
20190206,6.076
20190207,5.7314
20190204,4.4442
20190205,5.2096
20190318,3.8583
20190129,5.2989
20190128,5.0974
20190319,3.9198
20190123,4.5555
20190122,4.4004
20190121,4.2954
20190120,4.0245
20190127,4.677
20190126,4.6241
20190125,4.8412
20190124,4.772
20190219,4.4717
20190218,4.4528
20190215,4.6458
20190214,4.9755
20190217,4.1337
20190216,4.3672
20190211,5.4251
20190210,5.1619
20190213,5.1169
20190212,5.3172
20190118,4.2908
20190119,4.0697
20190116,3.9567
20190117,4.1237
20190114,3.8614
20190115,4.106
20190112,3.7785
20190113,3.8043
20200310,2.5182
20200112,4.7046
20200312,2.9361
20200313,3.4697
20200314,4.009
20200315,4.2251
20200316,4.2273
20200317,4.6689
20200318,4.9076
20200319,5.029
20200303,1.7374
20200302,1.7065
20200301,1.7702
20200307,2.0329
20200306,1.8762
20200305,1.9138
20200304,1.8792
20200309,2.2222
20200308,2.0889
20200224,1.6633
20200225,1.6642
20200226,1.6175
20200227,1.5729
20200220,1.5429
20200221,1.5451
20200222,1.5648
20200223,1.5844
20200228,1.5845
20200229,1.7393
20200130,2.0842
20200131,2.0037
