Date,Value
20200321,4.8295
20200320,5.0499
20200323,5.0317
20200322,4.6054
20200324,5.0784
20190310,3.2725
20190311,3.3819
20200208,0.7983
20200209,0.8093
20190314,3.2944
20190315,3.5462
20190316,3.4297
20190317,3.2781
20200202,1.0716
20200203,1.0822
20200201,1.1634
20200206,0.8049
20200207,0.8412
20200204,0.9452
20200205,0.9716
20200129,1.3067
20200128,1.2804
20200123,2.8879
20200122,3.196
20200121,3.3448
20200120,3.474
20200127,1.4565
20200126,1.7691
20200125,1.8859
20200124,2.4323
20200311,4.5821
20190130,2.159
20200217,1.9193
20200108,5.4958
20200219,2.2497
20200218,2.1348
20190303,3.0729
20190302,3.0964
20190301,3.3199
20190307,3.3191
20190306,3.2912
20190305,3.259
20190304,3.3068
20200215,1.4094
20200214,1.4913
20190309,3.2357
20200216,1.426
20200211,1.0621
20200210,0.9902
20200213,1.2878
20200212,1.2025
20190224,2.8016
20190225,3.0401
20190226,3.0724
20190227,3.0984
20190220,2.6702
20190221,2.646
20200118,3.6596
20190223,2.8076
20200116,4.3633
20200117,4.1992
20200114,4.8757
20200115,4.4983
20190228,3.285
20200113,5.0333
20200110,5.3747
20200111,4.888
20190308,3.4855
20200101,5.3986
20200103,5.5772
20200102,5.5834
20200105,5.1278
20200104,5.1677
20200107,5.476
20200106,5.5667
20200109,5.3675
20190131,2.0085
20190222,2.9427
20200119,3.5652
20190312,3.3983
20190328,3.3006
20190313,3.4177
20190321,3.3296
20190320,3.4828
20190323,3.3619
20190322,3.4274
20190325,3.3762
20190324,3.2665
20190327,3.3739
20190326,3.3981
20190208,1.8189
20190209,1.729
20190202,1.8743
20190203,1.6682
20190201,1.9126
20190206,2.0277
20190207,1.8832
20190204,1.5088
20190205,1.7682
20190318,3.3638
20190129,2.2863
20190128,2.412
20190319,3.4246
20190123,2.9488
20190122,2.9866
20190121,3.0523
20190120,2.9693
20190127,2.3295
20190126,2.5395
20190125,2.8276
20190124,2.9532
20190219,2.6955
20190218,2.5932
20190215,2.1828
20190214,2.1641
20190217,2.1458
20190216,2.0963
20190211,1.8114
20190210,1.6562
20190213,2.0028
20190212,2.0127
20190118,3.3423
20190119,3.1687
20190116,3.1478
20190117,3.245
20190114,3.218
20190115,3.2626
20190112,3.1736
20190113,3.0853
20200310,4.4751
20200112,4.775
20200312,4.4866
20200313,4.6244
20200314,4.4617
20200315,4.4075
20200316,4.832
20200317,4.8181
20200318,4.9106
20200319,4.9449
20200303,3.8744
20200302,3.8913
20200301,3.2388
20200307,3.9771
20200306,4.1675
20200305,4.1617
20200304,3.9198
20200309,4.3329
20200308,3.8934
20200224,3.1732
20200225,3.2532
20200226,3.2191
20200227,3.3789
20200220,2.4816
20200221,2.6707
20200222,2.5935
20200223,2.5763
20200228,3.5626
20200229,3.4771
20200130,1.197
20200131,1.1996
