Date,Value
20200321,4.0799
20200320,4.1981
20200323,4.277
20200322,4.124
20200324,4.3028
20190310,4.6221
20190311,4.6572
20200208,2.0066
20200209,2.0433
20190314,4.6644
20190315,4.9702
20190316,4.8386
20190317,4.5862
20200202,1.936
20200203,2.097
20200201,1.9181
20200206,1.931
20200207,2.0669
20200204,2.0204
20200205,1.9481
20200129,1.8761
20200128,1.9798
20200123,4.3198
20200122,4.612
20200121,4.6679
20200120,4.7953
20200127,2.2706
20200126,2.6941
20200125,3.1931
20200124,3.7244
20200311,3.7616
20190130,4.4033
20200217,2.2619
20200108,4.5052
20200219,2.309
20200218,2.2741
20190303,4.5887
20190302,4.7154
20190301,4.9355
20190307,4.5179
20190306,4.4965
20190305,4.643
20190304,4.5264
20200215,1.8958
20200214,2.0991
20190309,4.6333
20200216,1.9359
20200211,2.228
20200210,2.279
20200213,2.1969
20200212,2.1957
20190224,4.0911
20190225,4.3864
20190226,4.3754
20190227,4.5314
20190220,4.6385
20190221,4.5583
20190222,4.4105
20190223,4.1738
20200116,4.9431
20200117,4.8674
20200114,4.8484
20200115,4.8633
20190228,4.6374
20200113,4.8473
20200110,4.8046
20200111,4.4223
20190308,4.9193
20200101,4.8762
20200103,5.1031
20200102,4.995
20200105,3.8409
20200104,4.704
20200107,4.1736
20200106,4.4077
20200109,4.6593
20190131,4.2071
20200118,4.5827
20200119,4.6955
20190312,4.7093
20190328,4.5562
20190313,4.6898
20190321,4.6488
20190320,4.6554
20190323,4.7361
20190322,4.9326
20190325,4.7216
20190324,4.6991
20190327,4.5983
20190326,4.5999
20190208,4.4796
20190209,4.0677
20190202,4.2608
20190203,3.8632
20190201,4.1392
20190206,4.6976
20190207,4.6864
20190204,3.6095
20190205,4.1535
20190318,4.6387
20190129,4.5151
20190128,4.5494
20190319,4.6899
20190123,4.5088
20190122,4.4566
20190121,4.4618
20190120,4.2807
20190127,4.0884
20190126,4.1801
20190125,4.5217
20190124,4.6673
20190219,4.4876
20190218,4.349
20190215,4.2101
20190214,3.7034
20190217,4.136
20190216,4.1315
20190211,4.4729
20190210,4.1946
20190213,4.338
20190212,4.5611
20190118,4.7423
20190119,4.3801
20190116,4.461
20190117,4.6017
20190114,4.5275
20190115,4.5999
20190112,4.4037
20190113,4.2863
20200310,3.6809
20200112,4.4715
20200312,3.7637
20200313,3.8346
20200314,3.7537
20200315,3.8148
20200316,4.0508
20200317,4.0761
20200318,4.0223
20200319,4.1005
20200303,3.3191
20200302,3.2868
20200301,3.0355
20200307,3.4377
20200306,3.5017
20200305,3.4209
20200304,3.3616
20200309,3.6481
20200308,3.307
20200224,2.5812
20200225,2.778
20200226,2.7938
20200227,2.5793
20200220,2.2953
20200221,2.3418
20200222,2.2633
20200223,2.3269
20200228,2.9284
20200229,2.9535
20200130,1.9357
20200131,1.9529
