Date,Value
20200321,4.4507
20200320,4.8898
20200323,4.966
20200322,4.5025
20200324,4.9725
20190310,4.4186
20190311,4.7855
20200208,2.7987
20200209,2.5329
20190314,4.7037
20190315,4.8716
20190316,4.5371
20190317,4.2749
20200202,2.569
20200203,2.7181
20200201,2.723
20200206,2.6001
20200207,2.6726
20200204,2.7092
20200205,2.6012
20200129,3.0929
20200128,3.5059
20200123,5.5045
20200122,5.6624
20200121,5.6029
20200120,5.6463
20200127,3.8557
20200126,4.4845
20200125,4.2449
20200124,4.88
20200311,4.6092
20190130,4.8547
20200217,3.0208
20200108,5.4116
20200219,3.1467
20200218,3.1219
20190303,4.4072
20190302,4.5151
20190301,4.9725
20190307,4.637
20190306,4.5992
20190305,4.7926
20190304,4.6559
20200215,2.198
20200214,2.6267
20190309,4.3604
20200216,2.3517
20200211,2.7072
20200210,2.7214
20200213,2.798
20200212,2.72
20190224,4.1654
20190225,4.6687
20190226,4.6552
20190227,4.8194
20190220,4.703
20190221,4.6278
20190222,4.6274
20190223,4.2709
20200116,5.6388
20200117,5.6025
20200114,5.4478
20200115,5.5243
20190228,4.9638
20200113,5.4929
20200110,5.5933
20200111,5.0363
20190308,4.9071
20200101,4.9601
20200103,5.4178
20200102,5.3669
20200105,4.6976
20200104,4.796
20200107,5.3174
20200106,5.0196
20200109,5.4969
20190131,5.0284
20200118,5.0901
20200119,5.5323
20190312,4.7611
20190328,4.6621
20190313,4.7974
20190321,4.5918
20190320,4.6841
20190323,4.4758
20190322,4.9343
20190325,4.8922
20190324,4.4305
20190327,4.6655
20190326,4.6847
20190208,4.4281
20190209,4.4369
20190202,4.9838
20190203,4.636
20190201,4.7879
20190206,4.5455
20190207,4.4547
20190204,4.477
20190205,4.5112
20190318,4.6401
20190129,4.8794
20190128,4.9791
20190319,4.7578
20190123,4.7273
20190122,4.6983
20190121,4.749
20190120,4.2646
20190127,4.3808
20190126,4.389
20190125,4.6843
20190124,4.8029
20190219,4.7819
20190218,4.7907
20190215,4.3583
20190214,4.7011
20190217,4.1444
20190216,4.1819
20190211,4.8158
20190210,4.4641
20190213,4.8115
20190212,4.8223
20190118,4.8562
20190119,4.3904
20190116,4.6988
20190117,4.7775
20190114,4.6421
20190115,4.7248
20190112,4.2248
20190113,4.1309
20200310,4.6149
20200112,4.9473
20200312,4.5719
20200313,4.6757
20200314,4.2875
20200315,4.0598
20200316,4.7243
20200317,4.832
20200318,4.804
20200319,4.7315
20200303,3.759
20200302,4.5612
20200301,3.9862
20200307,3.9539
20200306,4.4839
20200305,4.4878
20200304,4.4045
20200309,4.2323
20200308,3.9974
20200224,4.3103
20200225,4.0667
20200226,4.2179
20200227,4.2696
20200220,3.2371
20200221,3.3273
20200222,3.3597
20200223,3.352
20200228,4.2558
20200229,3.9017
20200130,2.7504
20200131,2.7854
