Date,Value
20200321,4.2975
20200320,4.5643
20200323,4.6032
20200322,4.2737
20200324,4.5682
20190310,4.148
20190311,4.2651
20200208,1.9326
20200209,1.9304
20190314,4.2383
20190315,4.4981
20190316,4.3034
20190317,4.0698
20200202,2.3291
20200203,2.4394
20200201,2.3157
20200206,2.1247
20200207,2.1324
20200204,2.2981
20200205,2.1754
20200129,2.3487
20200128,2.5802
20200123,4.0635
20200122,4.2859
20200121,4.3209
20200120,4.4497
20200127,3.0769
20200126,3.7235
20200125,3.812
20200124,3.9283
20200311,4.1728
20190130,4.0712
20200217,2.5569
20200108,4.6177
20200219,2.6207
20200218,2.6085
20190303,4.107
20190302,4.2461
20190301,4.4643
20190307,4.1739
20190306,4.1182
20190305,4.2376
20190304,4.1901
20200215,2.0688
20200214,2.2655
20190309,4.1409
20200216,2.1286
20200211,2.2281
20200210,2.2126
20200213,2.3133
20200212,2.2243
20190224,3.8495
20190225,4.1639
20190226,4.0203
20190227,4.1397
20190220,4.2182
20190221,4.131
20190222,4.1627
20190223,3.8961
20200116,4.5962
20200117,4.575
20200114,4.5273
20200115,4.5489
20190228,4.2672
20200113,4.5964
20200110,4.6804
20200111,4.3364
20190308,4.5249
20200101,4.3471
20200103,4.6015
20200102,4.5349
20200105,4.0811
20200104,4.2257
20200107,4.4622
20200106,4.5073
20200109,4.5673
20190131,4.2141
20200118,4.2092
20200119,4.3865
20190312,4.2724
20190328,4.1689
20190313,4.2804
20190321,4.2147
20190320,4.2489
20190323,4.1566
20190322,4.4325
20190325,4.268
20190324,4.1185
20190327,4.1564
20190326,4.1891
20190208,4.2017
20190209,4.0555
20190202,4.0141
20190203,3.679
20190201,3.9046
20190206,4.3347
20190207,4.1973
20190204,3.8727
20190205,4.1037
20190318,4.2436
20190129,4.2385
20190128,4.2346
20190319,4.245
20190123,4.1092
20190122,4.0529
20190121,4.11
20190120,3.802
20190127,3.8203
20190126,3.8754
20190125,4.184
20190124,4.2412
20190219,4.2485
20190218,4.2792
20190215,4.0087
20190214,4.1179
20190217,3.6025
20190216,3.724
20190211,4.1916
20190210,4.0991
20190213,4.1195
20190212,4.221
20190118,4.3098
20190119,3.88
20190116,4.2188
20190117,4.2643
20190114,4.2176
20190115,4.3521
20190112,3.9703
20190113,3.9243
20200310,4.2614
20200112,4.3065
20200312,4.1991
20200313,4.3712
20200314,4.1404
20200315,4.0379
20200316,4.4604
20200317,4.433
20200318,4.4411
20200319,4.4343
20200303,4.1025
20200302,4.1218
20200301,3.6727
20200307,3.8617
20200306,4.1875
20200305,4.0655
20200304,4.1134
20200309,4.2083
20200308,3.8062
20200224,3.9457
20200225,3.8142
20200226,3.7828
20200227,3.8521
20200220,2.6898
20200221,3.2602
20200222,3.1996
20200223,3.2701
20200228,3.9291
20200229,3.6372
20200130,2.3095
20200131,2.3375
