Date,Value
20200321,3.5165
20200320,3.5741
20200323,3.7695
20200322,3.4379
20200324,3.8158
20190310,4.2425
20190311,4.4931
20200208,1.3221
20200209,1.186
20190314,4.3821
20190315,4.6182
20190316,4.3696
20190317,4.1308
20200202,2.1485
20200203,1.6993
20200201,2.2578
20200206,1.2944
20200207,1.306
20200204,1.4339
20200205,1.3293
20200129,2.828
20200128,3.2046
20200123,4.6949
20200122,5.0559
20200121,5.1413
20200120,5.167
20200127,3.8902
20200126,4.0588
20200125,3.7423
20200124,4.1177
20200311,2.7347
20190130,4.6094
20200217,1.2097
20200108,4.9293
20200219,1.3188
20200218,1.2784
20190303,4.1469
20190302,4.2867
20190301,4.6939
20190307,4.3897
20190306,4.333
20190305,4.4791
20190304,4.3931
20200215,1.2088
20200214,1.2307
20190309,4.1373
20200216,1.1804
20200211,1.222
20200210,1.2336
20200213,1.2479
20200212,1.2319
20190224,3.9925
20190225,4.4609
20190226,4.4207
20190227,4.5225
20190220,4.5601
20190221,4.3968
20190222,4.4352
20190223,4.0968
20200116,5.1458
20200117,5.1091
20200114,5.0483
20200115,5.098
20190228,4.6642
20200113,5.1036
20200110,5.0364
20200111,4.6473
20190308,4.7903
20200101,4.5829
20200103,4.908
20200102,4.8748
20200105,4.3336
20200104,4.4651
20200107,4.8898
20200106,4.9187
20200109,4.9724
20190131,4.6946
20200118,4.7801
20200119,4.979
20190312,4.5377
20190328,4.39
20190313,4.4536
20190321,3.919
20190320,4.4798
20190323,4.1007
20190322,4.2857
20190325,4.5749
20190324,4.1735
20190327,4.4108
20190326,4.3828
20190208,4.3204
20190209,4.3015
20190202,4.6024
20190203,4.094
20190201,4.4552
20190206,4.372
20190207,4.5102
20190204,3.9241
20190205,4.148
20190318,4.4303
20190129,4.6109
20190128,4.6675
20190319,4.4615
20190123,4.4287
20190122,4.4455
20190121,4.4669
20190120,4.1065
20190127,4.1737
20190126,4.1916
20190125,4.4915
20190124,4.556
20190219,4.6429
20190218,4.5805
20190215,4.3409
20190214,4.5343
20190217,3.9345
20190216,4.0634
20190211,4.5589
20190210,4.2994
20190213,4.5488
20190212,4.5655
20190118,4.518
20190119,4.2348
20190116,4.3671
20190117,4.4426
20190114,4.5035
20190115,4.5616
20190112,4.1381
20190113,4.0927
20200310,2.6557
20200112,4.6193
20200312,2.9155
20200313,3.042
20200314,3.0577
20200315,3.0566
20200316,3.3625
20200317,3.4192
20200318,3.468
20200319,3.429
20200303,1.7855
20200302,1.7308
20200301,1.6174
20200307,2.1654
20200306,2.1464
20200305,2.0153
20200304,1.7991
20200309,2.6664
20200308,2.4363
20200224,1.4955
20200225,1.4927
20200226,1.5291
20200227,1.5403
20200220,1.3407
20200221,1.3507
20200222,1.2035
20200223,1.3157
20200228,1.5831
20200229,1.547
20200130,2.5412
20200131,2.4103
