Date,Value
20200321,4.3212
20200320,5.0331
20200323,5.3111
20200322,4.2609
20200324,5.3349
20190310,3.9119
20190311,4.5378
20200208,0.5082
20200209,0.4931
20190314,4.5407
20190315,4.7624
20190316,4.163
20190317,3.8634
20200202,1.1841
20200203,1.1952
20200201,1.2626
20200206,0.4983
20200207,0.4988
20200204,0.9524
20200205,0.4796
20200129,1.8828
20200128,2.3671
20200123,3.9673
20200122,4.2522
20200121,4.4381
20200120,4.5824
20200127,2.7409
20200126,2.9679
20200125,3.1963
20200124,3.7958
20200311,4.1178
20190130,3.9136
20200217,0.4797
20200108,5.1692
20200219,0.4746
20200218,0.4934
20190303,3.8448
20190302,3.9794
20190301,4.6211
20190307,4.3973
20190306,4.4025
20190305,4.5714
20190304,4.352
20200215,0.4916
20200214,0.4978
20190309,3.9309
20200216,0.4719
20200211,0.508
20200210,0.5203
20200213,0.492
20200212,0.5221
20190224,3.4499
20190225,4.1463
20190226,4.1462
20190227,4.4013
20190220,4.0052
20190221,4.0198
20190222,4.0639
20190223,3.4947
20200116,4.9008
20200117,4.8658
20200114,5.0185
20200115,4.9603
20190228,4.5054
20200113,5.078
20200110,5.2317
20200111,4.3733
20190308,4.6012
20200101,4.4771
20200103,5.2352
20200102,5.2171
20200105,4.1206
20200104,4.2638
20200107,5.1753
20200106,5.1947
20200109,5.1351
20190131,3.9718
20200118,4.0601
20200119,4.5571
20190312,4.6235
20190328,4.5793
20190313,4.6394
20190321,4.587
20190320,4.6047
20190323,4.0849
20190322,4.7166
20190325,4.6829
20190324,3.9756
20190327,4.5818
20190326,4.5834
20190208,2.9298
20190209,3.0163
20190202,3.7006
20190203,3.192
20190201,3.6016
20190206,2.9482
20190207,2.9168
20190204,3.499
20190205,3.2236
20190318,4.5053
20190129,3.9768
20190128,4.1033
20190319,4.5691
20190123,4.0884
20190122,4.1165
20190121,4.1928
20190120,3.6702
20190127,3.3235
20190126,3.4577
20190125,4.0466
20190124,4.2106
20190219,4.0658
20190218,4.1407
20190215,3.7903
20190214,3.7904
20190217,3.2306
20190216,3.2883
20190211,3.79
20190210,3.058
20190213,3.9128
20190212,3.8464
20190118,4.4688
20190119,3.8039
20190116,4.3257
20190117,4.3972
20190114,4.3234
20190115,4.4836
20190112,3.7556
20190113,3.6536
20200310,3.9841
20200112,4.1634
20200312,4.1814
20200313,4.3473
20200314,3.7688
20200315,3.732
20200316,4.7803
20200317,4.8659
20200318,4.9275
20200319,4.9967
20200303,0.6152
20200302,0.585
20200301,0.5783
20200307,1.825
20200306,1.1372
20200305,0.6864
20200304,0.5843
20200309,3.8275
20200308,3.2902
20200224,0.5074
20200225,0.5018
20200226,0.5269
20200227,0.5255
20200220,0.477
20200221,0.4924
20200222,0.5062
20200223,0.4786
20200228,0.5508
20200229,0.5666
20200130,1.5902
20200131,1.6061
