Date,Value
20200321,6.1795
20200320,6.1845
20200323,6.0656
20200322,6.0944
20200324,6.048
20190310,5.1624
20190311,5.2599
20200208,2.1478
20200209,2.0442
20190314,5.272
20190315,5.3816
20190316,5.4068
20190317,5.0881
20200202,2.2123
20200203,2.3113
20200201,2.2375
20200206,2.1659
20200207,2.2044
20200204,2.1812
20200205,2.1778
20200129,2.1242
20200128,2.3308
20200123,5.3158
20200122,5.3373
20200121,5.3256
20200120,5.4921
20200127,2.6812
20200126,3.4545
20200125,4.4723
20200124,4.8981
20200311,5.3362
20190130,4.606
20200217,1.8458
20200108,5.5735
20200219,1.7934
20200218,1.8116
20190303,5.0087
20190302,5.1815
20190301,5.3273
20190307,5.0138
20190306,4.966
20190305,5.0794
20190304,4.921
20200215,1.7862
20200214,1.7899
20190309,5.1414
20200216,1.804
20200211,1.8704
20200210,1.982
20200213,1.7688
20200212,1.7959
20190224,4.8159
20190225,4.9229
20190226,4.8487
20190227,5.0375
20190220,4.9535
20190221,4.947
20190222,5.0577
20190223,4.9507
20200116,5.5095
20200117,5.6245
20200114,5.4716
20200115,5.6212
20190228,5.237
20200113,5.7783
20200110,5.7854
20200111,5.7254
20190308,5.3201
20200101,5.7863
20200103,5.8281
20200102,5.809
20200105,5.489
20200104,5.6504
20200107,5.5518
20200106,5.8124
20200109,5.7051
20190131,4.7972
20200118,5.3658
20200119,5.3142
20190312,5.2564
20190328,5.1813
20190313,5.2666
20190321,5.2156
20190320,5.1387
20190323,5.3511
20190322,5.3149
20190325,5.2978
20190324,5.1413
20190327,5.1999
20190326,5.2278
20190208,4.6711
20190209,4.66
20190202,4.7969
20190203,4.3463
20190201,4.5621
20190206,4.5619
20190207,4.572
20190204,4.6387
20190205,4.6003
20190318,5.281
20190129,4.7156
20190128,4.8621
20190319,5.3611
20190123,4.7599
20190122,4.7186
20190121,4.8137
20190120,4.7248
20190127,4.542
20190126,4.6203
20190125,4.7871
20190124,4.8844
20190219,4.7856
20190218,5.0019
20190215,4.7594
20190214,4.7895
20190217,4.5492
20190216,4.637
20190211,4.8256
20190210,4.6859
20190213,4.8642
20190212,4.8039
20190118,5.0756
20190119,4.9745
20190116,4.8609
20190117,4.9682
20190114,4.9466
20190115,5.0845
20190112,4.8093
20190113,4.7667
20200310,5.1185
20200112,5.5426
20200312,5.432
20200313,5.6241
20200314,5.711
20200315,5.6965
20200316,5.8357
20200317,5.9171
20200318,6.0304
20200319,6.0832
20200303,2.8094
20200302,2.7456
20200301,2.5686
20200307,4.4307
20200306,3.8111
20200305,3.3939
20200304,2.937
20200309,4.988
20200308,4.7752
20200224,2.0238
20200225,2.193
20200226,2.3515
20200227,2.436
20200220,1.812
20200221,1.8397
20200222,1.8725
20200223,1.9095
20200228,2.4813
20200229,2.542
20200130,2.1577
20200131,2.2436
