Date,Value
20200321,3.9044
20200320,4.6093
20200323,4.702
20200322,3.8034
20200324,4.6485
20190310,4.173
20190311,4.5485
20200208,1.4543
20200209,1.4128
20190314,4.5131
20190315,4.8671
20190316,4.3858
20190317,4.1079
20200202,1.5342
20200203,1.7345
20200201,1.5755
20200206,1.5736
20200207,1.5741
20200204,1.6306
20200205,1.6121
20200129,1.6374
20200128,1.7975
20200123,3.1383
20200122,3.6733
20200121,4.0699
20200120,4.3462
20200127,1.9232
20200126,2.0306
20200125,1.8463
20200124,2.5095
20200311,4.2603
20190130,3.7134
20200217,2.2722
20200108,5.3406
20200219,2.3929
20200218,2.2365
20190303,4.1395
20190302,4.2808
20190301,4.7868
20190307,4.4225
20190306,4.3757
20190305,4.5907
20190304,4.4279
20200215,1.6682
20200214,2.2031
20190309,4.1851
20200216,1.5736
20200211,2.0802
20200210,2.0647
20200213,2.1797
20200212,2.1337
20190224,3.8227
20190225,4.3243
20190226,4.2965
20190227,4.4465
20190220,4.1138
20190221,4.1708
20190222,4.2833
20190223,3.9034
20200116,4.9742
20200117,4.8909
20200114,5.0891
20200115,5.072
20190228,4.566
20200113,5.1741
20200110,5.4188
20200111,4.7258
20190308,4.7582
20200101,4.77
20200103,5.4512
20200102,5.3764
20200105,4.2928
20200104,4.6065
20200107,5.2905
20200106,5.27
20200109,5.3315
20190131,3.684
20200118,4.2299
20200119,4.4594
20190312,4.5806
20190328,4.3965
20190313,4.5986
20190321,4.4899
20190320,4.5022
20190323,4.2081
20190322,4.802
20190325,4.5557
20190324,4.056
20190327,4.4131
20190326,4.4464
20190208,2.2892
20190209,2.3981
20190202,3.0349
20190203,2.4941
20190201,3.2275
20190206,2.2242
20190207,2.2031
20190204,2.1284
20190205,2.1763
20190318,4.4965
20190129,3.917
20190128,4.0583
20190319,4.5067
20190123,4.2726
20190122,4.2493
20190121,4.3455
20190120,3.9469
20190127,3.5041
20190126,3.6977
20190125,4.2471
20190124,4.3806
20190219,4.0296
20190218,4.1971
20190215,3.8802
20190214,3.8298
20190217,3.4284
20190216,3.4919
20190211,3.3946
20190210,2.6634
20190213,3.8048
20190212,3.6658
20190118,4.6525
20190119,4.1141
20190116,4.455
20190117,4.5537
20190114,4.5125
20190115,4.6746
20190112,4.0755
20190113,3.9412
20200310,4.2053
20200112,4.5292
20200312,4.3038
20200313,4.4096
20200314,3.7377
20200315,3.6437
20200316,4.5975
20200317,4.521
20200318,4.525
20200319,4.5111
20200303,3.8403
20200302,3.8836
20200301,2.8841
20200307,3.3275
20200306,4.0051
20200305,3.9286
20200304,3.8532
20200309,4.2533
20200308,3.2942
20200224,3.0811
20200225,3.0898
20200226,3.1649
20200227,3.2033
20200220,2.4519
20200221,2.5608
20200222,2.0733
20200223,2.1075
20200228,3.2217
20200229,2.8461
20200130,1.5943
20200131,1.6231
