Date,Value
20200321,3.4227
20200320,3.3959
20200323,3.5627
20200322,3.3285
20200324,3.3406
20190310,3.2303
20190311,3.2044
20200208,1.2647
20200209,1.2181
20190314,3.2361
20190315,3.3849
20190316,3.2889
20190317,3.1314
20200202,1.2656
20200203,1.1559
20200201,1.2431
20200206,1.1835
20200207,1.231
20200204,1.1757
20200205,1.2587
20200129,1.2276
20200128,1.2993
20200123,2.6832
20200122,2.7541
20200121,2.7368
20200120,2.9925
20200127,1.9869
20200126,2.3411
20200125,2.3653
20200124,2.5554
20200311,2.9234
20190130,2.3965
20200217,1.0306
20200108,3.1212
20200219,0.8777
20200218,0.9883
20190303,2.994
20190302,3.0488
20190301,3.2668
20190307,2.9998
20190306,2.9181
20190305,3.1237
20190304,2.9729
20200215,1.1619
20200214,1.2881
20190309,3.0641
20200216,1.136
20200211,1.2855
20200210,1.2742
20200213,1.2284
20200212,1.2129
20190224,2.653
20190225,2.7836
20190226,2.7721
20190227,3.0459
20190220,2.6098
20190221,2.6213
20200118,2.7878
20190223,2.7001
20200116,2.9726
20200117,3.034
20200114,2.9493
20200115,2.9787
20190228,2.9758
20200113,3.1463
20200110,3.3113
20200111,3.0996
20190308,3.3552
20200101,3.1091
20200103,3.161
20200102,3.237
20200105,2.9769
20200104,3.0115
20200107,3.1558
20200106,3.3147
20200109,3.3329
20190131,2.6434
20190222,2.7721
20200119,2.7359
20190312,3.2476
20190328,3.2764
20190313,3.262
20190321,3.3043
20190320,3.1487
20190323,3.4474
20190322,3.4214
20190325,3.4301
20190324,3.3523
20190327,3.1957
20190326,3.214
20190208,2.5253
20190209,2.4744
20190202,2.6156
20190203,2.2025
20190201,2.3812
20190206,2.4715
20190207,2.3207
20190204,2.5195
20190205,2.4955
20190318,3.2812
20190129,2.4302
20190128,2.6838
20190319,3.2476
20190123,2.435
20190122,2.5089
20190121,2.5368
20190120,2.434
20190127,2.3629
20190126,2.3341
20190125,2.4234
20190124,2.5406
20190219,2.6309
20190218,2.7635
20190215,2.5858
20190214,2.5848
20190217,2.4379
20190216,2.5233
20190211,2.6261
20190210,2.4062
20190213,2.6357
20190212,2.5061
20190118,2.6146
20190119,2.5579
20190116,2.7318
20190117,2.6732
20190114,2.7625
20190115,2.8787
20190112,2.7174
20190113,2.5666
20200310,2.7696
20200112,2.8344
20200312,2.9536
20200313,3.1152
20200314,3.1048
20200315,3.1316
20200316,3.2517
20200317,3.2551
20200318,3.3398
20200319,3.548
20200303,2.653
20200302,2.6755
20200301,2.5165
20200307,2.7497
20200306,2.7377
20200305,2.723
20200304,2.6245
20200309,2.7722
20200308,2.8586
20200224,2.018
20200225,2.2841
20200226,2.3152
20200227,2.329
20200220,0.8812
20200221,0.9434
20200222,0.9805
20200223,1.2034
20200228,2.4647
20200229,2.5027
20200130,1.2768
20200131,1.2526
