Date,Value
20200321,4.4631
20200320,4.8305
20200323,4.9766
20200322,4.4969
20200324,4.8313
20190310,4.595
20190311,4.5701
20200208,2.3294
20200209,2.3306
20190314,4.5137
20190315,4.9432
20190316,4.5337
20190317,4.2167
20200202,4.3092
20200203,3.704
20200201,4.401
20200206,2.9103
20200207,2.5422
20200204,3.4288
20200205,3.1406
20200129,4.3832
20200128,4.2759
20200123,6.9237
20200122,6.7374
20200121,6.4877
20200120,6.1499
20200127,4.2678
20200126,5.2024
20200125,3.5733
20200124,5.6772
20200311,4.7686
20190130,5.8178
20200217,3.3315
20200108,5.2223
20200219,3.4951
20200218,3.4518
20190303,4.6146
20190302,4.6275
20190301,4.908
20190307,4.1014
20190306,4.3029
20190305,4.6006
20190304,4.3958
20200215,2.8552
20200214,3.2033
20190309,4.2647
20200216,2.895
20200211,2.747
20200210,2.7605
20200213,3.0724
20200212,2.8154
20190224,4.5573
20190225,4.4258
20190226,4.2818
20190227,4.3637
20190220,4.81
20190221,4.651
20190222,4.7497
20190223,4.3772
20200116,5.5159
20200117,5.9594
20200114,4.9778
20200115,5.3853
20190228,4.5644
20200113,5.3724
20200110,5.5256
20200111,4.7612
20190308,4.6464
20200101,5.3681
20200103,5.3799
20200102,5.3032
20200105,4.9401
20200104,4.8387
20200107,5.2334
20200106,5.217
20200109,5.2741
20190131,6.0003
20200118,5.7006
20200119,6.0014
20190312,4.6515
20190328,4.4439
20190313,4.5887
20190321,4.5493
20190320,4.5115
20190323,3.9762
20190322,4.4376
20190325,4.4405
20190324,4.3754
20190327,4.403
20190326,4.2849
20190208,6.4503
20190209,5.7336
20190202,6.3315
20190203,6.1948
20190201,5.937
20190206,7.2167
20190207,6.6986
20190204,5.5823
20190205,6.3995
20190318,4.3902
20190129,5.7973
20190128,5.6128
20190319,4.4644
20190123,4.8434
20190122,4.7197
20190121,4.5944
20190120,4.2143
20190127,5.0792
20190126,5.0722
20190125,5.3344
20190124,5.2787
20190219,4.8341
20190218,4.7516
20190215,4.7115
20190214,5.2903
20190217,3.8421
20190216,4.411
20190211,5.2727
20190210,5.4081
20190213,5.1276
20190212,5.2994
20190118,4.6578
20190119,4.3415
20190116,4.3163
20190117,4.4871
20190114,4.4008
20190115,4.4319
20190112,4.3195
20190113,4.3048
20200310,4.8142
20200112,5.1943
20200312,4.4794
20200313,4.7213
20200314,4.545
20200315,4.5004
20200316,4.6875
20200317,4.3191
20200318,4.5953
20200319,4.4947
20200303,4.0955
20200302,4.5714
20200301,4.4873
20200307,4.4956
20200306,4.5623
20200305,4.6395
20200304,3.7999
20200309,4.9769
20200308,4.6038
20200224,4.5054
20200225,4.4823
20200226,4.5611
20200227,4.6178
20200220,3.6659
20200221,3.8409
20200222,3.8468
20200223,4.0362
20200228,4.6185
20200229,4.5076
20200130,4.5343
20200131,4.4793
