Date,Value
20200321,3.7
20200320,3.8243
20200323,3.986
20200322,3.7524
20200324,4.0194
20190310,4.4029
20190311,4.5073
20200208,1.2668
20200209,1.2344
20190314,4.4827
20190315,4.7048
20190316,4.5733
20190317,4.3449
20200202,1.3718
20200203,1.6073
20200201,1.5225
20200206,1.3338
20200207,1.396
20200204,1.5286
20200205,1.4217
20200129,1.5541
20200128,1.5647
20200123,3.7095
20200122,4.0363
20200121,4.2027
20200120,4.3758
20200127,1.6855
20200126,2.1903
20200125,2.2053
20200124,2.767
20200311,3.1724
20190130,3.6756
20200217,1.4808
20200108,5.0224
20200219,1.5554
20200218,1.5122
20190303,4.3073
20190302,4.4305
20190301,4.6248
20190307,4.4046
20190306,4.3348
20190305,4.491
20190304,4.3835
20200215,1.1659
20200214,1.1619
20190309,4.4095
20200216,1.2498
20200211,1.3218
20200210,1.395
20200213,1.3208
20200212,1.3324
20190224,3.9598
20190225,4.1502
20190226,4.1385
20190227,4.3337
20190220,4.0151
20190221,3.9857
20190222,4.12
20190223,4.016
20200116,4.6963
20200117,4.6409
20200114,4.8043
20200115,4.7605
20190228,4.4349
20200113,4.8457
20200110,5.0836
20200111,4.7211
20190308,4.6896
20200101,4.7849
20200103,5.1087
20200102,5.0172
20200105,4.5558
20200104,4.7791
20200107,4.8466
20200106,4.5367
20200109,4.9832
20190131,3.7315
20200118,4.2676
20200119,4.4283
20190312,4.5119
20190328,4.4009
20190313,4.5279
20190321,4.4162
20190320,4.5128
20190323,4.4562
20190322,4.7197
20190325,4.5315
20190324,4.4164
20190327,4.4622
20190326,4.4559
20190208,3.0064
20190209,2.9015
20190202,3.3758
20190203,3.0939
20190201,3.4545
20190206,3.3887
20190207,3.0764
20190204,2.4748
20190205,2.9318
20190318,4.4556
20190129,3.8258
20190128,3.8973
20190319,4.5214
20190123,4.1123
20190122,4.1107
20190121,4.0709
20190120,3.8213
20190127,3.636
20190126,3.7805
20190125,4.0317
20190124,4.1529
20190219,3.6538
20190218,3.9817
20190215,3.4485
20190214,3.3731
20190217,3.5801
20190216,3.5505
20190211,3.4228
20190210,3.0821
20190213,3.524
20190212,3.1559
20190118,4.2343
20190119,3.953
20190116,4.1747
20190117,4.2045
20190114,4.2203
20190115,4.2447
20190112,4.0338
20190113,3.9547
20200310,3.0802
20200112,4.6281
20200312,3.1315
20200313,3.3025
20200314,3.2147
20200315,3.2607
20200316,3.5305
20200317,3.6191
20200318,3.6631
20200319,3.6564
20200303,2.4946
20200302,2.4846
20200301,2.2075
20200307,2.7712
20200306,2.7789
20200305,2.6765
20200304,2.5595
20200309,2.8953
20200308,2.6488
20200224,1.8574
20200225,1.8776
20200226,1.9875
20200227,1.9872
20200220,1.5537
20200221,1.6682
20200222,1.5993
20200223,1.6184
20200228,2.1205
20200229,1.9164
20200130,1.5031
20200131,1.5231
