Date,Value
20200321,3.6174
20200320,4.2823
20200323,4.3987
20200322,3.5014
20200324,4.3551
20190310,4.1197
20190311,4.7013
20200208,1.2226
20200209,1.205
20190314,4.6459
20190315,4.8822
20190316,4.3907
20190317,4.0585
20200202,1.4436
20200203,1.7977
20200201,1.3981
20200206,1.4382
20200207,1.451
20200204,1.5669
20200205,1.4655
20200129,1.4708
20200128,1.5173
20200123,3.2429
20200122,3.7921
20200121,4.1308
20200120,4.4072
20200127,1.6983
20200126,2.1231
20200125,2.4179
20200124,2.8027
20200311,3.8631
20190130,3.9389
20200217,2.0189
20200108,5.1474
20200219,2.0045
20200218,1.9757
20190303,4.0622
20190302,4.2412
20190301,4.7681
20190307,4.5773
20190306,4.5517
20190305,4.6461
20190304,4.5719
20200215,1.3382
20200214,1.673
20190309,4.2924
20200216,1.3468
20200211,1.6222
20200210,1.6831
20200213,1.6646
20200212,1.6427
20190224,3.6072
20190225,4.3332
20190226,4.2616
20190227,4.486
20190220,4.1354
20190221,4.1762
20190222,4.3005
20190223,3.8819
20200116,4.7936
20200117,4.7865
20200114,4.8672
20200115,4.6834
20190228,4.6435
20200113,4.9849
20200110,4.861
20200111,4.4341
20190308,4.9087
20200101,4.4635
20200103,5.198
20200102,5.0752
20200105,4.178
20200104,4.4336
20200107,5.0198
20200106,4.9706
20200109,5.053
20190131,3.8908
20200118,4.0489
20200119,4.4166
20190312,4.6875
20190328,4.5434
20190313,4.6581
20190321,4.6101
20190320,4.6369
20190323,4.2739
20190322,4.8325
20190325,4.682
20190324,4.1143
20190327,4.5481
20190326,4.5632
20190208,2.7416
20190209,2.6703
20190202,3.3143
20190203,2.7349
20190201,3.4894
20190206,2.8695
20190207,2.7311
20190204,2.6186
20190205,2.744
20190318,4.6574
20190129,4.051
20190128,4.2006
20190319,4.6822
20190123,4.2727
20190122,4.2708
20190121,4.268
20190120,3.4816
20190127,3.4606
20190126,3.6493
20190125,4.2306
20190124,4.3295
20190219,4.0701
20190218,4.0701
20190215,3.8256
20190214,3.7984
20190217,3.1272
20190216,3.3664
20190211,3.5166
20190210,2.92
20190213,3.8431
20190212,3.7499
20190118,4.5792
20190119,3.9516
20190116,4.4199
20190117,4.4996
20190114,4.4703
20190115,4.5736
20190112,4.0079
20190113,3.8098
20200310,3.8521
20200112,4.2074
20200312,3.8901
20200313,3.9853
20200314,3.2987
20200315,2.9894
20200316,4.1064
20200317,4.1354
20200318,4.1397
20200319,4.1854
20200303,3.5215
20200302,3.5167
20200301,2.4703
20200307,3.0028
20200306,3.6826
20200305,3.6165
20200304,3.5773
20200309,3.8182
20200308,2.7563
20200224,2.8
20200225,2.7936
20200226,2.9058
20200227,2.8202
20200220,2.0503
20200221,2.2016
20200222,1.7888
20200223,1.8002
20200228,3.048
20200229,2.5211
20200130,1.4375
20200131,1.454
