Date,Value
20200321,4.5278
20200320,4.7535
20200323,4.7406
20200322,4.4764
20200324,4.7299
20190310,4.5034
20190311,4.6274
20200208,2.6803
20200209,2.6007
20190314,4.5348
20190315,4.8174
20190316,4.5084
20190317,4.3033
20200202,2.7113
20200203,3.4301
20200201,3.0015
20200206,3.121
20200207,2.9197
20200204,3.3051
20200205,3.1687
20200129,3.1345
20200128,3.0142
20200123,5.4889
20200122,5.5638
20200121,5.4849
20200120,5.4374
20200127,3.4248
20200126,4.1093
20200125,4.5356
20200124,4.9998
20200311,4.4624
20190130,4.6448
20200217,3.335
20200108,4.9555
20200219,3.6388
20200218,3.4184
20190303,4.4904
20190302,4.5597
20190301,4.8075
20190307,4.3898
20190306,4.3922
20190305,4.5942
20190304,4.4495
20200215,2.7526
20200214,3.0905
20190309,4.3501
20200216,2.9368
20200211,2.9763
20200210,2.9891
20200213,3.0901
20200212,2.9906
20190224,4.1463
20190225,4.4625
20190226,4.3494
20190227,4.475
20190220,4.6613
20190221,4.4489
20190222,4.5865
20190223,4.2212
20200116,5.2098
20200117,5.3354
20200114,5.0472
20200115,5.0623
20190228,4.6137
20200113,5.0289
20200110,5.0623
20200111,4.8342
20190308,4.7256
20200101,4.7301
20200103,5.0564
20200102,4.969
20200105,4.5027
20200104,4.6007
20200107,4.901
20200106,4.9171
20200109,4.9409
20190131,4.9707
20200118,4.9149
20200119,5.2039
20190312,4.641
20190328,4.187
20190313,4.6057
20190321,4.5093
20190320,4.5422
20190323,4.3538
20190322,4.7593
20190325,4.5373
20190324,4.4153
20190327,4.477
20190326,4.4455
20190208,5.1623
20190209,4.9751
20190202,5.1082
20190203,4.8163
20190201,4.8776
20190206,5.1714
20190207,5.2721
20190204,4.7637
20190205,4.9676
20190318,4.4322
20190129,4.6212
20190128,4.6251
20190319,4.5032
20190123,4.6537
20190122,4.6539
20190121,4.5805
20190120,4.3759
20190127,4.1468
20190126,4.1888
20190125,4.5921
20190124,4.5522
20190219,4.7687
20190218,4.8453
20190215,4.7733
20190214,4.9312
20190217,4.1498
20190216,4.4762
20190211,5.0703
20190210,4.813
20190213,5.0863
20190212,5.0747
20190118,4.7452
20190119,4.4675
20190116,4.4566
20190117,4.6009
20190114,4.4721
20190115,4.5732
20190112,4.206
20190113,4.2447
20200310,4.4529
20200112,4.8237
20200312,4.516
20200313,4.5934
20200314,4.3822
20200315,4.2739
20200316,4.5468
20200317,4.6037
20200318,4.6203
20200319,4.6202
20200303,4.3221
20200302,4.3985
20200301,4.0961
20200307,4.2694
20200306,4.5
20200305,4.4464
20200304,4.4648
20200309,4.5028
20200308,4.3222
20200224,4.13
20200225,4.1392
20200226,4.1425
20200227,4.1233
20200220,3.5554
20200221,3.8954
20200222,3.5786
20200223,3.6108
20200228,4.2546
20200229,4.2183
20200130,2.8574
20200131,2.8795
