Date,Value
20200321,4.4033
20200320,4.5885
20200323,4.6125
20200322,4.387
20200324,4.5641
20190310,4.2327
20190311,4.0732
20200208,3.0898
20200209,2.7552
20190314,3.9943
20190315,4.3602
20190316,4.1098
20190317,3.9919
20200202,3.1565
20200203,3.1961
20200201,3.3402
20200206,3.1403
20200207,3.227
20200204,3.1578
20200205,3.1274
20200129,3.6682
20200128,3.8556
20200123,5.0338
20200122,5.1096
20200121,5.0352
20200120,4.9905
20200127,4.0752
20200126,4.3563
20200125,3.8595
20200124,4.3986
20200311,4.489
20190130,4.4039
20200217,3.2458
20200108,4.6662
20200219,3.577
20200218,3.4171
20190303,4.272
20190302,4.2291
20190301,4.5707
20190307,3.914
20190306,3.8776
20190305,4.1198
20190304,3.9988
20200215,3.0399
20200214,3.3269
20190309,3.9485
20200216,3.0029
20200211,3.0721
20200210,3.005
20200213,3.2021
20200212,3.127
20190224,4.153
20190225,4.1338
20190226,4.0698
20190227,4.1559
20190220,4.3481
20190221,4.2386
20190222,4.289
20190223,4.1117
20200116,4.9636
20200117,4.973
20200114,4.8988
20200115,4.9324
20190228,4.2604
20200113,4.8543
20200110,4.8892
20200111,4.5188
20190308,4.451
20200101,4.5056
20200103,4.8466
20200102,4.6783
20200105,4.5585
20200104,4.3233
20200107,4.5956
20200106,4.6228
20200109,4.7301
20190131,4.7516
20200118,4.6712
20200119,4.8111
20190312,4.0626
20190328,3.5901
20190313,4.0784
20190321,3.9542
20190320,3.9625
20190323,3.8991
20190322,4.3567
20190325,4.0041
20190324,4.0459
20190327,3.8678
20190326,3.8933
20190208,4.6988
20190209,4.6281
20190202,4.8128
20190203,4.4133
20190201,4.4297
20190206,4.793
20190207,4.7638
20190204,4.3101
20190205,4.5515
20190318,3.9179
20190129,4.408
20190128,4.4025
20190319,3.9674
20190123,4.3655
20190122,4.3444
20190121,4.3592
20190120,4.2714
20190127,4.0338
20190126,3.9855
20190125,4.1821
20190124,4.3452
20190219,4.3515
20190218,4.4746
20190215,4.4809
20190214,4.6149
20190217,4.038
20190216,4.1804
20190211,4.6478
20190210,4.5574
20190213,4.6673
20190212,4.6966
20190118,4.4582
20190119,4.204
20190116,4.1501
20190117,4.3041
20190114,4.141
20190115,4.3523
20190112,4.0506
20190113,4.1051
20200310,4.4432
20200112,4.5506
20200312,4.5107
20200313,4.5803
20200314,4.3295
20200315,4.3651
20200316,4.6237
20200317,4.5296
20200318,4.4713
20200319,4.49
20200303,4.4128
20200302,4.5626
20200301,4.3122
20200307,4.2273
20200306,4.5187
20200305,4.4956
20200304,4.4106
20200309,4.5353
20200308,4.3556
20200224,4.2389
20200225,4.1568
20200226,4.1683
20200227,4.1054
20200220,3.7021
20200221,3.9008
20200222,3.7023
20200223,3.7731
20200228,4.2872
20200229,4.2368
20200130,3.405
20200131,3.5706
