Date,Value
20200321,5.1499
20200320,5.1435
20200323,5.2448
20200322,5.1051
20200324,5.2486
20190310,5.0751
20190311,5.093
20200208,1.9226
20200209,1.9977
20190314,5.0352
20190315,5.3727
20190316,5.304
20190317,4.9067
20200202,2.1668
20200203,2.4304
20200201,2.1971
20200206,1.8894
20200207,2.0278
20200204,2.2512
20200205,2.1007
20200129,2.3614
20200128,2.4651
20200123,5.4004
20200122,5.997
20200121,5.9886
20200120,6.0705
20200127,2.7118
20200126,3.4523
20200125,3.8526
20200124,4.6717
20200311,4.8631
20190130,5.355
20200217,2.6572
20200108,4.7611
20200219,2.9167
20200218,2.7639
20190303,4.9766
20190302,5.221
20190301,5.4036
20190307,4.9091
20190306,4.9078
20190305,5.108
20190304,4.934
20200215,2.0913
20200214,2.0888
20190309,5.0492
20200216,2.2512
20200211,2.151
20200210,2.1618
20200213,2.3106
20200212,2.2
20190224,4.6754
20190225,4.8433
20190226,4.8132
20190227,5.0128
20190220,5.1235
20190221,4.8471
20190222,4.9931
20190223,4.7912
20200116,5.6946
20200117,5.6087
20200114,5.5766
20200115,5.6704
20190228,5.1555
20200113,5.667
20200110,5.8118
20200111,5.4998
20190308,5.1514
20200101,5.27
20200103,5.754
20200102,5.6461
20200105,4.9265
20200104,5.4645
20200107,4.7165
20200106,5.5435
20200109,5.4552
20190131,5.4906
20200118,5.6731
20200119,5.8264
20190312,5.1146
20190328,4.9501
20190313,5.1052
20190321,5.0099
20190320,5.1031
20190323,5.0081
20190322,5.2836
20190325,5.1219
20190324,4.9858
20190327,5.0312
20190326,5.0187
20190208,5.0679
20190209,4.7633
20190202,5.3772
20190203,4.9471
20190201,5.237
20190206,5.1951
20190207,5.5038
20190204,4.2212
20190205,4.7082
20190318,4.9925
20190129,5.4235
20190128,5.1641
20190319,5.0914
20190123,5.1147
20190122,5.117
20190121,5.0272
20190120,4.7348
20190127,4.7174
20190126,4.8499
20190125,5.0313
20190124,5.1979
20190219,4.786
20190218,5.2498
20190215,4.4134
20190214,3.873
20190217,4.7988
20190216,4.8457
20190211,5.173
20190210,4.9126
20190213,4.915
20190212,5.2748
20190118,5.1871
20190119,4.8779
20190116,4.8161
20190117,5.0016
20190114,4.8792
20190115,4.9257
20190112,4.7706
20190113,4.5431
20200310,4.7878
20200112,5.399
20200312,4.9032
20200313,4.8928
20200314,4.9335
20200315,4.895
20200316,5.0111
20200317,5.0943
20200318,5.1324
20200319,5.0847
20200303,4.4288
20200302,4.3577
20200301,3.9709
20200307,4.6598
20200306,4.6045
20200305,4.4922
20200304,4.4504
20200309,4.3967
20200308,4.5379
20200224,3.3384
20200225,3.6429
20200226,3.741
20200227,3.7281
20200220,3.0277
20200221,3.2599
20200222,3.2322
20200223,3.1815
20200228,3.6989
20200229,3.9256
20200130,2.4444
20200131,2.3281
